PointDistanceFollower   Jun 17 2018   mode =  LINE3 
LINE3_RAND%_.19_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist  distance between 
Compute times (msec)     S6Dist   53   CS6Dist  2
PointDistanceFollower  Jun 17 2018  mode = LINE3
LINE3_RAND%_.19_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
0    1991.38740 -1992.11921 -3198.63672 188.86335 -1488.35318 -3436.66207     (-1990.656,-502.302) (-0.732,-201.913) (-797.187,-1446.006)     613.06139 -2045.17790 -896.34917 -857.09958 -1979.43660 -639.53695     (-613.061,-1470.161) (-1432.117,-283.288) (-1366.375,-26.476)      1171.03  1185.79  
1    1951.30730 -1955.66601 -3210.17816 163.33094 -1462.71676 -3442.62798     (-1946.949,-484.232) (-4.359,-286.048) (-815.154,-1495.679)     572.98129 -2008.72470 -907.89061 -882.63199 -1953.80017 -645.50285     (-572.981,-1455.613) (-1435.743,-334.909) (-1380.819,-72.522)      1177  1215.85  
2    1911.22720 -1919.21281 -3221.71960 137.79853 -1437.08034 -3448.59388     (-1903.242,-466.161) (-7.986,-370.184) (-833.121,-1545.352)     532.90119 -1972.27150 -919.43205 -908.16440 -1928.16375 -651.46876     (-532.901,-1441.066) (-1439.370,-386.531) (-1395.263,-118.568)      1188.69  1249.86  
3    1871.14710 -1882.75962 -3233.26104 112.26611 -1411.44392 -3454.55978     (-1859.535,-448.091) (-11.613,-454.320) (-851.087,-1595.025)     492.82109 -1935.81831 -930.97349 -933.69681 -1902.52733 -657.43466     (-492.821,-1426.518) (-1442.997,-438.152) (-1409.706,-164.614)      1205.95  1287.93  
4    1831.06699 -1846.30642 -3244.80248  86.73370 -1385.80750 -3460.52569     (-1815.828,-430.020) (-15.239,-538.456) (-869.054,-1644.698)     452.74098 -1899.36511 -942.51493 -959.22922 -1876.89091 -663.40056     (-452.741,-1411.970) (-1446.624,-489.774) (-1424.150,-210.660)      1228.53  1330.16  
5    1790.98689 -1809.85322 -3256.34391  61.20129 -1360.17108 -3466.49159     (-1772.121,-411.949) (-18.866,-622.592) (-887.020,-1694.371)     412.66088 -1862.91191 -954.05637 -984.76163 -1851.25449 -669.36647     (-412.661,-1397.423) (-1450.251,-541.395) (-1438.594,-256.706)      1256.14  1376.58  
6    1750.90679 -1773.40003 -3267.88535  35.66888 -1334.53465 -3472.45750     (-1728.414,-393.879) (-22.493,-706.728) (-904.987,-1744.044)     372.58078 -1826.45872 -965.59781 -1010.29404 -1825.61807 -675.33237     (-372.581,-1382.875) (-1453.878,-593.017) (-1453.037,-302.752)      1288.47  1427.19  
7    1710.82669 -1736.94683 -3279.42679  10.13647 -1308.89823 -3478.42340     (-1684.707,-375.808) (-26.120,-790.863) (-922.953,-1793.717)     332.50068 -1790.00552 -977.13924 -1035.82646 -1799.98165 -681.29828     (-332.501,-1368.327) (-1457.505,-644.639) (-1467.481,-348.798)      1321.44  1477.58  
8    1670.74658 -1700.49363 -3290.96823 -15.39594 -1283.26181 -3484.38931     (-1641.000,-357.738) (-29.747,-874.999) (-940.920,-1843.390)     292.42057 -1753.55232 -988.68068 -1061.35887 -1774.34523 -687.26418     (-292.421,-1353.779) (-1461.132,-696.260) (-1481.925,-394.844)      1357.38  1455.92  
9    1630.66648 -1664.04044 -3302.50967 -40.92835 -1257.62539 -3490.35521     (-1597.293,-339.667) (-33.374,-959.135) (-958.887,-1893.063)     252.34047 -1717.09913 -1000.22212 -1086.89128 -1748.70881 -693.23009     (-252.340,-1339.232) (-1464.759,-747.882) (-1496.368,-440.890)      1390.63  1430.03  
10    1590.58638 -1627.58724 -3314.05111 -66.46077 -1231.98897 -3496.32111     (-1553.586,-321.597) (-37.001,-1043.271) (-976.853,-1942.736)     212.26037 -1680.64593 -1011.76356 -1112.42369 -1723.07239 -699.19599     (-212.260,-1324.684) (-1468.386,-799.503) (-1510.812,-486.936)      1408.53  1408.53  
11    1550.50628 -1591.13404 -3325.59255 -91.99318 -1206.35255 -3502.28702     (-1509.879,-303.526) (-40.628,-1127.407) (-994.820,-1992.409)     172.18027 -1644.19273 -1023.30500 -1137.95610 -1697.43596 -705.16189     (-172.180,-1310.136) (-1472.012,-851.125) (-1525.256,-532.982)      1391.6  1391.6  
12    1510.42617 -1554.68085 -3337.13399 -117.52559 -1180.71613 -3508.25292     (-1466.172,-285.455) (-44.255,-1211.542) (-1012.786,-2042.081)     132.10016 -1607.73954 -1034.84644 -1163.48851 -1671.79954 -711.12780     (-132.100,-1295.589) (-1475.639,-902.746) (-1539.699,-579.028)      1379.42  1379.42  
13    1470.34607 -1518.22765 -3348.67542 -143.05800 -1155.07971 -3514.21883     (-1422.464,-267.385) (-47.882,-1295.678) (-1030.753,-2091.754)      92.02006 -1571.28634 -1046.38788 -1189.02092 -1646.16312 -717.09370     (-92.020,-1281.041) (-1479.266,-954.368) (-1554.143,-625.074)      1372.11  1372.11  
14    1430.26597 -1481.77445 -3360.21686 -168.59041 -1129.44329 -3520.18473     (-1378.757,-249.314) (-51.508,-1379.814) (-1048.719,-2141.427)      51.93996 -1534.83314 -1057.92932 -1214.55334 -1620.52670 -723.05961     (-51.940,-1266.493) (-1482.893,-1005.989) (-1568.587,-671.120)      1369.76  1369.76  
15    1390.18587 -1445.32126 -3371.75830 -194.12282 -1103.80687 -3526.15064     (-1335.050,-231.244) (-55.135,-1463.950) (-1066.686,-2191.100)      11.85986 -1498.37994 -1069.47075 -1240.08575 -1594.89028 -729.02551     (-11.860,-1251.946) (-1486.520,-1057.611) (-1583.030,-717.166)      1372.39  1372.39  
16    1350.10576 -1408.86806 -3383.29974 -219.65523 -1078.17044 -3532.11654     (-1291.343,-213.173) (-58.762,-1548.086) (-1084.653,-2240.773)     -28.22024 -1461.92675 -1081.01219 -1265.61816 -1569.25386 -734.99141     (-28.220,-1265.618) (-1461.927,-1569.254) (-1081.012,-734.991)      1392.53  1393.24  
17    1310.02566 -1372.41486 -3394.84118 -245.18765 -1052.53402 -3538.08244     (-1247.636,-195.102) (-62.389,-1632.221) (-1102.619,-2290.446)     -68.30035 -1425.47355 -1092.55363 -1291.15057 -1543.61744 -740.95732     (-68.300,-1291.151) (-1425.474,-1543.617) (-1092.554,-740.957)      1402.74  1403.43  
18    1269.94556 -1335.96167 -3406.38262 -270.72006 -1026.89760 -3544.04835     (-1203.929,-177.032) (-66.016,-1716.357) (-1120.586,-2340.119)     -108.38045 -1389.02035 -1104.09507 -1316.68298 -1517.98102 -746.92322     (-108.380,-1316.683) (-1389.020,-1517.981) (-1104.095,-746.923)      1416  1416.67  
19    1229.86546 -1299.50847 -3417.92406 -296.25247 -1001.26118 -3550.01425     (-1160.222,-158.961) (-69.643,-1800.493) (-1138.552,-2389.792)     -148.46055 -1352.56716 -1115.63651 -1342.21539 -1492.34460 -752.88913     (-148.461,-1342.215) (-1352.567,-1492.345) (-1115.637,-752.889)      1432.22  1432.87  
20    1189.78536 -1263.05527 -3429.46550 -321.78488 -975.62476 -3555.98016     (-1116.515,-140.891) (-73.270,-1884.629) (-1156.519,-2439.465)     -188.54065 -1316.11396 -1127.17795 -1367.74780 -1466.70818 -758.85503     (-188.541,-1367.748) (-1316.114,-1466.708) (-1127.178,-758.855)      1442.73  1443.07  
21    1149.70525 -1226.60208 -3441.00693 -347.31729 -949.98834 -3561.94606     (-1072.808,-122.820) (-76.897,-1968.765) (-1174.486,-2489.138)     -228.62076 -1279.66076 -1138.71939 -1393.28022 -1441.07176 -764.82094     (-228.621,-1393.280) (-1279.661,-1441.072) (-1138.719,-764.821)      1440.9  1441.24  
22    1109.62515 -1190.14888 -3452.54837 -372.84970 -924.35192 -3567.91196     (-1029.101,-104.750) (-80.524,-2052.900) (-1192.452,-2538.811)     -268.70086 -1243.20757 -1150.26083 -1418.81263 -1415.43533 -770.78684     (-268.701,-1418.813) (-1243.208,-1415.435) (-1150.261,-770.787)      1440.07  1440.07  
23    1069.54505 -1153.69568 -3464.08981 -398.38211 -898.71550 -3573.87787     (-985.394,-86.679) (-84.151,-2137.036) (-1210.419,-2588.483)     -308.78096 -1206.75437 -1161.80226 -1444.34504 -1389.79891 -776.75274     (-308.781,-1444.345) (-1206.754,-1389.799) (-1161.802,-776.753)      1424.92  1424.92  
24    1029.46495 -1117.24249 -3475.63125 -423.91453 -873.07908 -3579.84377     (-941.687,-68.608) (-87.778,-2221.172) (-1228.385,-2638.156)     -348.86106 -1170.30117 -1173.34370 -1469.87745 -1364.16249 -782.71865     (-348.861,-1469.877) (-1170.301,-1364.162) (-1173.344,-782.719)      1412.74  1412.74  
