PointDistanceFollower   Apr 16 2020   mode =  LINE3 
Fol_.1_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist LMDist  distance between 
Compute times (msec)     S6Dist  65   CS6Dist 6   LMDist  104243
PointDistanceFollower  Apr 16 2020  mode = LINE3
Fol_.1_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist LMDist distance between
0    -43.77735   1.01417 -20.01332 -10.96440  19.81342 -25.98681     (-12.439,-6.173) (-6.373,-8.289) (-12.626,-2.676)      0  0  0  
1    -43.20976   0.95730 -20.24591 -10.85262  19.43780 -25.84623     (-13.010,-6.408) (-7.217,-8.676) (-12.072,-2.177)      1.34071  1.34071  1.34071  
2    -42.64216   0.90044 -20.47849 -10.74083  19.06217 -25.70564     (-13.581,-6.643) (-8.060,-9.063) (-11.518,-1.678)      2.68143  2.68143  2.68143  
3    -42.07457   0.84358 -20.71108 -10.62905  18.68655 -25.56506     (-14.152,-6.879) (-8.903,-9.450) (-10.964,-1.179)      4.02214  4.02214  4.02214  
4    -41.50698   0.78671 -20.94366 -10.51726  18.31092 -25.42448     (-14.722,-7.114) (-9.746,-9.837) (-10.411,-0.680)      5.36286  4.18638  5.36286     glitch
5    -40.93938   0.72985 -21.17625 -10.40548  17.93530 -25.28390     (-15.293,-7.349) (-10.590,-10.224) (-9.857,-0.181)      6.70357  3.69862  6.70357  
6    -40.37179   0.67299 -21.40884 -10.29369  17.55967 -25.14332     (-11.115,-7.266) (-15.546,-10.294) (-9.621,-0.318)      7.43924  4.14895  8.04429  
7    -39.80420   0.61612 -21.64142 -10.18191  17.18405 -25.00274     (-11.460,-7.002) (-15.618,-10.182) (-9.566,-0.817)      7.86158  4.98718  8.15587  
8    -39.23660   0.55926 -21.87401 -10.07012  16.80842 -24.86216     (-11.804,-6.738) (-15.690,-10.070) (-9.511,-1.315)      8.31758  5.84615  8.31865  
9    -38.66901   0.50240 -22.10659  -9.95834  16.43280 -24.72157     (-12.148,-6.474) (-15.762,-9.958) (-9.456,-1.814)      8.53212  6.72129  8.53212  
10    -38.10141   0.44554 -22.33918  -9.84656  16.05717 -24.58099     (-12.493,-6.211) (-15.834,-9.847) (-9.401,-2.313)      8.79261  7.60915  8.79261  
11    -37.53382   0.38867 -22.57177  -9.73477  15.68155 -24.44041     (-12.837,-5.947) (-15.905,-9.735) (-9.346,-2.812)      8.61828  8.43605  8.61828  
12    -36.96623   0.33181 -22.80435  -9.62299  15.30592 -24.29983     (-13.181,-5.683) (-15.977,-9.623) (-9.291,-3.311)      8.18919  8.18919  8.18919  
13    -36.39863   0.27495 -23.03694  -9.51120  14.93030 -24.15925     (-13.526,-5.419) (-16.049,-9.511) (-9.236,-3.810)      7.79529  7.79529  7.79529  
14    -35.83104   0.21808 -23.26952  -9.39942  14.55467 -24.01867     (-13.870,-5.155) (-16.121,-9.399) (-9.181,-4.309)      7.44216  7.44216  7.44216  
15    -35.26345   0.16122 -23.50211  -9.28763  14.17905 -23.87808     (-14.214,-4.891) (-16.193,-9.288) (-9.126,-4.808)      7.13585  7.13585  7.13585  
16    -34.69585   0.10436 -23.73470  -9.17585  13.80342 -23.73750     (-14.559,-4.628) (-16.265,-9.176) (-9.071,-5.307)      6.88263  6.88263  6.88263  
17    -34.12826   0.04750 -23.96728  -9.06406  13.42780 -23.59692     (-14.903,-4.364) (-16.337,-9.064) (-9.017,-5.805)      6.68852  6.68852  6.68852  
18    -33.56067  -0.00937 -24.19987  -8.95228  13.05217 -23.45634     (-15.248,-4.100) (-16.409,-8.952) (-8.962,-6.304)      6.55878  6.55878  6.55878  
19    -32.99307  -0.06623 -24.43245  -8.84049  12.67655 -23.31576     (-15.592,-3.836) (-16.480,-8.840) (-8.907,-6.803)      6.49726  6.49726  6.49726  
20    -32.42548  -0.12309 -24.66504  -8.72871  12.30092 -23.17518     (-15.936,-3.572) (-16.552,-8.729) (-8.852,-7.302)      6.5059  6.5059  6.5059  
21    -31.85789  -0.17996 -24.89763  -8.61692  11.92530 -23.03459     (-16.281,-3.308) (-16.624,-8.617) (-8.797,-7.801)      6.58442  6.58442  6.58442  
22    -31.29029  -0.23682 -25.13021  -8.50514  11.54967 -22.89401     (-16.625,-3.045) (-16.696,-8.505) (-8.742,-8.300)      6.73038  6.73038  6.73038  
23    -30.72270  -0.29368 -25.36280  -8.39336  11.17405 -22.75343     (-16.969,-2.781) (-16.768,-8.393) (-8.687,-8.799)      6.93952  6.93952  6.93952  
24    -30.15511  -0.35054 -25.59538  -8.28157  10.79842 -22.61285     (-17.314,-2.517) (-16.840,-8.282) (-8.632,-9.298)      7.20634  7.20634  7.20634  
25    -29.58751  -0.40741 -25.82797  -8.16979  10.42280 -22.47227     (-17.658,-2.253) (-16.912,-8.170) (-8.577,-9.796)      7.52472  7.52472  7.52472  
26    -29.01992  -0.46427 -26.06056  -8.05800  10.04717 -22.33169     (-18.003,-1.989) (-16.984,-8.058) (-8.522,-10.295)      7.8884  7.8884  7.8884  
27    -28.45233  -0.52113 -26.29314  -7.94622   9.67155 -22.19110     (-18.347,-1.725) (-17.055,-7.946) (-8.467,-10.794)      8.29144  8.29144  8.29144  
28    -27.88473  -0.57800 -26.52573  -7.83443   9.29592 -22.05052     (-18.691,-1.461) (-17.127,-7.834) (-8.412,-11.293)      8.72838  8.72838  8.72838  
29    -27.31714  -0.63486 -26.75831  -7.72265   8.92030 -21.90994     (-19.036,-1.198) (-17.199,-7.723) (-8.358,-11.792)      9.19438  9.19438  9.19438  
30    -26.74955  -0.69172 -26.99090  -7.61086   8.54467 -21.76936     (-19.380,-0.934) (-17.271,-7.611) (-8.303,-12.291)      9.68526  9.68526  9.68526  
31    -26.18195  -0.74858 -27.22349  -7.49908   8.16905 -21.62878     (-19.724,-0.670) (-17.343,-7.499) (-8.248,-12.790)      10.1974  10.1974  10.1974  
32    -25.61436  -0.80545 -27.45607  -7.38729   7.79342 -21.48820     (-20.069,-0.406) (-17.415,-7.387) (-8.193,-13.289)      10.7278  10.7278  10.7278  
33    -25.04677  -0.86231 -27.68866  -7.27551   7.41780 -21.34762     (-20.413,-0.142) (-17.487,-7.276) (-8.138,-13.788)      11.2739  11.2739  11.2739  
34    -24.47917  -0.91917 -27.92124  -7.16372   7.04217 -21.20703     (-20.879,-0.122) (-7.961,-7.042) (-17.437,-14.165)      11.778  11.8713  11.8334  
35    -23.91158  -0.97604 -28.15383  -7.05194   6.66655 -21.06645     (-21.487,-0.385) (-7.643,-6.667) (-17.245,-14.400)      12.2552  12.5501  12.4047  
36    -23.34399  -1.03290 -28.38642  -6.94015   6.29092 -20.92587     (-22.095,-0.649) (-7.324,-6.291) (-17.053,-14.635)      12.7752  13.2711  12.986  
37    -22.77639  -1.08976 -28.61900  -6.82837   5.91530 -20.78529     (-22.704,-0.913) (-7.005,-5.915) (-16.861,-14.870)      13.3331  14.0299  13.5762  
38    -22.20880  -1.14662 -28.85159  -6.71659   5.53967 -20.64471     (-23.312,-1.177) (-6.686,-5.540) (-16.669,-15.105)      13.9243  14.8225  14.1741  
39    -21.64121  -1.20349 -29.08417  -6.60480   5.16405 -20.50413     (-23.920,-1.441) (-6.368,-5.164) (-16.477,-15.340)      14.5447  15.4655  14.7788  
