PointDistanceFollower   Apr 16 2020   mode =  LINE3 
Fol_.0_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist LMDist  distance between 
Compute times (msec)     S6Dist  39   CS6Dist 7   LMDist  33179
PointDistanceFollower  Apr 16 2020  mode = LINE3
Fol_.0_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist LMDist distance between
0    -39.37512 -42.84167   6.99829  -1.46656 -11.47044   2.30203     (-0.835,-31.147) (-4.696,-0.631) (-9.168,-26.010)      0  6.7435e-07  0  
1    -39.55395 -42.97873   6.41699  -1.49736 -11.32387   2.17545     (-0.678,-32.320) (-4.242,-0.819) (-9.148,-27.539)      1.99579  1.99579  1.99579  
2    -39.73279 -43.11580   5.83569  -1.52815 -11.17730   2.04886     (-0.521,-33.493) (-3.787,-1.007) (-9.128,-29.069)      3.99159  3.98888  3.99159  
3    -39.91162 -43.25286   5.25438  -1.55895 -11.03072   1.92227     (-0.363,-34.666) (-3.332,-1.196) (-9.108,-30.598)      5.98738  5.89102  5.98738  
4    -40.09046 -43.38993   4.67308  -1.58975 -10.88415   1.79569     (-0.206,-35.839) (-2.877,-1.384) (-9.088,-32.128)      7.98317  7.84395  7.98317  
5    -40.26929 -43.52699   4.09178  -1.62054 -10.73758   1.66910     (-0.049,-37.013) (-2.423,-1.572) (-9.068,-33.658)      9.97897  9.81533  9.97897  
6    -40.44812 -43.66405   3.51048  -1.65134 -10.59101   1.54251     (-0.109,-38.294) (-1.859,-8.940) (-1.651,-35.079)      11.9734  11.6385  11.9748  
7    -40.62696 -43.80112   2.92918  -1.68213 -10.44444   1.41593     (-0.266,-39.625) (-1.247,-8.762) (-1.682,-36.451)      13.9739  13.6452  13.9706  
8    -40.80579 -43.93818   2.34787  -1.71293 -10.29786   1.28934     (-0.424,-40.955) (-0.635,-8.585) (-1.713,-37.823)      15.9796  14.5942  15.9663  
9    -40.98462 -44.07524   1.76657  -1.74373 -10.15129   1.16275     (-0.581,-42.286) (-0.023,-8.408) (-1.744,-39.195)      17.9887  15.3704  17.9621  
10    -41.16346 -44.21231   1.18527  -1.77452 -10.00472   1.03617     (-39.978,-43.027) (-0.589,-8.819) (-1.185,-0.149)      18.9795  15.5467  19.1754  
11    -41.34229 -44.34937   0.60397  -1.80532  -9.85815   0.90958     (-43.440,-0.896) (-40.433,-8.949) (-0.306,-0.910)      19.4562  19.1304  19.4562     glitch
12    -41.52113 -44.48643   0.02267  -1.83611  -9.71157   0.78299     (-43.703,-1.053) (-40.738,-8.929) (-0.760,-0.783)      19.7537  19.4304  19.7537  
13    -41.69996 -44.62350  -0.55863  -1.86691  -9.56500   0.65641     (-43.967,-1.211) (-41.044,-8.909) (-1.215,-0.656)      20.0673  19.7471  20.0673  
14    -41.87879 -44.76056  -1.13994  -1.89771  -9.41843   0.52982     (-44.231,-1.368) (-41.349,-8.889) (-1.670,-0.530)      20.3963  19.9817  20.3963  
15    -42.05763 -44.89763  -1.72124  -1.92850  -9.27186   0.40324     (-44.494,-1.525) (-41.654,-8.869) (-2.124,-0.403)      20.7398  20.2059  20.7398  
16    -42.23646 -45.03469  -2.30254  -1.95930  -9.12529   0.27665     (-44.758,-1.683) (-41.960,-8.849) (-2.579,-0.277)      21.0972  20.4436  21.0972  
17    -42.41530 -45.17175  -2.88384  -1.99010  -8.97871   0.15006     (-45.022,-1.840) (-42.265,-8.829) (-3.034,-0.150)      21.4678  20.6941  21.4678  
18    -42.59413 -45.30882  -3.46514  -2.02089  -8.83214   0.02348     (-45.285,-1.997) (-42.571,-8.809) (-3.489,-0.023)      21.8509  20.9567  21.8509  
19    -42.77296 -45.44588  -4.04645  -2.05169  -8.68557  -0.10311     (-42.773,-2.052) (-45.446,-8.686) (-4.046,-0.103)      22.0938  21.2936  22.2459  
20    -42.95180 -45.58294  -4.62775  -2.08248  -8.53900  -0.22970     (-42.952,-2.082) (-45.583,-8.539) (-4.628,-0.230)      22.3188  21.6611  22.6522  
21    -43.13063 -45.72001  -5.20905  -2.11328  -8.39243  -0.35628     (-43.131,-2.113) (-45.720,-8.392) (-5.209,-0.356)      22.5604  22.0449  23.0691  
22    -43.30946 -45.85707  -5.79035  -2.14408  -8.24585  -0.48287     (-43.309,-2.144) (-45.857,-8.246) (-5.790,-0.483)      22.8182  22.4444  23.3586  
23    -43.48830 -45.99413  -6.37165  -2.17487  -8.09928  -0.60946     (-43.488,-2.175) (-45.994,-8.099) (-6.372,-0.609)      23.0916  22.859  23.6099  
24    -43.66713 -46.13120  -6.95296  -2.20567  -7.95271  -0.73604     (-43.667,-2.206) (-46.131,-7.953) (-6.953,-0.736)      23.3801  23.1865  23.8765  
25    -43.84597 -46.26826  -7.53426  -2.23647  -7.80614  -0.86263     (-43.846,-2.236) (-46.268,-7.806) (-7.534,-0.863)      23.6831  23.5074  24.1578  
26    -44.02480 -46.40533  -8.11556  -2.26726  -7.65956  -0.98922     (-44.025,-2.267) (-46.405,-7.660) (-8.116,-0.989)      24.0001  23.8424  24.4533  
27    -44.20363 -46.54239  -8.69686  -2.29806  -7.51299  -1.11580     (-44.204,-2.298) (-46.542,-7.513) (-8.697,-1.116)      24.3305  24.1907  24.7626  
28    -44.38247 -46.67945  -9.27816  -2.32885  -7.36642  -1.24239     (-44.382,-2.329) (-46.679,-7.366) (-9.278,-1.242)      24.6738  24.5518  25.0851  
29    -44.56130 -46.81652  -9.85947  -2.35965  -7.21985  -1.36897     (-44.561,-2.360) (-46.817,-7.220) (-9.859,-1.369)      25.0295  24.9251  25.4203  
30    -44.74014 -46.95358 -10.44077  -2.39045  -7.07328  -1.49556     (-44.740,-2.390) (-46.954,-7.073) (-10.441,-1.496)      25.397  25.3101  25.7677  
31    -44.91897 -47.09064 -11.02207  -2.42124  -6.92670  -1.62215     (-44.919,-2.421) (-47.091,-6.927) (-11.022,-1.622)      25.7758  25.7062  26.1268  
32    -45.09780 -47.22771 -11.60337  -2.45204  -6.78013  -1.74873     (-45.098,-2.452) (-47.228,-6.780) (-11.603,-1.749)      26.1655  26.1129  26.4972  
33    -45.27664 -47.36477 -12.18467  -2.48284  -6.63356  -1.87532     (-45.277,-2.483) (-47.365,-6.634) (-12.185,-1.875)      26.5655  26.5297  26.8784  
