Fol_2018-05-05.12_22_22.1_6.txt     Output is probe cell, reduced cell, NCDist distance between
0    -3875.68547 979.38158 -3272.83026 -3090.78775 2453.42710 -2740.36048     (-819.403,-637.361) (-1474.046,-2453.427) (-1422.258,-286.933) 0
1    -3844.81393 954.59949 -3254.13761 -3066.00566 2403.86291 -2715.57839     (-850.275,-662.143) (-1449.263,-2403.863) (-1440.951,-311.715) 74.8434
2    -3813.94240 929.81740 -3235.44497 -3041.22356 2354.29873 -2690.79629     (-881.146,-686.925) (-1424.481,-2354.299) (-1459.644,-336.498) 149.687
3    -3783.07086 905.03531 -3216.75232 -3016.44147 2304.73455 -2666.01420     (-912.018,-711.707) (-1399.699,-2304.735) (-1478.336,-361.280) 224.53
4    -3752.19932 880.25321 -3198.05968 -2991.65938 2255.17036 -2641.23211     (-942.889,-736.489) (-1374.917,-2255.170) (-1497.029,-386.062) 299.374
5    -3721.32778 855.47112 -3179.36703 -2966.87729 2205.60618 -2616.45002     (-973.761,-761.271) (-1350.135,-2205.606) (-1515.722,-410.844) 374.217
6    -3690.45624 830.68903 -3160.67439 -2942.09520 2156.04199 -2591.66793     (-1004.632,-786.053) (-1325.353,-2156.042) (-1534.414,-435.626) 449.06
7    -3659.58470 805.90694 -3141.98174 -2917.31311 2106.47781 -2566.88584     (-1035.504,-810.835) (-1300.571,-2106.478) (-1553.107,-460.408) 523.904
8    -3628.71316 781.12485 -3123.28910 -2892.53101 2056.91363 -2542.10374     (-1066.375,-835.617) (-1275.789,-2056.914) (-1571.800,-485.190) 598.747
9    -3597.84163 756.34275 -3104.59645 -2867.74892 2007.34944 -2517.32165     (-1097.247,-860.399) (-1251.007,-2007.349) (-1590.492,-509.972) 673.59
10    -3566.97009 731.56066 -3085.90381 -2842.96683 1957.78526 -2492.53956     (-1128.119,-885.182) (-1226.225,-1957.785) (-1609.185,-534.754) 748.434
11    -3536.09855 706.77857 -3067.21116 -2818.18474 1908.22108 -2467.75747     (-1158.990,-909.964) (-1201.443,-1908.221) (-1627.877,-559.536) 823.277
12    -3505.22701 681.99648 -3048.51852 -2793.40265 1858.65689 -2442.97538     (-1189.862,-934.746) (-1176.660,-1858.657) (-1646.570,-584.318) 888.446
13    -3474.35547 657.21439 -3029.82587 -2768.62055 1809.09271 -2418.19328     (-1220.733,-959.528) (-1151.878,-1809.093) (-1665.263,-609.101) 925.477
