Fol_2018-05-06.16_48_34.1_1.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0      0.11163 -42.80780 -50.06249  -2.88626   4.98022 -14.01853     (-4.850,-5.092) (-33.416,-4.980) (-2.094,-34.899) 0  0  2.6974e-06  0  
1      0.06151 -42.71293 -49.57796  -2.90854   4.87961 -14.22944     (-5.408,-4.941) (-33.768,-4.880) (-1.971,-34.816) 0.699333  0.648635  1.17789  0.699333  
2      0.01139 -42.61807 -49.09343  -2.93082   4.77900 -14.44035     (-5.965,-4.790) (-34.120,-4.779) (-1.848,-34.734) 1.39867  1.29727  2.35578  1.39867  
3     -0.03873 -42.52321 -48.60890  -2.95310   4.67839 -14.65126     (-6.522,-4.640) (-34.472,-4.678) (-1.725,-34.651) 2.098  1.94591  3.53367  2.098  
4     -0.08886 -42.42835 -48.12437  -2.97537   4.57778 -14.86216     (-7.080,-4.489) (-34.823,-4.578) (-1.602,-34.569) 2.79733  2.59454  4.71156  2.79733  
5     -0.13898 -42.33348 -47.63984  -2.99765   4.47717 -15.07307     (-7.637,-4.338) (-35.175,-4.477) (-1.480,-34.486) 3.49666  3.24318  5.88945  3.49666  
6     -0.18910 -42.23862 -47.15531  -3.01993   4.37655 -15.28398     (-8.194,-4.187) (-35.527,-4.377) (-1.357,-34.404) 4.196  3.89181  7.06735  4.196  
7     -0.23922 -42.14376 -46.67078  -3.04221   4.27594 -15.49489     (-8.751,-4.037) (-35.879,-4.276) (-1.234,-34.321) 4.89533  4.54045  8.24524  4.89533  
8     -0.28934 -42.04890 -46.18625  -3.06449   4.17533 -15.70580     (-9.309,-3.886) (-36.231,-4.175) (-1.111,-34.239) 5.59466  5.18908  9.42313  5.59466  
9     -0.33946 -41.95403 -45.70172  -3.08677   4.07472 -15.91671     (-9.866,-3.735) (-36.582,-4.075) (-0.988,-34.156) 6.29399  5.83772  10.601  6.29399  
10     -0.38958 -41.85917 -45.21719  -3.10905   3.97411 -16.12762     (-10.423,-3.585) (-36.934,-3.974) (-0.865,-34.074) 6.99333  6.48635  11.7789  6.99333  
11     -0.43971 -41.76431 -44.73266  -3.13133   3.87350 -16.33853     (-10.981,-3.434) (-37.286,-3.874) (-0.742,-33.992) 7.69266  7.13499  12.9568  7.69266  
12     -0.48983 -41.66945 -44.24813  -3.15360   3.77289 -16.54944     (-11.538,-3.283) (-37.638,-3.773) (-0.619,-33.909) 8.39199  7.78362  14.1347  8.39199  
13     -0.53995 -41.57458 -43.76360  -3.17588   3.67228 -16.76035     (-12.095,-3.132) (-37.989,-3.672) (-0.496,-33.827) 9.08194  8.43226  15.3126  9.09133  
14     -0.59007 -41.47972 -43.27907  -3.19816   3.57167 -16.97126     (-12.653,-2.982) (-38.341,-3.572) (-0.374,-33.744) 9.7116  9.08089  16.4905  9.79066  
15     -0.64019 -41.38486 -42.79453  -3.22044   3.47106 -17.18217     (-13.210,-2.831) (-38.693,-3.471) (-0.251,-33.662) 10.3502  9.72953  17.664  10.49  
16     -0.69031 -41.29000 -42.31000  -3.24272   3.37045 -17.39308     (-13.767,-2.680) (-39.045,-3.370) (-0.128,-33.579) 10.9962  10.3782  18.7692  11.1893  
17     -0.74044 -41.19513 -41.82547  -3.26500   3.26984 -17.60399     (-14.324,-2.529) (-39.396,-3.270) (-0.005,-33.497) 11.6484  11.0268  19.8827  11.8887  
18     -0.79056 -41.10027 -41.34094  -3.28728   3.16923 -17.81490     (-14.764,-39.630) (-2.261,-3.051) (-0.118,-33.532) 11.9521  11.6754  20.7725  5.07542  
19     -0.84068 -41.00541 -40.85641  -3.30955   3.06862 -18.02581     (-15.198,-39.859) (-1.987,-2.828) (-0.241,-33.573) 12.3827  12.3241  21.6624  0.579358  
20     -0.89080 -40.91054 -40.37188  -3.33183   2.96801 -18.23672     (-15.633,-40.088) (-1.713,-2.604) (-0.364,-33.613) 12.8287  12.9727  22.5608  5.21503  
21     -0.94092 -40.81568 -39.88735  -3.35411   2.86740 -18.44763     (-16.067,-40.317) (-1.440,-2.381) (-0.487,-33.654) 13.2886  13.6213  23.4666  7.40424  
22     -0.99104 -40.72082 -39.40282  -3.37639   2.76679 -18.65854     (-16.501,-40.546) (-1.166,-2.157) (-0.610,-33.694) 13.7608  14.27  24.3791  9.12218  
23     -1.04116 -40.62596 -38.91829  -3.39867   2.66618 -18.86945     (-16.936,-40.775) (-0.893,-1.934) (-0.732,-33.735) 14.2443  14.9186  25.2974  10.6005  
24     -1.09129 -40.53109 -38.43376  -3.42095   2.56557 -19.08036     (-17.370,-41.003) (-0.619,-1.710) (-0.855,-33.775) 14.7379  15.5672  26.2211  11.9287  
25     -1.14141 -40.43623 -37.94923  -3.44323   2.46496 -19.29127     (-17.805,-41.232) (-0.345,-1.487) (-0.978,-33.815) 15.2407  16.2159  27.1496  13.1522  
26     -1.19153 -40.34137 -37.46470  -3.46551   2.36435 -19.50218     (-18.239,-41.461) (-0.072,-1.263) (-1.101,-33.856) 15.7516  16.8645  28.0823  14.298  
27     -1.24165 -40.24651 -36.98017  -3.48778   2.26374 -19.71309     (-33.694,-41.488) (-0.202,-1.242) (-1.022,-18.471) 15.9601  17.5083  28.6821  33.454  
28     -1.29177 -40.15164 -36.49564  -3.51006   2.16312 -19.92400     (-33.461,-41.443) (-0.476,-1.292) (-0.871,-18.632) 16.0697  17.6621  29.146  33.0831  
29     -1.34189 -40.05678 -36.01110  -3.53234   2.06251 -20.13491     (-33.228,-41.399) (-0.749,-1.342) (-0.721,-18.793) 16.1898  17.6288  29.0736  32.7136  
30     -1.39201 -39.96192 -35.52657  -3.55462   1.96190 -20.34582     (-32.995,-41.354) (-1.023,-1.392) (-0.570,-18.954) 16.3202  17.6193  29.0124  32.3455  
31     -1.44214 -39.86706 -35.04204  -3.57690   1.86129 -20.55673     (-32.762,-41.309) (-1.296,-1.442) (-0.419,-19.115) 16.4606  17.6337  28.9624  31.9788  
32     -1.49226 -39.77219 -34.55751  -3.59918   1.76068 -20.76764     (-32.528,-41.264) (-1.570,-1.492) (-0.268,-19.275) 16.6108  17.6719  28.9236  31.6137  
33     -1.54238 -39.67733 -34.07298  -3.62146   1.66007 -20.97855     (-32.295,-41.220) (-1.844,-1.542) (-0.118,-19.436) 16.7706  17.7338  28.8958  31.2501  
34     -1.59250 -39.58247 -33.58845  -3.64373   1.55946 -21.18945     (-32.029,-2.084) (-41.142,-1.559) (-0.033,-19.630) 17.1215  17.819  28.9083  17.1349  
35     -1.64262 -39.48761 -33.10392  -3.66601   1.45885 -21.40036     (-31.645,-2.207) (-40.946,-1.459) (-0.184,-19.942) 17.297  17.9274  29.0438  17.3101  
36     -1.69274 -39.39274 -32.61939  -3.68829   1.35824 -21.61127     (-31.261,-2.330) (-40.751,-1.358) (-0.335,-20.253) 17.4897  18.0584  29.2021  17.5024  
37     -1.74286 -39.29788 -32.13486  -3.71057   1.25763 -21.82218     (-30.877,-2.453) (-40.556,-1.258) (-0.485,-20.565) 17.6989  18.2116  29.3825  17.7113  
38     -1.79299 -39.20302 -31.65033  -3.73285   1.15702 -22.03309     (-30.493,-2.576) (-40.360,-1.157) (-0.636,-20.876) 17.9241  18.3864  29.5849  17.9362  
39     -1.84311 -39.10816 -31.16580  -3.75513   1.05641 -22.24400     (-30.109,-2.699) (-40.165,-1.056) (-0.787,-21.188) 18.1626  18.5822  29.8087  18.1766  
40     -1.89323 -39.01329 -30.68127  -3.77741   0.95580 -22.45491     (-29.725,-2.822) (-39.969,-0.956) (-0.937,-21.499) 18.3927  18.7984  30.0534  18.4317  
41     -1.94335 -38.91843 -30.19674  -3.79969   0.85519 -22.66582     (-29.342,-2.944) (-39.774,-0.855) (-1.088,-21.811) 18.6378  19.0342  30.3185  18.701  
42     -1.99347 -38.82357 -29.71221  -3.82196   0.75458 -22.87673     (-28.958,-3.067) (-39.578,-0.755) (-1.239,-22.122) 18.8971  19.289  30.6035  18.984  
43     -2.04359 -38.72871 -29.22768  -3.84424   0.65397 -23.08764     (-28.574,-3.190) (-39.383,-0.654) (-1.390,-22.434) 19.1702  19.5619  30.9079  19.2799  
44     -2.09371 -38.63384 -28.74314  -3.86652   0.55336 -23.29855     (-28.190,-3.313) (-39.187,-0.553) (-1.540,-22.745) 19.4565  19.8523  31.2311  19.5882  
45     -2.14384 -38.53898 -28.25861  -3.88880   0.45275 -23.50946     (-27.806,-3.436) (-38.992,-0.453) (-1.691,-23.057) 19.7553  20.1594  31.5514  19.9084  
46     -2.19396 -38.44412 -27.77408  -3.91108   0.35214 -23.72037     (-27.422,-3.559) (-38.796,-0.352) (-1.842,-23.368) 20.0662  20.4825  31.8783  20.2399  
47     -2.24408 -38.34926 -27.28955  -3.93336   0.25153 -23.93128     (-27.038,-3.682) (-38.601,-0.252) (-1.993,-23.680) 20.3886  20.8207  32.2229  20.582  
48     -2.29420 -38.25439 -26.80502  -3.95564   0.15092 -24.14219     (-26.654,-3.805) (-38.405,-0.151) (-2.143,-23.991) 20.7219  21.1734  32.5847  20.9344  
49     -2.34432 -38.15953 -26.32049  -3.97791   0.05031 -24.35310     (-26.270,-3.928) (-38.210,-0.050) (-2.294,-24.303) 21.0656  21.5399  32.9632  21.2965  
50     -2.39444 -38.06467 -25.83596  -4.00019  -0.05031 -24.56401     (-2.394,-4.000) (-38.065,-0.050) (-25.836,-24.564) 21.4065  21.4449  33.3145  21.5218  
51     -2.44456 -37.96981 -25.35143  -4.02247  -0.15092 -24.77492     (-2.445,-4.022) (-37.970,-0.151) (-25.351,-24.775) 21.7437  20.9513  33.6396  21.8581  
52     -2.49469 -37.87494 -24.86690  -4.04475  -0.25153 -24.98583     (-2.495,-4.045) (-37.875,-0.252) (-24.867,-24.986) 21.9273  20.4663  33.7597  22.033  
53     -2.54481 -37.78008 -24.38237  -4.06703  -0.35214 -25.19674     (-2.545,-4.067) (-37.780,-0.352) (-24.382,-25.197) 21.3816  19.9905  32.9412  21.4874  
54     -2.59493 -37.68522 -23.89784  -4.08931  -0.45275 -25.40765     (-2.595,-4.089) (-37.685,-0.453) (-23.898,-25.408) 20.8362  19.5248  32.123  20.942  
55     -2.64505 -37.59036 -23.41331  -4.11159  -0.55336 -25.61856     (-2.645,-4.112) (-37.590,-0.553) (-23.413,-25.619) 20.2909  19.0697  31.305  20.3968  
56     -2.69517 -37.49549 -22.92878  -4.13386  -0.65397 -25.82947     (-2.695,-4.134) (-37.495,-0.654) (-22.929,-25.829) 19.7458  18.6261  30.4875  19.8518  
57     -2.74529 -37.40063 -22.44425  -4.15614  -0.75458 -26.04038     (-2.745,-4.156) (-37.401,-0.755) (-22.444,-26.040) 19.2009  18.1949  29.6702  19.307  
58     -2.79541 -37.30577 -21.95972  -4.17842  -0.85519 -26.25129     (-2.795,-4.178) (-37.306,-0.855) (-21.960,-26.251) 18.6563  17.7768  28.8534  18.7624  
59     -2.84554 -37.21091 -21.47518  -4.20070  -0.95580 -26.46220     (-2.846,-4.201) (-37.211,-0.956) (-21.475,-26.462) 18.112  17.3729  28.037  18.2181  
60     -2.89566 -37.11604 -20.99065  -4.22298  -1.05641 -26.67311     (-2.896,-4.223) (-37.116,-1.056) (-20.991,-26.673) 17.5679  16.9841  27.221  17.6742  
61     -2.94578 -37.02118 -20.50612  -4.24526  -1.15702 -26.88402     (-2.946,-4.245) (-37.021,-1.157) (-20.506,-26.884) 17.0242  16.6116  26.4056  17.1305  
62     -2.99590 -36.92632 -20.02159  -4.26754  -1.25763 -27.09493     (-2.996,-4.268) (-36.926,-1.258) (-20.022,-27.095) 16.4808  16.2565  25.5907  16.5872  
63     -3.04602 -36.83146 -19.53706  -4.28982  -1.35824 -27.30583     (-3.046,-4.290) (-36.831,-1.358) (-19.537,-27.306) 15.9378  15.9199  24.7765  16.0442  
64     -3.09614 -36.73659 -19.05253  -4.31209  -1.45885 -27.51674     (-3.096,-4.312) (-36.737,-1.459) (-19.053,-27.517) 15.3952  15.603  23.9629  15.5017  
65     -3.14626 -36.64173 -18.56800  -4.33437  -1.55946 -27.72765     (-3.146,-4.334) (-36.642,-1.559) (-18.568,-27.728) 14.8531  15.307  23.15  14.9597  
66     -3.19639 -36.54687 -18.08347  -4.35665  -1.66007 -27.93856     (-3.196,-4.357) (-36.547,-1.660) (-18.083,-27.939) 14.3115  14.8687  22.338  14.4182  
67     -3.24651 -36.45201 -17.59894  -4.37893  -1.76068 -28.14947     (-3.247,-4.379) (-36.452,-1.761) (-17.599,-28.149) 13.7705  14.3752  21.5269  13.8772  
68     -3.29663 -36.35714 -17.11441  -4.40121  -1.86129 -28.36038     (-3.297,-4.401) (-36.357,-1.861) (-17.114,-28.360) 13.2301  13.8903  20.7169  13.337  
69     -3.34675 -36.26228 -16.62988  -4.42349  -1.96190 -28.57129     (-3.347,-4.423) (-36.262,-1.962) (-16.630,-28.571) 12.6905  13.4149  19.9079  12.7974  
70     -3.39687 -36.16742 -16.14535  -4.44577  -2.06251 -28.78220     (-3.397,-4.446) (-36.167,-2.063) (-16.145,-28.782) 12.1517  12.95  19.1003  12.2588  
71     -3.44699 -36.07256 -15.66082  -4.46804  -2.16312 -28.99311     (-3.447,-4.468) (-36.073,-2.163) (-15.661,-28.993) 11.6139  12.4838  18.2942  11.721  
72     -3.49711 -35.97769 -15.17629  -4.49032  -2.26374 -29.20402     (-3.497,-4.490) (-35.978,-2.264) (-15.176,-29.204) 11.0772  12.0276  17.4897  11.1844  
73     -3.54724 -35.88283 -14.69175  -4.51260  -2.36435 -29.41493     (-3.547,-4.513) (-35.883,-2.364) (-14.692,-29.415) 10.5418  11.5897  16.6872  10.649  
74     -3.59736 -35.78797 -14.20722  -4.53488  -2.46496 -29.62584     (-3.597,-4.535) (-35.788,-2.465) (-14.207,-29.626) 10.0078  11.1723  15.8869  10.1151  
75     -3.64748 -35.69311 -13.72269  -4.55716  -2.56557 -29.83675     (-3.647,-4.557) (-35.693,-2.566) (-13.723,-29.837) 9.4755  10.7778  15.0891  9.58287  
76     -3.69760 -35.59824 -13.23816  -4.57944  -2.66618 -30.04766     (-3.698,-4.579) (-35.598,-2.666) (-13.238,-30.048) 8.94525  10.4088  14.2943  9.05265  
77     -3.74772 -35.50338 -12.75363  -4.60172  -2.76679 -30.25857     (-3.748,-4.602) (-35.503,-2.767) (-12.754,-30.259) 8.41739  10.0682  13.503  8.52482  
78     -3.79784 -35.40852 -12.26910  -4.62400  -2.86740 -30.46948     (-3.798,-4.624) (-35.409,-2.867) (-12.269,-30.469) 7.89242  9.75877  12.7159  7.99982  
79     -3.84797 -35.31366 -11.78457  -4.64627  -2.96801 -30.68039     (-3.848,-4.646) (-35.314,-2.968) (-11.785,-30.680) 7.37095  9.4837  11.9339  7.47828  
80     -3.89809 -35.21879 -11.30004  -4.66855  -3.06862 -30.89130     (-3.898,-4.669) (-35.219,-3.069) (-11.300,-30.891) 6.85378  9.21898  11.1578  6.96095  
81     -3.94821 -35.12393 -10.81551  -4.69083  -3.16923 -31.10221     (-3.948,-4.691) (-35.124,-3.169) (-10.816,-31.102) 6.34196  8.98352  10.3892  6.44887  
82     -3.99833 -35.02907 -10.33098  -4.71311  -3.26984 -31.31312     (-3.998,-4.713) (-35.029,-3.270) (-10.331,-31.313) 5.8369  8.78306  9.62977  5.94337  
83     -4.04845 -34.93420  -9.84645  -4.73539  -3.37045 -31.52403     (-4.048,-4.735) (-34.934,-3.370) (-9.846,-31.524) 5.34051  8.62006  8.88187  5.4463  
84     -4.09857 -34.83934  -9.36192  -4.75767  -3.47106 -31.73494     (-4.099,-4.758) (-34.839,-3.471) (-9.362,-31.735) 4.85546  8.49666  8.1487  4.96019  
