Fol_2018-05-14.12_58_00.30_29.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
0     -1.57540 -28.58795   8.84285 -58.28142 -23.08509 -35.93288     (-7.267,-27.013) (-42.171,-1.575) (-6.975,-37.508) 21.8018  21.8018  
1     -1.58110 -28.60155   8.82701 -58.25012 -23.06356 -35.93445     (-7.246,-27.020) (-42.177,-1.581) (-6.991,-37.516) 21.7686  21.7686  
2     -1.58680 -28.61514   8.81118 -58.21882 -23.04203 -35.93603     (-7.224,-27.028) (-42.183,-1.587) (-7.006,-37.523) 21.7355  21.7355  
3     -1.59250 -28.62874   8.79535 -58.18752 -23.02049 -35.93761     (-7.203,-27.036) (-42.189,-1.592) (-7.022,-37.530) 21.7026  21.7026  
4     -1.59819 -28.64234   8.77951 -58.15622 -22.99896 -35.93919     (-7.181,-27.044) (-42.195,-1.598) (-7.038,-37.537) 21.6697  21.6697  
5     -1.60389 -28.65593   8.76368 -58.12492 -22.97743 -35.94076     (-7.160,-27.052) (-42.201,-1.604) (-7.054,-37.545) 21.6369  21.6369  
6     -1.60959 -28.66953   8.74785 -58.09362 -22.95590 -35.94234     (-7.138,-27.060) (-42.208,-1.610) (-7.070,-37.552) 21.6043  21.6043  
7     -1.61529 -28.68313   8.73201 -58.06232 -22.93437 -35.94392     (-7.117,-27.068) (-42.214,-1.615) (-7.086,-37.559) 21.5718  21.5718  
8     -1.62098 -28.69672   8.71618 -58.03102 -22.91284 -35.94549     (-7.095,-27.076) (-42.220,-1.621) (-7.101,-37.566) 21.5394  21.5394  
9     -1.62668 -28.71032   8.70035 -57.99972 -22.89131 -35.94707     (-7.074,-27.084) (-42.226,-1.627) (-7.117,-37.574) 21.5071  21.5071  
10     -1.63238 -28.72392   8.68451 -57.96842 -22.86978 -35.94865     (-7.052,-27.092) (-42.232,-1.632) (-7.133,-37.581) 21.4749  21.4749  
11     -1.63808 -28.73751   8.66868 -57.93712 -22.84824 -35.95022     (-7.031,-27.099) (-42.238,-1.638) (-7.149,-37.588) 21.4428  21.4428  
12     -1.64378 -28.75111   8.65285 -57.90582 -22.82671 -35.95180     (-7.009,-27.107) (-42.244,-1.644) (-7.165,-37.596) 21.4108  21.4108  
13     -1.64947 -28.76471   8.63701 -57.87452 -22.80518 -35.95338     (-6.988,-27.115) (-42.250,-1.649) (-7.181,-37.603) 21.379  21.379  
14     -1.65517 -28.77830   8.62118 -57.84322 -22.78365 -35.95496     (-6.966,-27.123) (-42.256,-1.655) (-7.196,-37.610) 21.3473  21.3473  
15     -1.66087 -28.79190   8.60535 -57.81192 -22.76212 -35.95653     (-6.944,-27.131) (-42.262,-1.661) (-7.212,-37.617) 21.3157  21.3157  
16     -1.66657 -28.80550   8.58951 -57.78062 -22.74059 -35.95811     (-6.923,-27.139) (-42.268,-1.667) (-7.228,-37.625) 21.2842  21.2842  
17     -1.67226 -28.81910   8.57368 -57.74932 -22.71906 -35.95969     (-6.901,-27.147) (-42.274,-1.672) (-7.244,-37.632) 21.2528  21.2528  
18     -1.67796 -28.83269   8.55784 -57.71802 -22.69753 -35.96126     (-6.880,-27.155) (-42.280,-1.678) (-7.260,-37.639) 21.2216  21.2216  
19     -1.68366 -28.84629   8.54201 -57.68672 -22.67599 -35.96284     (-6.858,-27.163) (-42.286,-1.684) (-7.276,-37.647) 21.1904  21.1904  
20     -1.68936 -28.85989   8.52618 -57.65542 -22.65446 -35.96442     (-6.837,-27.171) (-42.292,-1.689) (-7.291,-37.654) 21.1594  21.1594  
21     -1.69506 -28.87348   8.51034 -57.62412 -22.63293 -35.96599     (-6.815,-27.178) (-42.298,-1.695) (-7.307,-37.661) 21.1285  21.1285  
22     -1.70075 -28.88708   8.49451 -57.59282 -22.61140 -35.96757     (-6.794,-27.186) (-42.305,-1.701) (-7.323,-37.668) 21.0978  21.0978  
23     -1.70645 -28.90068   8.47868 -57.56152 -22.58987 -35.96915     (-6.772,-27.194) (-42.311,-1.706) (-7.339,-37.676) 21.0671  21.0671  
24     -1.71215 -28.91427   8.46284 -57.53022 -22.56834 -35.97073     (-6.751,-27.202) (-42.317,-1.712) (-7.355,-37.683) 21.0366  21.0366  
25     -1.71785 -28.92787   8.44701 -57.49892 -22.54681 -35.97230     (-6.729,-27.210) (-42.323,-1.718) (-7.371,-37.690) 21.0062  21.0062  
26     -1.72354 -28.94147   8.43118 -57.46762 -22.52528 -35.97388     (-6.708,-27.218) (-42.329,-1.724) (-7.386,-37.697) 20.9759  20.9759  
27     -1.72924 -28.95506   8.41534 -57.43632 -22.50374 -35.97546     (-6.686,-27.226) (-42.335,-1.729) (-7.402,-37.705) 20.9458  20.9458  
28     -1.73494 -28.96866   8.39951 -57.40502 -22.48221 -35.97703     (-6.665,-27.234) (-42.341,-1.735) (-7.418,-37.712) 20.9158  20.9158  
29     -1.74064 -28.98226   8.38368 -57.37372 -22.46068 -35.97861     (-6.643,-27.242) (-42.347,-1.741) (-7.434,-37.719) 20.8858  20.8858  
30     -1.74633 -28.99585   8.36784 -57.34242 -22.43915 -35.98019     (-6.622,-27.250) (-42.353,-1.746) (-7.450,-37.727) 20.8561  20.8561  
31     -1.75203 -29.00945   8.35201 -57.31112 -22.41762 -35.98176     (-6.600,-27.257) (-42.359,-1.752) (-7.466,-37.734) 20.8264  20.8264  
32     -1.75773 -29.02305   8.33618 -57.27982 -22.39609 -35.98334     (-6.578,-27.265) (-42.365,-1.758) (-7.481,-37.741) 20.7969  20.7969  
33     -1.76343 -29.03664   8.32034 -57.24852 -22.37456 -35.98492     (-6.557,-27.273) (-42.371,-1.763) (-7.497,-37.748) 20.7675  20.7675  
34     -1.76913 -29.05024   8.30451 -57.21722 -22.35303 -35.98650     (-6.535,-27.281) (-42.377,-1.769) (-7.513,-37.756) 20.7382  20.7382  
35     -1.77482 -29.06384   8.28868 -57.18592 -22.33149 -35.98807     (-6.514,-27.289) (-42.383,-1.775) (-7.529,-37.763) 20.7091  20.7091  
36     -1.78052 -29.07743   8.27284 -57.15462 -22.30996 -35.98965     (-6.492,-27.297) (-42.389,-1.781) (-7.545,-37.770) 20.6801  20.6801  
37     -1.78622 -29.09103   8.25701 -57.12332 -22.28843 -35.99123     (-6.471,-27.305) (-42.396,-1.786) (-7.561,-37.777) 20.6512  20.6512  
