PointDistanceFollower  May 16 2018
Fol_2018-05-16.16_22_57.42_41.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
0    -42.41575   6.63611 -19.93949 -19.78742  18.23578 -37.89805     (-1.704,-1.552) (-11.600,-18.236) (-24.180,-19.662)      -3.26993   2.19366 -28.32570 -13.59376   5.92119 -37.50357     (-19.753,-1.076) (-5.021,-3.270) (-2.651,-34.234)      21.9606  22.7476  
1    -42.00451   6.45191 -19.98233 -19.60322  17.86738 -37.71385     (-2.115,-1.736) (-11.415,-17.867) (-24.137,-19.846)      -3.43643   2.12079 -28.06636 -13.46732   5.82835 -37.47054     (-19.846,-1.316) (-5.247,-3.436) (-2.392,-34.034)      21.8707  22.7998  
2    -41.59328   6.26771 -20.02516 -19.41902  17.49898 -37.52965     (-2.526,-1.920) (-11.231,-17.499) (-24.094,-20.031)      -3.60293   2.04791 -27.80702 -13.34088   5.73551 -37.43751     (-19.939,-1.555) (-5.473,-3.603) (-2.133,-33.835)      21.792  22.8629  
3    -41.18205   6.08351 -20.06799 -19.23482  17.13058 -37.34545     (-2.937,-2.104) (-11.047,-17.131) (-24.051,-20.215)      -3.76943   1.97503 -27.54768 -13.21444   5.64267 -37.40448     (-20.032,-1.794) (-5.699,-3.769) (-1.873,-33.635)      21.7246  22.9367  
4    -40.77082   5.89931 -20.11083 -19.05062  16.76218 -37.16125     (-3.349,-2.288) (-10.863,-16.762) (-24.009,-20.399)      -3.93593   1.90215 -27.28835 -13.08800   5.54983 -37.37145     (-20.125,-2.034) (-5.924,-3.936) (-1.614,-33.436)      21.6686  23.0213  
5    -40.35958   5.71511 -20.15366 -18.86642  16.39378 -36.97705     (-3.760,-2.473) (-10.679,-16.394) (-23.966,-20.583)      -4.10242   1.82927 -27.02901 -12.96156   5.45699 -37.33842     (-20.217,-2.273) (-6.150,-4.102) (-1.355,-33.236)      21.6241  23.1165  
6    -39.94835   5.53091 -20.19649 -18.68222  16.02538 -36.79285     (-4.171,-2.657) (-10.494,-16.025) (-23.923,-20.767)      -4.26892   1.75639 -26.76967 -12.83513   5.36415 -37.30539     (-20.310,-2.513) (-6.376,-4.269) (-1.095,-33.036)      21.5912  23.2221  
7    -39.53712   5.34671 -20.23933 -18.49802  15.65698 -36.60865     (-4.582,-2.841) (-10.310,-15.657) (-23.880,-20.952)      -4.43542   1.68351 -26.51033 -12.70869   5.27131 -37.27236     (-20.403,-2.752) (-6.601,-4.435) (-0.836,-32.837)      21.5699  23.338  
8    -39.12588   5.16251 -20.28216 -18.31382  15.28858 -36.42445     (-4.994,-3.025) (-10.126,-15.289) (-23.837,-21.136)      -4.60192   1.61064 -26.25100 -12.58225   5.17847 -37.23933     (-20.496,-2.991) (-6.827,-4.602) (-0.577,-32.637)      21.5603  23.464  
9    -38.71465   4.97831 -20.32499 -18.12963  14.92018 -36.24025     (-5.405,-3.209) (-9.942,-14.920) (-23.794,-21.320)      -4.76842   1.53776 -25.99166 -12.45581   5.08563 -37.20630     (-20.589,-3.231) (-7.053,-4.768) (-0.317,-32.438)      21.5623  23.6001  
10    -38.30342   4.79411 -20.36782 -17.94543  14.55178 -36.05605     (-5.816,-3.394) (-9.758,-14.552) (-23.752,-21.504)      -4.93491   1.46488 -25.73232 -12.32937   4.99279 -37.17327     (-20.682,-3.470) (-7.279,-4.935) (-0.058,-32.238)      21.576  23.5428  
11    -37.89219   4.60991 -20.41066 -17.76123  14.18338 -35.87185     (-6.227,-3.578) (-9.573,-14.183) (-23.709,-21.688)      -5.10141   1.39200 -25.47298 -12.20293   4.89995 -37.14024     (-20.573,-7.303) (-3.508,-4.900) (-0.201,-32.240)      19.0441  20.3542     glitch
12    -37.48095   4.42571 -20.45349 -17.57703  13.81498 -35.68765     (-6.639,-3.762) (-9.389,-13.815) (-23.666,-21.873)      -5.26791   1.31912 -25.21364 -12.07649   4.80711 -37.10721     (-20.407,-7.269) (-3.488,-4.807) (-0.461,-32.300)      18.8936  20.2813  
13    -37.06972   4.24151 -20.49632 -17.39283  13.44658 -35.50345     (-7.050,-3.946) (-9.205,-13.447) (-23.623,-22.057)      -5.43441   1.24624 -24.95431 -11.95005   4.71427 -37.07418     (-20.240,-7.236) (-3.468,-4.714) (-0.720,-32.360)      18.7476  20.2136  
14    -36.65849   4.05731 -20.53916 -17.20863  13.07818 -35.31925     (-7.461,-4.130) (-9.021,-13.078) (-23.580,-22.241)      -5.60091   1.17336 -24.69497 -11.82361   4.62144 -37.04115     (-20.074,-7.202) (-3.448,-4.621) (-0.979,-32.420)      18.6063  20.151  
15    -36.24726   3.87311 -20.58199 -17.02443  12.70979 -35.13505     (-7.872,-4.315) (-8.837,-12.710) (-23.537,-22.425)      -5.76741   1.10049 -24.43563 -11.69717   4.52860 -37.00812     (-19.907,-7.169) (-3.428,-4.529) (-1.239,-32.480)      18.4699  20.0936  
16    -35.83602   3.68891 -20.62482 -16.84023  12.34139 -34.95085     (-8.283,-4.499) (-8.652,-12.341) (-23.495,-22.609)      -5.93390   1.02761 -24.17629 -11.57073   4.43576 -36.97509     (-19.741,-7.135) (-3.408,-4.436) (-1.498,-32.539)      18.3383  20.0415  
17    -35.42479   3.50471 -20.66766 -16.65603  11.97299 -34.76665     (-8.695,-4.683) (-8.468,-11.973) (-23.452,-22.794)      -6.10040   0.95473 -23.91696 -11.44429   4.34292 -36.94206     (-19.574,-7.101) (-3.388,-4.343) (-1.757,-32.599)      18.2118  19.9947  
18    -35.01356   3.32051 -20.71049 -16.47183  11.60459 -34.58245     (-9.106,-4.867) (-8.284,-11.605) (-23.409,-22.978)      -6.26690   0.88185 -23.65762 -11.31785   4.25008 -36.90903     (-19.408,-7.068) (-3.368,-4.250) (-2.017,-32.659)      18.0904  19.9533  
19    -34.60233   3.13631 -20.75332 -16.28763  11.23619 -34.39825     (-9.517,-5.051) (-8.100,-11.236) (-23.366,-23.162)      -6.43340   0.80897 -23.39828 -11.19141   4.15724 -36.87600     (-19.241,-7.034) (-3.348,-4.157) (-2.276,-32.719)      17.9742  19.9172  
20    -34.19109   2.95211 -20.79615 -16.10343  10.86779 -34.21406     (-9.928,-5.236) (-7.916,-10.868) (-23.323,-23.346)      -6.59990   0.73609 -23.13894 -11.06497   4.06440 -36.84297     (-19.075,-7.001) (-3.328,-4.064) (-2.535,-32.779)      17.8633  19.8865  
21    -33.77986   2.76791 -20.83899 -15.91923  10.49939 -34.02986     (-10.340,-5.420) (-7.731,-10.499) (-23.280,-23.530)      -6.76639   0.66321 -22.87960 -10.93854   3.97156 -36.80994     (-18.908,-6.967) (-3.308,-3.972) (-2.795,-32.838)      17.7579  19.7439  
22    -33.36863   2.58371 -20.88182 -15.73503  10.13099 -33.84566     (-10.751,-5.604) (-7.547,-10.131) (-23.238,-23.715)      -6.93289   0.59034 -22.62027 -10.81210   3.87872 -36.77691     (-18.742,-6.933) (-3.288,-3.879) (-3.054,-32.898)      17.658  19.5395  
23    -32.95740   2.39951 -20.92465 -15.55083   9.76259 -33.66146     (-11.162,-5.788) (-7.363,-9.763) (-23.195,-23.899)      -7.09939   0.51746 -22.36093 -10.68566   3.78588 -36.74388     (-18.575,-6.900) (-3.268,-3.786) (-3.314,-32.958)      17.5637  19.3386  
24    -32.54616   2.21531 -20.96749 -15.36663   9.39419 -33.47726     (-11.573,-5.972) (-7.179,-9.394) (-23.152,-24.083)      -7.26589   0.44458 -22.10159 -10.55922   3.69304 -36.71086     (-18.409,-6.866) (-3.248,-3.693) (-3.573,-33.018)      17.4752  19.1412  
25    -32.13493   2.03111 -21.01032 -15.18243   9.02579 -33.29306     (-11.985,-6.157) (-6.995,-9.026) (-23.109,-24.267)      -7.43239   0.37170 -21.84225 -10.43278   3.60020 -36.67783     (-18.242,-6.833) (-3.228,-3.600) (-3.832,-33.078)      17.3924  18.9475  
26    -31.72370   1.84691 -21.05315 -14.99823   8.65739 -33.10886     (-12.396,-6.341) (-6.810,-8.657) (-23.066,-24.451)      -7.59888   0.29882 -21.58292 -10.30634   3.50736 -36.64480     (-18.076,-6.799) (-3.209,-3.507) (-4.092,-33.137)      17.3155  18.7576  
27    -31.31246   1.66271 -21.09599 -14.81403   8.28899 -32.92466     (-12.807,-6.525) (-6.626,-8.289) (-23.023,-24.636)      -7.76538   0.22594 -21.32358 -10.17990   3.41452 -36.61177     (-17.909,-6.765) (-3.189,-3.415) (-4.351,-33.197)      17.2446  18.5716  
28    -30.90123   1.47851 -21.13882 -14.62983   7.92059 -32.74046     (-13.218,-6.709) (-6.442,-7.921) (-22.981,-24.820)      -7.93188   0.15306 -21.06424 -10.05346   3.32168 -36.57874     (-17.743,-6.732) (-3.169,-3.322) (-4.610,-33.257)      17.1797  18.3896  
29    -30.49000   1.29431 -21.18165 -14.44563   7.55219 -32.55626     (-13.629,-6.893) (-6.258,-7.552) (-22.938,-25.004)      -8.09838   0.08019 -20.80490  -9.92702   3.22884 -36.54571     (-17.576,-6.698) (-3.149,-3.229) (-4.870,-33.317)      17.1209  18.2118  
30    -30.07877   1.11011 -21.22449 -14.26143   7.18379 -32.37206     (-14.041,-7.078) (-6.074,-7.184) (-22.895,-25.188)      -8.26488   0.00731 -20.54556  -9.80058   3.13600 -36.51268     (-17.410,-6.665) (-3.129,-3.136) (-5.129,-33.377)      17.0683  18.0382  
31    -29.66753   0.92591 -21.26732 -14.07723   6.81539 -32.18786     (-14.452,-7.262) (-5.889,-6.815) (-22.852,-25.372)      -8.43138  -0.06557 -20.28623  -9.67414   3.04316 -36.47965     (-17.243,-6.631) (-3.109,-3.043) (-5.388,-33.436)      17.0219  17.8691  
32    -29.25630   0.74171 -21.31015 -13.89303   6.44699 -32.00366     (-14.863,-7.446) (-5.705,-6.447) (-22.809,-25.557)      -8.59787  -0.13845 -20.02689  -9.54770   2.95032 -36.44662     (-17.077,-6.597) (-3.089,-2.950) (-5.648,-33.496)      16.9818  17.7045  
33    -28.84507   0.55752 -21.35298 -13.70883   6.07859 -31.81946     (-15.274,-7.630) (-5.521,-6.079) (-22.766,-25.741)      -8.76437  -0.21133 -19.76755  -9.42126   2.85748 -36.41359     (-16.910,-6.564) (-3.069,-2.857) (-5.907,-33.556)      16.948  17.5445  
34    -28.43384   0.37332 -21.39582 -13.52463   5.71019 -31.63526     (-15.686,-7.814) (-5.337,-5.710) (-22.724,-25.925)      -8.93087  -0.28421 -19.50821  -9.29482   2.76464 -36.38056     (-16.744,-6.530) (-3.049,-2.765) (-6.166,-33.616)      16.9206  17.3893  
35    -28.02260   0.18912 -21.43865 -13.34043   5.34179 -31.45106     (-16.097,-7.999) (-5.153,-5.342) (-22.681,-26.109)      -9.09737  -0.35709 -19.24888  -9.16839   2.67180 -36.34753     (-16.577,-6.497) (-3.029,-2.672) (-6.426,-33.676)      16.8761  17.239  
36    -27.61137   0.00492 -21.48148 -13.15623   4.97339 -31.26686     (-16.508,-8.183) (-4.968,-4.973) (-22.638,-26.293)      -9.26387  -0.42996 -18.98954  -9.04195   2.57896 -36.31450     (-16.411,-6.463) (-3.009,-2.579) (-6.685,-33.736)      16.7468  17.0938  
37    -27.20014  -0.17928 -21.52432 -12.97203   4.60499 -31.08266     (-16.919,-8.367) (-4.784,-4.605) (-22.595,-26.478)      -9.43036  -0.50284 -18.73020  -8.91551   2.48612 -36.28147     (-16.244,-6.429) (-2.989,-2.486) (-6.944,-33.795)      16.623  16.9537  
38    -26.78891  -0.36348 -21.56715 -12.78783   4.23660 -30.89846     (-17.331,-8.551) (-4.600,-4.237) (-22.552,-26.662)      -9.59686  -0.57572 -18.47086  -8.78907   2.39328 -36.24844     (-16.078,-6.396) (-2.969,-2.393) (-7.204,-33.855)      16.5049  16.8189  
39    -26.37767  -0.54768 -21.60998 -12.60363   3.86820 -30.71426     (-17.742,-8.735) (-4.416,-3.868) (-22.509,-26.846)      -9.76336  -0.64860 -18.21152  -8.66263   2.30044 -36.21541     (-15.911,-6.362) (-2.949,-2.300) (-7.463,-33.915)      16.3926  16.6896  
40    -25.96644  -0.73188 -21.65282 -12.41943   3.49980 -30.53006     (-18.153,-8.920) (-4.232,-3.500) (-22.467,-27.030)      -9.92986  -0.72148 -17.95219  -8.53619   2.20761 -36.18238     (-15.745,-6.329) (-2.929,-2.208) (-7.722,-33.975)      16.2861  16.5658  
