PointDistanceFollower  May 18 2018  mode = Single Point
Fol_2018-05-18.16_34_24.22_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
0     -1.61227 -41.52353 -44.71272  29.33628 -36.61087 -19.72275     (-19.462,-17.384) (-23.674,-2.339) (-3.424,-7.275)      0  9.53674e-07  
1     -1.63014 -41.50566 -44.67139  29.28951 -36.57656 -19.71029     (-19.503,-17.418) (-23.633,-2.292) (-3.510,-7.287)      0.120102  0.120102  
2     -1.64801 -41.48779 -44.63006  29.24275 -36.54226 -19.69783     (-19.545,-17.452) (-23.591,-2.245) (-3.597,-7.300)      0.240205  0.240205  
3     -1.66588 -41.46992 -44.58873  29.19598 -36.50795 -19.68537     (-19.586,-17.487) (-23.550,-2.199) (-3.684,-7.312)      0.360307  0.360307  
4     -1.68374 -41.45206 -44.54740  29.14921 -36.47365 -19.67291     (-19.627,-17.521) (-23.509,-2.152) (-3.770,-7.324)      0.48041  0.48041  
5     -1.70161 -41.43419 -44.50607  29.10245 -36.43934 -19.66045     (-19.669,-17.555) (-23.467,-2.105) (-3.857,-7.337)      0.600512  0.600512  
6     -1.71948 -41.41632 -44.46474  29.05568 -36.40503 -19.64799     (-19.710,-17.590) (-23.426,-2.058) (-3.943,-7.349)      0.720614  0.720614  
7     -1.73735 -41.39846 -44.42341  29.00891 -36.37073 -19.63553     (-19.751,-17.624) (-23.384,-2.012) (-4.030,-7.362)      0.840717  0.840717  
8     -1.75521 -41.38059 -44.38208  28.96215 -36.33642 -19.62306     (-19.793,-17.658) (-23.343,-1.965) (-4.116,-7.374)      0.960819  0.960819  
9     -1.77308 -41.36272 -44.34075  28.91538 -36.30211 -19.61060     (-19.834,-17.693) (-23.302,-1.918) (-4.203,-7.387)      1.08092  1.08092  
10     -1.79095 -41.34485 -44.29942  28.86861 -36.26781 -19.59814     (-19.875,-17.727) (-23.260,-1.871) (-4.289,-7.399)      1.20102  1.20102  
