PointDistanceFollower  May 26 2018  mode = LINE3
Fol_2018-05-26.10_14_43.0_3.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
0     10.65288 -49.61510 -49.04104   4.05350  -1.77719  -9.94080     (-1.777,-27.311) (-5.388,-31.290) (-7.098,-0.499)      10.78055 -55.29463   1.18129 -16.53920 -61.12907  -9.41979     (-10.781,-0.675) (-26.425,-1.361) (-41.793,-11.962)      12.9642  12.9642  
1     10.63025 -49.57055 -49.01222   4.03840  -1.77574  -9.94731     (-1.776,-27.336) (-5.422,-31.303) (-7.079,-0.487)      10.75792 -55.25008   1.21011 -16.55430 -61.12762  -9.42631     (-10.758,-0.713) (-26.434,-1.332) (-41.829,-11.968)      12.9914  12.9914  
2     10.60763 -49.52601 -48.98341   4.02331  -1.77429  -9.95383     (-1.774,-27.361) (-5.456,-31.317) (-7.059,-0.475)      10.73530 -55.20554   1.23893 -16.56939 -61.12617  -9.43283     (-10.735,-0.751) (-26.442,-1.302) (-41.865,-11.974)      13.0188  13.0188  
3     10.58500 -49.48146 -48.95459   4.00821  -1.77283  -9.96035     (-1.773,-27.386) (-5.490,-31.330) (-7.039,-0.463)      10.71267 -55.16099   1.26774 -16.58449 -61.12472  -9.43935     (-10.713,-0.790) (-26.451,-1.273) (-41.902,-11.980)      13.0465  13.0465  
4     10.56237 -49.43691 -48.92577   3.99312  -1.77138  -9.96687     (-1.771,-27.411) (-5.523,-31.344) (-7.020,-0.450)      10.69005 -55.11644   1.29656 -16.59958 -61.12326  -9.44587     (-10.690,-0.828) (-26.460,-1.244) (-41.938,-11.987)      13.0745  13.0745  
5     10.53975 -49.39236 -48.89696   3.97802  -1.76993  -9.97339     (-1.770,-27.437) (-5.557,-31.357) (-7.000,-0.438)      10.66742 -55.07189   1.32538 -16.61468 -61.12181  -9.45238     (-10.667,-0.866) (-26.469,-1.215) (-41.974,-11.993)      13.1027  13.1027  
6     10.51712 -49.34781 -48.86814   3.96293  -1.76848  -9.97991     (-1.768,-27.462) (-5.591,-31.371) (-6.980,-0.426)      10.64480 -55.02734   1.35419 -16.62977 -61.12036  -9.45890     (-10.645,-0.905) (-26.478,-1.186) (-42.011,-11.999)      13.1313  13.1313  
7     10.49450 -49.30326 -48.83932   3.94783  -1.76703  -9.98643     (-1.767,-27.487) (-5.625,-31.384) (-6.960,-0.414)      10.62217 -54.98279   1.38301 -16.64487 -61.11891  -9.46542     (-10.622,-0.943) (-26.486,-1.157) (-42.047,-12.005)      13.16  13.16  
8     10.47187 -49.25872 -48.81051   3.93274  -1.76557  -9.99295     (-1.766,-27.512) (-5.659,-31.398) (-6.941,-0.402)      10.59955 -54.93825   1.41182 -16.65996 -61.11746  -9.47194     (-10.600,-0.982) (-26.495,-1.128) (-42.083,-12.011)      13.1891  13.1891  
9     10.44925 -49.21417 -48.78169   3.91764  -1.76412  -9.99947     (-1.764,-27.537) (-5.692,-31.411) (-6.921,-0.389)      10.57692 -54.89370   1.44064 -16.67506 -61.11600  -9.47846     (-10.577,-1.020) (-26.504,-1.098) (-42.120,-12.018)      13.2183  13.2183  
10     10.42662 -49.16962 -48.75287   3.90255  -1.76267 -10.00599     (-1.763,-27.562) (-5.726,-31.425) (-6.901,-0.377)      10.55430 -54.84915   1.46946 -16.69015 -61.11455  -9.48498     (-10.554,-1.058) (-26.513,-1.069) (-42.156,-12.024)      13.2479  13.2479  
