PointDistanceFollower   Jun  2 2018   mode =  TRIANGLE 
Fol_2018-06-02.11_56_35.0_2.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist  distance between 
Compute times (msec)     S6Dist   373   CS6Dist  2
PointDistanceFollower  Jun  2 2018  mode = TRIANGLE
Fol_2018-06-02.11_56_35.0_2.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
0    -2360.62110 1236.58892 -3343.11741 -1668.54380 1375.02254 -3543.99847     (-1968.095,-293.521) (-138.434,-1375.023) (-985.599,-2168.976)     -3425.23304 -2397.67899 704.90090 -1770.37648 -1754.02439 -2130.05947     (-2720.332,-1692.778) (-1065.476,-1049.123) (-704.901,-2834.960)      1640.24  1640.24  
1    -2349.48098 1194.53469 -3317.38507 -1670.88380 1360.07347 -3534.87643     (-1957.312,-310.810) (-165.539,-1360.073) (-989.408,-2174.803)     -3403.22954 -2402.64885 689.32694 -1771.67737 -1737.04441 -2135.36537     (-2713.903,-1713.322) (-1082.350,-1047.717) (-689.327,-2824.692)      1647.74  1647.74  
2    -2338.34087 1152.48046 -3291.65273 -1673.22380 1345.12439 -3525.75439     (-1946.528,-328.099) (-192.644,-1345.124) (-993.216,-2180.630)     -3381.22603 -2407.61871 673.75297 -1772.97826 -1720.06444 -2140.67128     (-2707.473,-1733.866) (-1099.225,-1046.311) (-673.753,-2814.424)      1655.87  1655.87  
3    -2327.20075 1110.42623 -3265.92038 -1675.56380 1330.17531 -3516.63234     (-1935.745,-345.388) (-219.749,-1330.175) (-997.025,-2186.457)     -3359.22252 -2412.58858 658.17901 -1774.27915 -1703.08447 -2145.97718     (-2701.044,-1754.410) (-1116.100,-1044.905) (-658.179,-2804.156)      1664.62  1664.62  
4    -2316.06063 1068.37200 -3240.18804 -1677.90380 1315.22624 -3507.51030     (-1924.962,-362.678) (-246.854,-1315.226) (-1000.834,-2192.284)     -3337.21902 -2417.55844 642.60504 -1775.58004 -1686.10449 -2151.28309     (-2694.614,-1774.953) (-1132.975,-1043.499) (-642.605,-2793.888)      1673.97  1673.97  
5    -2304.92051 1026.31778 -3214.45569 -1680.24380 1300.27716 -3498.38825     (-1914.179,-379.967) (-273.959,-1300.277) (-1004.643,-2198.111)     -3315.21551 -2422.52830 627.03108 -1776.88093 -1669.12452 -2156.58899     (-2688.184,-1795.497) (-1149.850,-1042.093) (-627.031,-2783.620)      1683.93  1683.93  
6    -2293.78039 984.26355 -3188.72335 -1682.58380 1285.32809 -3489.26621     (-1903.395,-397.256) (-301.065,-1285.328) (-1008.452,-2203.938)     -3293.21201 -2427.49816 611.45711 -1778.18182 -1652.14454 -2161.89490     (-2681.755,-1816.041) (-1166.725,-1040.687) (-611.457,-2773.352)      1694.48  1694.48  
7    -2282.64027 942.20932 -3162.99101 -1684.92379 1270.37901 -3480.14416     (-1892.612,-414.545) (-328.170,-1270.379) (-1012.261,-2209.765)     -3271.20850 -2432.46803 595.88315 -1779.48271 -1635.16457 -2167.20080     (-2675.325,-1836.585) (-1183.600,-1039.281) (-595.883,-2763.084)      1705.61  1705.61  
8    -2271.50015 900.15509 -3137.25866 -1687.26379 1255.42994 -3471.02212     (-1881.829,-431.834) (-355.275,-1255.430) (-1016.070,-2215.592)     -3249.20499 -2437.43789 580.30918 -1780.78360 -1618.18459 -2172.50671     (-2668.896,-1857.129) (-1200.474,-1037.875) (-580.309,-2752.816)      1717.3  1717.3  
9    -2260.36003 858.10086 -3111.52632 -1689.60379 1240.48086 -3461.90008     (-1871.045,-449.123) (-382.380,-1240.481) (-1019.879,-2221.419)     -3227.20149 -2442.40775 564.73521 -1782.08449 -1601.20462 -2177.81261     (-2662.466,-1877.673) (-1217.349,-1036.469) (-564.735,-2742.548)      1729.55  1729.55  
