PointDistanceFollower   Jun  2 2018   mode =  TRIANGLE 
Fol_2018-06-02.17_04_12.73_1.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist  distance between 
Compute times (msec)     S6Dist   339   CS6Dist  2
PointDistanceFollower  Jun  2 2018  mode = TRIANGLE
Fol_2018-06-02.17_04_12.73_1.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
0     -7.19663 -53.55193 -56.26104 -68.07414 -26.39872  -0.11245     (-7.197,-68.074) (-53.552,-26.399) (-56.261,-0.112)      -8.40467  -3.52929  -1.25090 -78.31910 -73.63342   3.40819     (-0.121,-74.911) (-4.996,-70.225) (-4.659,-3.408)      56.0035  56.1089  
1     -7.14084 -53.04669 -56.46372 -68.08890 -26.17873  -0.15723     (-7.141,-68.089) (-53.047,-26.179) (-56.464,-0.157)      -8.33655  -3.53449  -2.01491 -78.22932 -72.93146   3.32749     (-0.207,-74.902) (-5.009,-69.604) (-5.342,-3.327)      55.584  55.7638  
2     -7.08504 -52.54145 -56.66641 -68.10365 -25.95875  -0.20201     (-7.085,-68.104) (-52.541,-25.959) (-56.666,-0.202)      -8.26843  -3.53969  -2.77892 -78.13954 -72.22949   3.24678     (-0.293,-74.893) (-5.022,-68.983) (-6.026,-3.247)      55.177  55.4309  
3     -7.02924 -52.03622 -56.86909 -68.11841 -25.73877  -0.24679     (-7.029,-68.118) (-52.036,-25.739) (-56.869,-0.247)      -8.20030  -3.54489  -3.54293 -78.04976 -71.52752   3.16608     (-0.379,-74.884) (-5.034,-68.361) (-6.709,-3.166)      54.7828  55.1105  
4     -6.97344 -51.53098 -57.07177 -68.13317 -25.51879  -0.29157     (-6.973,-68.133) (-51.531,-25.519) (-57.072,-0.292)      -8.13218  -3.55009  -4.30694 -77.95997 -70.82555   3.08537     (-0.465,-74.875) (-5.047,-67.740) (-7.392,-3.085)      54.4017  54.8029  
5     -6.91764 -51.02574 -57.27445 -68.14793 -25.29880  -0.33635     (-6.918,-68.148) (-51.026,-25.299) (-57.274,-0.336)      -8.06405  -3.55529  -5.07095 -77.87019 -70.12358   3.00467     (-0.551,-74.866) (-5.059,-67.119) (-8.076,-3.005)      54.0339  54.5083  
6     -6.86185 -50.52051 -57.47713 -68.16269 -25.07882  -0.38113     (-6.862,-68.163) (-50.521,-25.079) (-57.477,-0.381)      -7.99593  -3.56048  -5.83496 -77.78041 -69.42161   2.92396     (-0.637,-74.856) (-5.072,-66.498) (-8.759,-2.924)      53.6798  54.2271  
7     -6.80605 -50.01527 -57.67982 -68.17745 -24.85884  -0.42591     (-6.806,-68.177) (-50.015,-24.859) (-57.680,-0.426)      -7.92780  -3.56568  -6.59897 -77.69063 -68.71964   2.84326     (-0.722,-74.847) (-5.085,-65.876) (-9.442,-2.843)      53.3396  53.9595  
8     -6.75025 -49.51003 -57.88250 -68.19221 -24.63886  -0.47069     (-6.750,-68.192) (-49.510,-24.639) (-57.882,-0.471)      -7.85968  -3.57088  -7.36298 -77.60085 -68.01767   2.76255     (-0.808,-74.838) (-5.097,-65.255) (-10.126,-2.763)      53.0135  53.7058  
9     -6.69445 -49.00480 -58.08518 -68.20696 -24.41887  -0.51547     (-6.694,-68.207) (-49.005,-24.419) (-58.085,-0.515)      -7.79155  -3.57608  -8.12699 -77.51106 -67.31570   2.68184     (-0.894,-74.829) (-5.110,-64.634) (-10.809,-2.682)      52.7019  53.4663  
