PointDistanceFollower   Jun  2 2018   mode =  TRIANGLE 
Fol_2018-06-02.17_04_29.89_1.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist  distance between 
Compute times (msec)     S6Dist   351   CS6Dist  4
PointDistanceFollower  Jun  2 2018  mode = TRIANGLE
Fol_2018-06-02.17_04_29.89_1.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
0    -59.37000 -48.41456  -4.69868 -33.97226 -27.36390 -63.18511     (-59.370,-33.972) (-48.415,-27.364) (-4.699,-63.185)     -47.81766 -66.31296   4.42749 -47.30157 -65.63499   1.46019     (-43.390,-61.885) (-42.874,-61.207) (-4.427,-2.967)      61.5308  62.6733  
1    -59.14129 -48.44080  -4.73764 -34.20254 -27.75474 -62.62104     (-59.141,-34.203) (-48.441,-27.755) (-4.738,-62.621)     -47.70683 -66.15656   4.29541 -47.39583 -65.63531   1.36462     (-43.411,-61.861) (-43.100,-61.340) (-4.295,-2.931)      61.7667  62.9053  
2    -58.91258 -48.46705  -4.77659 -34.43281 -28.14558 -62.05696     (-58.913,-34.433) (-48.467,-28.146) (-4.777,-62.057)     -47.59600 -66.00017   4.16333 -47.49009 -65.63563   1.26904     (-43.433,-61.837) (-43.327,-61.472) (-4.163,-2.894)      62.0031  63.138  
3    -58.68387 -48.49329  -4.81555 -34.66309 -28.53643 -61.49289     (-58.684,-34.663) (-48.493,-28.536) (-4.816,-61.493)     -47.48517 -65.84377   4.03125 -47.58436 -65.63595   1.17347     (-43.454,-61.813) (-43.553,-61.605) (-4.031,-2.858)      62.1426  63.2758  
4    -58.45515 -48.51953  -4.85450 -34.89337 -28.92727 -60.92882     (-58.455,-34.893) (-48.520,-28.927) (-4.855,-60.929)     -47.37434 -65.68738   3.89917 -47.67862 -65.63627   1.07790     (-43.475,-61.788) (-43.779,-61.737) (-3.899,-2.821)      62.2152  63.3511  
5    -58.22644 -48.54577  -4.89346 -35.12364 -29.31811 -60.36475     (-58.226,-35.124) (-48.546,-29.318) (-4.893,-60.365)     -47.26351 -65.53098   3.76709 -47.77289 -65.63659   0.98232     (-43.496,-61.764) (-44.006,-61.869) (-3.767,-2.785)      62.2892  63.4278  
6    -57.99773 -48.57201  -4.93242 -35.35392 -29.70895 -59.80067     (-57.998,-35.354) (-48.572,-29.709) (-4.932,-59.801)     -47.15268 -65.37459   3.63502 -47.86715 -65.63691   0.88675     (-43.518,-61.740) (-44.232,-62.002) (-3.635,-2.748)      62.3644  63.5059  
7    -57.76902 -48.59825  -4.97137 -35.58420 -30.09979 -59.23660     (-57.769,-35.584) (-48.598,-30.100) (-4.971,-59.237)     -47.04185 -65.21819   3.50294 -47.96141 -65.63723   0.79118     (-43.539,-61.715) (-44.458,-62.134) (-3.503,-2.712)      62.441  63.5855  
8    -57.54031 -48.62449  -5.01033 -35.81448 -30.49064 -58.67253     (-57.540,-35.814) (-48.624,-30.491) (-5.010,-58.673)     -46.93102 -65.06180   3.37086 -48.05568 -65.63755   0.69560     (-43.560,-61.691) (-44.685,-62.267) (-3.371,-2.675)      62.519  63.6664  
9    -57.31160 -48.65074  -5.04928 -36.04475 -30.88148 -58.10846     (-57.312,-36.045) (-48.651,-30.881) (-5.049,-58.108)     -46.82019 -64.90540   3.23878 -48.14994 -65.63787   0.60003     (-43.581,-61.667) (-44.911,-62.399) (-3.239,-2.639)      62.5982  63.7487  
10    -57.08289 -48.67698  -5.08824 -36.27503 -31.27232 -57.54439     (-57.083,-36.275) (-48.677,-31.272) (-5.088,-57.544)     -46.70936 -64.74900   3.10670 -48.24420 -65.63819   0.50445     (-43.603,-61.642) (-45.138,-62.531) (-3.107,-2.602)      62.6787  63.8324  
11    -56.85418 -48.70322  -5.12719 -36.50531 -31.66316 -56.98031     (-56.854,-36.505) (-48.703,-31.663) (-5.127,-56.980)     -46.59853 -64.59261   2.97462 -48.33847 -65.63851   0.40888     (-43.624,-61.618) (-45.364,-62.664) (-2.975,-2.566)      62.7606  63.9175  
12    -56.62547 -48.72946  -5.16615 -36.73558 -32.05400 -56.41624     (-56.625,-36.736) (-48.729,-32.054) (-5.166,-56.416)     -46.48770 -64.43621   2.84254 -48.43273 -65.63883   0.31331     (-43.645,-61.594) (-45.590,-62.796) (-2.843,-2.529)      62.8438  64.0039  
13    -56.39676 -48.75570  -5.20510 -36.96586 -32.44485 -55.85217     (-56.397,-36.966) (-48.756,-32.445) (-5.205,-55.852)     -46.37687 -64.27982   2.71046 -48.52700 -65.63916   0.21773     (-43.666,-61.569) (-45.817,-62.929) (-2.710,-2.493)      62.9282  64.0917  
14    -56.16805 -48.78194  -5.24406 -37.19614 -32.83569 -55.28810     (-56.168,-37.196) (-48.782,-32.836) (-5.244,-55.288)     -46.26605 -64.12342   2.57838 -48.62126 -65.63948   0.12216     (-43.688,-61.545) (-46.043,-63.061) (-2.578,-2.456)      63.014  64.1809  
15    -55.93934 -48.80818  -5.28302 -37.42642 -33.22653 -54.72402     (-55.939,-37.426) (-48.808,-33.227) (-5.283,-54.724)     -46.15522 -63.96703   2.44630 -48.71552 -65.63980   0.02659     (-43.709,-61.521) (-46.269,-63.193) (-2.446,-2.420)      63.101  64.2714  
16    -55.71063 -48.83442  -5.32197 -37.65669 -33.61737 -54.15995     (-55.711,-37.657) (-48.834,-33.617) (-5.322,-54.160)     -46.04439 -63.81063   2.31422 -48.80979 -65.64012  -0.06899     (-43.730,-61.496) (-46.496,-63.326) (-2.314,-2.383)      63.1893  64.3633  
17    -55.48192 -48.86067  -5.36093 -37.88697 -34.00821 -53.59588     (-55.482,-37.887) (-48.861,-34.008) (-5.361,-53.596)     -45.93356 -63.65424   2.18214 -48.90405 -65.64044  -0.16456     (-43.751,-61.472) (-46.722,-63.458) (-2.182,-2.347)      63.2789  64.4565  
18    -55.25321 -48.88691  -5.39988 -38.11725 -34.39906 -53.03181     (-55.253,-38.117) (-48.887,-34.399) (-5.400,-53.032)     -45.82273 -63.49784   2.05006 -48.99831 -65.64076  -0.26013     (-43.773,-61.448) (-46.948,-63.591) (-2.050,-2.310)      63.3698  64.5511  
19    -55.02450 -48.91315  -5.43884 -38.34752 -34.78990 -52.46774     (-55.025,-38.348) (-48.913,-34.790) (-5.439,-52.468)     -45.71190 -63.34145   1.91798 -49.09258 -65.64108  -0.35571     (-43.794,-61.423) (-47.175,-63.723) (-1.918,-2.274)      63.4619  64.6469  
20    -54.79579 -48.93939  -5.47779 -38.57780 -35.18074 -51.90366     (-54.796,-38.578) (-48.939,-35.181) (-5.478,-51.904)     -45.60107 -63.18505   1.78590 -49.18684 -65.64140  -0.45128     (-43.815,-61.399) (-47.401,-63.856) (-1.786,-2.237)      63.5553  64.7441  
21    -54.56708 -48.96563  -5.51675 -38.80808 -35.57158 -51.33959     (-54.567,-38.808) (-48.966,-35.572) (-5.517,-51.340)     -45.49024 -63.02866   1.65382 -49.28111 -65.64172  -0.54686     (-43.836,-61.375) (-47.627,-63.988) (-1.654,-2.201)      63.65  64.8426  
22    -54.33837 -48.99187  -5.55570 -39.03836 -35.96243 -50.77552     (-54.338,-39.038) (-48.992,-35.962) (-5.556,-50.776)     -45.37941 -62.87226   1.52174 -49.37537 -65.64204  -0.64243     (-43.858,-61.351) (-47.854,-64.120) (-1.522,-2.164)      63.7459  64.9425  
23    -54.10966 -49.01811  -5.59466 -39.26863 -36.35327 -50.21145     (-54.110,-39.269) (-49.018,-36.353) (-5.595,-50.211)     -45.26858 -62.71587   1.38966 -49.46963 -65.64236  -0.73800     (-43.879,-61.326) (-48.080,-64.253) (-1.390,-2.128)      63.843  65.0436  
24    -53.88095 -49.04436  -5.63362 -39.49891 -36.74411 -49.64737     (-53.881,-39.499) (-49.044,-36.744) (-5.634,-49.647)     -45.15775 -62.55947   1.25758 -49.56390 -65.64268  -0.83358     (-43.900,-61.302) (-48.306,-64.385) (-1.258,-2.091)      63.9414  65.146  
25    -53.65224 -49.07060  -5.67257 -39.72919 -37.13495 -49.08330     (-53.652,-39.729) (-49.071,-37.135) (-5.673,-49.083)     -45.04692 -62.40307   1.12550 -49.65816 -65.64300  -0.92915     (-43.921,-61.278) (-48.533,-64.518) (-1.125,-2.055)      64.041  65.2497  
26    -53.42353 -49.09684  -5.71153 -39.95946 -37.52579 -48.51923     (-53.424,-39.959) (-49.097,-37.526) (-5.712,-48.519)     -44.93609 -62.24668   0.99342 -49.75242 -65.64333  -1.02472     (-43.943,-61.253) (-48.759,-64.650) (-0.993,-2.018)      64.1419  65.3547  
27    -53.19482 -49.12308  -5.75048 -40.18974 -37.91664 -47.95516     (-53.195,-40.190) (-49.123,-37.917) (-5.750,-47.955)     -44.82527 -62.09028   0.86134 -49.84669 -65.64365  -1.12030     (-43.964,-61.229) (-48.985,-64.782) (-0.861,-1.982)      64.2439  65.461  
28    -52.96611 -49.14932  -5.78944 -40.42002 -38.30748 -47.39109     (-52.966,-40.420) (-49.149,-38.307) (-5.789,-47.391)     -44.71444 -61.93389   0.72926 -49.94095 -65.64397  -1.21587     (-43.985,-61.205) (-49.212,-64.915) (-0.729,-1.945)      64.3472  65.5685  
29    -52.73740 -49.17556  -5.82839 -40.65030 -38.69832 -46.82701     (-52.737,-40.650) (-49.176,-38.698) (-5.828,-46.827)     -44.60361 -61.77749   0.59718 -50.03522 -65.64429  -1.31145     (-44.006,-61.180) (-49.438,-65.047) (-0.597,-1.909)      64.4517  65.6773  
30    -52.50869 -49.20180  -5.86735 -40.88057 -39.08916 -46.26294     (-52.509,-40.881) (-49.202,-39.089) (-5.867,-46.263)     -44.49278 -61.62110   0.46510 -50.12948 -65.64461  -1.40702     (-44.028,-61.156) (-49.664,-65.180) (-0.465,-1.872)      64.5574  65.7874  
31    -52.27998 -49.22804  -5.90630 -41.11085 -39.48000 -45.69887     (-52.280,-41.111) (-49.228,-39.480) (-5.906,-45.699)     -44.38195 -61.46470   0.33302 -50.22374 -65.64493  -1.50259     (-44.049,-61.132) (-49.891,-65.312) (-0.333,-1.836)      64.6642  65.8987  
32    -52.05127 -49.25429  -5.94526 -41.34113 -39.87085 -45.13480     (-52.051,-41.341) (-49.254,-39.871) (-5.945,-45.135)     -44.27112 -61.30831   0.20094 -50.31801 -65.64525  -1.59817     (-44.070,-61.107) (-50.117,-65.444) (-0.201,-1.799)      64.7723  66.0113  
33    -51.82256 -49.28053  -5.98421 -41.57140 -40.26169 -44.57072     (-51.823,-41.571) (-49.281,-40.262) (-5.984,-44.571)     -44.16029 -61.15191   0.06886 -50.41227 -65.64557  -1.69374     (-44.091,-61.083) (-50.343,-65.577) (-0.069,-1.763)      64.8816  66.125  
34    -51.59385 -49.30677  -6.02317 -41.80168 -40.65253 -44.00665     (-51.594,-41.802) (-49.307,-40.653) (-6.023,-44.007)     -44.04946 -60.99552  -0.06322 -50.50653 -65.64589  -1.78931     (-44.049,-50.507) (-60.996,-65.646) (-0.063,-1.789)      67.2002  67.45  
35    -51.36514 -49.33301  -6.06213 -42.03196 -41.04337 -43.44258     (-51.365,-42.032) (-49.333,-41.043) (-6.062,-43.443)     -43.93863 -60.83912  -0.19530 -50.60080 -65.64621  -1.88489     (-43.939,-50.601) (-60.839,-65.646) (-0.195,-1.885)      66.9735  67.4618  
36    -51.13643 -49.35925  -6.10108 -42.26224 -41.43421 -42.87851     (-51.136,-42.262) (-49.359,-41.434) (-6.101,-42.879)     -43.82780 -60.68273  -0.32738 -50.69506 -65.64653  -1.98046     (-43.828,-50.695) (-60.683,-65.647) (-0.327,-1.980)      66.7471  67.4742  
37    -50.90772 -49.38549  -6.14004 -42.49251 -41.82506 -42.31444     (-50.908,-42.493) (-49.385,-41.825) (-6.140,-42.314)     -43.71697 -60.52633  -0.45946 -50.78933 -65.64685  -2.07604     (-43.717,-50.789) (-60.526,-65.647) (-0.459,-2.076)      66.521  67.4873  
38    -50.67900 -49.41173  -6.17899 -42.72279 -42.21590 -41.75036     (-50.679,-42.723) (-49.412,-42.216) (-6.179,-41.750)     -43.60614 -60.36994  -0.59154 -50.88359 -65.64717  -2.17161     (-43.606,-50.884) (-60.370,-65.647) (-0.592,-2.172)      66.2952  67.5009  
39    -50.45029 -49.43798  -6.21795 -42.95307 -42.60674 -41.18629     (-50.450,-42.953) (-49.438,-42.607) (-6.218,-41.186)     -43.49531 -60.21354  -0.72362 -50.97785 -65.64750  -2.26718     (-43.495,-50.978) (-60.214,-65.647) (-0.724,-2.267)      66.0698  67.4235  
40    -50.22158 -49.46422  -6.25690 -43.18334 -42.99758 -40.62222     (-50.222,-43.183) (-49.464,-42.998) (-6.257,-40.622)     -43.38448 -60.05714  -0.85570 -51.07212 -65.64782  -2.36276     (-43.384,-51.072) (-60.057,-65.648) (-0.856,-2.363)      65.8447  67.1946  
41    -49.99287 -49.49046  -6.29586 -43.41362 -43.38842 -40.05815     (-49.993,-43.414) (-49.490,-43.388) (-6.296,-40.058)     -43.27366 -59.90075  -0.98778 -51.16638 -65.64814  -2.45833     (-43.274,-51.166) (-59.901,-65.648) (-0.988,-2.458)      65.6199  66.9661  
42    -49.76416 -49.51670  -6.33481 -43.64390 -43.77927 -39.49407     (-49.764,-43.644) (-49.517,-43.779) (-6.335,-39.494)     -43.16283 -59.74435  -1.11986 -51.26064 -65.64846  -2.55390     (-43.163,-51.261) (-59.744,-65.648) (-1.120,-2.554)      65.3954  66.7379  
43    -49.53545 -49.54294  -6.37377 -43.87418 -44.17011 -38.93000     (-49.535,-43.874) (-49.543,-44.170) (-6.374,-38.930)     -43.05200 -59.58796  -1.25194 -51.35491 -65.64878  -2.64948     (-43.052,-51.355) (-59.588,-65.649) (-1.252,-2.649)      65.1713  66.5101  
44    -49.30674 -49.56918  -6.41273 -44.10445 -44.56095 -38.36593     (-49.307,-44.104) (-49.569,-44.561) (-6.413,-38.366)     -42.94117 -59.43156  -1.38402 -51.44917 -65.64910  -2.74505     (-42.941,-51.449) (-59.432,-65.649) (-1.384,-2.745)      64.9475  66.2825  
45    -49.07803 -49.59542  -6.45168 -44.33473 -44.95179 -37.80186     (-49.078,-44.335) (-49.595,-44.952) (-6.452,-37.802)     -42.83034 -59.27517  -1.51610 -51.54344 -65.64942  -2.84062     (-42.830,-51.543) (-59.275,-65.649) (-1.516,-2.841)      64.7241  66.0553  
46    -48.84932 -49.62167  -6.49064 -44.56501 -45.34263 -37.23779     (-48.849,-44.565) (-49.622,-45.343) (-6.491,-37.238)     -42.71951 -59.11877  -1.64818 -51.63770 -65.64974  -2.93620     (-42.720,-51.638) (-59.119,-65.650) (-1.648,-2.936)      64.501  65.8285  
47    -48.62061 -49.64791  -6.52959 -44.79528 -45.73348 -36.67371     (-48.621,-44.795) (-49.648,-45.733) (-6.530,-36.674)     -42.60868 -58.96238  -1.78026 -51.73196 -65.65006  -3.03177     (-42.609,-51.732) (-58.962,-65.650) (-1.780,-3.032)      64.2782  65.6019  
48    -48.39190 -49.67415  -6.56855 -45.02556 -46.12432 -36.10964     (-48.392,-45.026) (-49.674,-46.124) (-6.569,-36.110)     -42.49785 -58.80598  -1.91233 -51.82623 -65.65038  -3.12735     (-42.498,-51.826) (-58.806,-65.650) (-1.912,-3.127)      64.0559  65.3758  
49    -48.16319 -49.70039  -6.60750 -45.25584 -46.51516 -35.54557     (-48.163,-45.256) (-49.700,-46.515) (-6.608,-35.546)     -42.38702 -58.64959  -2.04441 -51.92049 -65.65070  -3.22292     (-42.387,-51.920) (-58.650,-65.651) (-2.044,-3.223)      63.8338  65.1499  
50    -47.93448 -49.72663  -6.64646 -45.48611 -46.90600 -34.98150     (-47.934,-45.486) (-49.727,-46.906) (-6.646,-34.981)     -42.27619 -58.49319  -2.17649 -52.01475 -65.65102  -3.31849     (-42.276,-52.015) (-58.493,-65.651) (-2.176,-3.318)      63.6121  64.9244  
51    -47.70577 -49.75287  -6.68541 -45.71639 -47.29684 -34.41742     (-47.706,-45.716) (-49.753,-47.297) (-6.685,-34.417)     -42.16536 -58.33680  -2.30857 -52.10902 -65.65135  -3.41407     (-42.165,-52.109) (-58.337,-65.651) (-2.309,-3.414)      63.3908  64.6993  
52    -47.47706 -49.77911  -6.72437 -45.94667 -47.68769 -33.85335     (-47.477,-45.947) (-49.779,-47.688) (-6.724,-33.853)     -42.05453 -58.18040  -2.44065 -52.20328 -65.65167  -3.50964     (-42.055,-52.203) (-58.180,-65.652) (-2.441,-3.510)      63.1699  64.4746  
53    -47.24835 -49.80535  -6.76332 -46.17695 -48.07853 -33.28928     (-47.248,-46.177) (-49.805,-48.079) (-6.763,-33.289)     -41.94370 -58.02401  -2.57273 -52.29755 -65.65199  -3.60521     (-41.944,-52.298) (-58.024,-65.652) (-2.573,-3.605)      62.9493  64.2502  
54    -47.01964 -49.83160  -6.80228 -46.40722 -48.46937 -32.72521     (-47.020,-46.407) (-49.832,-48.469) (-6.802,-32.725)     -41.83287 -57.86761  -2.70481 -52.39181 -65.65231  -3.70079     (-41.833,-52.392) (-57.868,-65.652) (-2.705,-3.701)      62.7291  64.0261  
55    -46.79093 -49.85784  -6.84124 -46.63750 -48.86021 -32.16114     (-46.791,-46.638) (-49.858,-48.860) (-6.841,-32.161)     -41.72205 -57.71121  -2.83689 -52.48607 -65.65263  -3.79636     (-41.722,-52.486) (-57.711,-65.653) (-2.837,-3.796)      62.5093  63.8025  
56    -46.56222 -49.88408  -6.88019 -46.86778 -49.25106 -31.59706     (-46.562,-46.868) (-49.884,-49.251) (-6.880,-31.597)     -41.61122 -57.55482  -2.96897 -52.58034 -65.65295  -3.89194     (-41.611,-52.580) (-57.555,-65.653) (-2.969,-3.892)      62.2899  63.5792  
57    -46.33351 -49.91032  -6.91915 -47.09805 -49.64190 -31.03299     (-46.334,-47.098) (-49.910,-49.642) (-6.919,-31.033)     -41.50039 -57.39842  -3.10105 -52.67460 -65.65327  -3.98751     (-41.500,-52.675) (-57.398,-65.653) (-3.101,-3.988)      62.0708  63.3563  
58    -46.10480 -49.93656  -6.95810 -47.32833 -50.03274 -30.46892     (-46.105,-47.328) (-49.937,-50.033) (-6.958,-30.469)     -41.38956 -57.24203  -3.23313 -52.76887 -65.65359  -4.08308     (-41.390,-52.769) (-57.242,-65.654) (-3.233,-4.083)      61.8522  63.1338  
59    -45.87609 -49.96280  -6.99706 -47.55861 -50.42358 -29.90485     (-45.876,-47.559) (-49.963,-50.424) (-6.997,-29.905)     -41.27873 -57.08563  -3.36521 -52.86313 -65.65391  -4.17866     (-41.279,-52.863) (-57.086,-65.654) (-3.365,-4.179)      61.6339  62.9116  
60    -45.64738 -49.98904  -7.03601 -47.78889 -50.81442 -29.34077     (-45.647,-47.789) (-49.989,-50.814) (-7.036,-29.341)     -41.16790 -56.92924  -3.49729 -52.95739 -65.65423  -4.27423     (-41.168,-52.957) (-56.929,-65.654) (-3.497,-4.274)      61.416  62.6899  
61    -45.41867 -50.01529  -7.07497 -48.01916 -51.20527 -28.77670     (-45.419,-48.019) (-50.015,-51.205) (-7.075,-28.777)     -41.05707 -56.77284  -3.62937 -53.05166 -65.65455  -4.36980     (-41.057,-53.052) (-56.773,-65.655) (-3.629,-4.370)      61.1986  62.4686  
62    -45.18996 -50.04153  -7.11392 -48.24944 -51.59611 -28.21263     (-45.190,-48.249) (-50.042,-51.596) (-7.114,-28.213)     -40.94624 -56.61645  -3.76145 -53.14592 -65.65487  -4.46538     (-40.946,-53.146) (-56.616,-65.655) (-3.761,-4.465)      60.9815  62.2476  
63    -44.96125 -50.06777  -7.15288 -48.47972 -51.98695 -27.64856     (-44.961,-48.480) (-50.068,-51.987) (-7.153,-27.649)     -40.83541 -56.46005  -3.89353 -53.24018 -65.65519  -4.56095     (-40.835,-53.240) (-56.460,-65.655) (-3.894,-4.561)      60.7649  62.0271  
64    -44.73254 -50.09401  -7.19184 -48.70999 -52.37779 -27.08449     (-44.733,-48.710) (-50.094,-52.378) (-7.192,-27.084)     -40.72458 -56.30366  -4.02561 -53.33445 -65.65552  -4.65652     (-40.725,-53.334) (-56.304,-65.656) (-4.026,-4.657)      60.5487  61.807  
65    -44.50383 -50.12025  -7.23079 -48.94027 -52.76863 -26.52041     (-44.504,-48.940) (-50.120,-52.769) (-7.231,-26.520)     -40.61375 -56.14726  -4.15769 -53.42871 -65.65584  -4.75210     (-40.614,-53.429) (-56.147,-65.656) (-4.158,-4.752)      60.3329  61.5873  
66    -44.27512 -50.14649  -7.26975 -49.17055 -53.15948 -25.95634     (-44.275,-49.171) (-50.146,-53.159) (-7.270,-25.956)     -40.50292 -55.99087  -4.28977 -53.52298 -65.65616  -4.84767     (-40.503,-53.523) (-55.991,-65.656) (-4.290,-4.848)      60.1175  61.368  
67    -44.04641 -50.17273  -7.30870 -49.40083 -53.55032 -25.39227     (-44.046,-49.401) (-50.173,-53.550) (-7.309,-25.392)     -40.39209 -55.83447  -4.42185 -53.61724 -65.65648  -4.94325     (-40.392,-53.617) (-55.834,-65.656) (-4.422,-4.943)      59.9026  61.1492  
68    -43.81770 -50.19898  -7.34766 -49.63110 -53.94116 -24.82820     (-43.818,-49.631) (-50.199,-53.941) (-7.348,-24.828)     -40.28127 -55.67808  -4.55393 -53.71150 -65.65680  -5.03882     (-40.281,-53.712) (-55.678,-65.657) (-4.554,-5.039)      59.6881  60.9308  
69    -43.58899 -50.22522  -7.38661 -49.86138 -54.33200 -24.26412     (-43.589,-49.861) (-50.225,-54.332) (-7.387,-24.264)     -40.17044 -55.52168  -4.68601 -53.80577 -65.65712  -5.13439     (-40.170,-53.806) (-55.522,-65.657) (-4.686,-5.134)      59.474  60.7128  
70    -43.36028 -50.25146  -7.42557 -50.09166 -54.72284 -23.70005     (-43.360,-50.092) (-50.251,-54.723) (-7.426,-23.700)     -40.05961 -55.36529  -4.81809 -53.90003 -65.65744  -5.22997     (-40.060,-53.900) (-55.365,-65.657) (-4.818,-5.230)      59.2604  60.4953  
71    -43.13157 -50.27770  -7.46452 -50.32193 -55.11369 -23.13598     (-43.132,-50.322) (-50.278,-55.114) (-7.465,-23.136)     -39.94878 -55.20889  -4.95017 -53.99429 -65.65776  -5.32554     (-39.949,-53.994) (-55.209,-65.658) (-4.950,-5.326)      59.0472  60.2782  
72    -42.90285 -50.30394  -7.50348 -50.55221 -55.50453 -22.57191     (-42.903,-50.552) (-50.304,-55.505) (-7.503,-22.572)     -39.83795 -55.05249  -5.08225 -54.08856 -65.65808  -5.42111     (-39.838,-54.089) (-55.052,-65.658) (-5.082,-5.421)      58.8345  60.0616  
73    -42.67414 -50.33018  -7.54244 -50.78249 -55.89537 -22.00784     (-42.674,-50.782) (-50.330,-55.895) (-7.542,-22.008)     -39.72712 -54.89610  -5.21433 -54.18282 -65.65840  -5.51669     (-39.727,-54.183) (-54.896,-65.658) (-5.214,-5.517)      58.6223  59.8454  
74    -42.44543 -50.35642  -7.58139 -51.01277 -56.28621 -21.44376     (-42.445,-51.013) (-50.356,-56.286) (-7.581,-21.444)     -39.61629 -54.73970  -5.34641 -54.27709 -65.65872  -5.61226     (-39.616,-54.277) (-54.740,-65.659) (-5.346,-5.612)      58.4105  59.6297  
75    -42.21672 -50.38266  -7.62035 -51.24304 -56.67705 -20.87969     (-42.217,-51.243) (-50.383,-56.677) (-7.620,-20.880)     -39.50546 -54.58331  -5.47849 -54.37135 -65.65904  -5.70784     (-39.505,-54.371) (-54.583,-65.659) (-5.478,-5.708)      58.1992  59.4145  
76    -41.98801 -50.40891  -7.65930 -51.47332 -57.06790 -20.31562     (-41.988,-51.473) (-50.409,-57.068) (-7.659,-20.316)     -39.39463 -54.42691  -5.61057 -54.46561 -65.65936  -5.80341     (-39.395,-54.466) (-54.427,-65.659) (-5.611,-5.803)      57.9883  59.1997  
77    -41.75930 -50.43515  -7.69826 -51.70360 -57.45874 -19.75155     (-41.759,-51.704) (-50.435,-57.459) (-7.698,-19.752)     -39.28380 -54.27052  -5.74265 -54.55988 -65.65969  -5.89898     (-39.284,-54.560) (-54.271,-65.660) (-5.743,-5.899)      57.778  58.9854  
78    -41.53059 -50.46139  -7.73721 -51.93387 -57.84958 -19.18747     (-41.531,-51.934) (-50.461,-57.850) (-7.737,-19.187)     -39.17297 -54.11412  -5.87473 -54.65414 -65.66001  -5.99456     (-39.173,-54.654) (-54.114,-65.660) (-5.875,-5.995)      57.5681  58.7716  
79    -41.30188 -50.48763  -7.77617 -52.16415 -58.24042 -18.62340     (-41.302,-52.164) (-50.488,-58.240) (-7.776,-18.623)     -39.06214 -53.95773  -6.00681 -54.74840 -65.66033  -6.09013     (-39.062,-54.748) (-53.958,-65.660) (-6.007,-6.090)      57.3587  58.5583  
80    -41.07317 -50.51387  -7.81512 -52.39443 -58.63126 -18.05933     (-41.073,-52.394) (-50.514,-58.631) (-7.815,-18.059)     -38.95131 -53.80133  -6.13889 -54.84267 -65.66065  -6.18570     (-38.951,-54.843) (-53.801,-65.661) (-6.139,-6.186)      57.1498  58.3455  
81    -40.84446 -50.54011  -7.85408 -52.62471 -59.02211 -17.49526     (-40.844,-52.625) (-50.540,-59.022) (-7.854,-17.495)     -38.84048 -53.64494  -6.27097 -54.93693 -65.66097  -6.28128     (-38.840,-54.937) (-53.645,-65.661) (-6.271,-6.281)      56.9414  58.1332  
82    -40.61575 -50.56635  -7.89303 -52.85498 -59.41295 -16.93119     (-40.616,-52.855) (-50.566,-59.413) (-7.893,-16.931)     -38.72966 -53.48854  -6.40305 -55.03120 -65.66129  -6.37685     (-38.730,-55.031) (-53.489,-65.661) (-6.403,-6.377)      56.7336  57.9214  
83    -40.38704 -50.59260  -7.93199 -53.08526 -59.80379 -16.36711     (-40.387,-53.085) (-50.593,-59.804) (-7.932,-16.367)     -38.61883 -53.33215  -6.53513 -55.12546 -65.66161  -6.47243     (-38.619,-55.125) (-53.332,-65.662) (-6.535,-6.472)      56.5262  57.7102  
84    -40.15833 -50.61884  -7.97095 -53.31554 -60.19463 -15.80304     (-40.158,-53.316) (-50.619,-60.195) (-7.971,-15.803)     -38.50800 -53.17575  -6.66721 -55.21972 -65.66193  -6.56800     (-38.508,-55.220) (-53.176,-65.662) (-6.667,-6.568)      56.3193  57.4994  
