PointDistanceFollower   Jun  2 2018   mode =  TRIANGLE 
Fol_2018-06-02.17_06_20.189_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist  distance between 
Compute times (msec)     S6Dist   352   CS6Dist  1
PointDistanceFollower  Jun  2 2018  mode = TRIANGLE
Fol_2018-06-02.17_06_20.189_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
0    -12.19475  -6.19188  -0.71246 -19.00435 -100.87804  -3.15895     (-12.195,-19.004) (-6.192,-100.878) (-0.712,-3.159)     -28.06292  -7.38474  -4.17727 -14.36213 -100.91929  -7.27993     (-28.063,-14.362) (-7.385,-100.919) (-4.177,-7.280)      11.5043  11.5043  
1    -12.36601  -6.29050  -0.74734 -18.82588 -100.84183  -3.19518     (-12.366,-18.826) (-6.290,-100.842) (-0.747,-3.195)     -28.07225  -7.47119  -4.17679 -14.23102 -100.88266  -7.27412     (-28.072,-14.231) (-7.471,-100.883) (-4.177,-7.274)      11.4935  11.4935  
2    -12.53726  -6.38912  -0.78221 -18.64740 -100.80563  -3.23142     (-12.537,-18.647) (-6.389,-100.806) (-0.782,-3.231)     -28.08158  -7.55764  -4.17632 -14.09991 -100.84603  -7.26830     (-28.082,-14.100) (-7.558,-100.846) (-4.176,-7.268)      11.485  11.485  
3    -12.70851  -6.48773  -0.81709 -18.46892 -100.76942  -3.26766     (-12.709,-18.469) (-6.488,-100.769) (-0.817,-3.268)     -28.09091  -7.64408  -4.17584 -13.96881 -100.80941  -7.26249     (-28.091,-13.969) (-7.644,-100.809) (-4.176,-7.262)      11.4788  11.4788  
4    -12.87976  -6.58635  -0.85197 -18.29045 -100.73322  -3.30390     (-12.880,-18.290) (-6.586,-100.733) (-0.852,-3.304)     -28.10025  -7.73053  -4.17536 -13.83770 -100.77278  -7.25668     (-28.100,-13.838) (-7.731,-100.773) (-4.175,-7.257)      11.4749  11.4749  
5    -13.05101  -6.68497  -0.88685 -18.11197 -100.69701  -3.34014     (-13.051,-18.112) (-6.685,-100.697) (-0.887,-3.340)     -28.10958  -7.81698  -4.17489 -13.70660 -100.73616  -7.25087     (-28.110,-13.707) (-7.817,-100.736) (-4.175,-7.251)      11.4732  11.4732  
6    -13.22226  -6.78359  -0.92173 -17.93350 -100.66081  -3.37638     (-13.222,-17.933) (-6.784,-100.661) (-0.922,-3.376)     -28.11891  -7.90342  -4.17441 -13.57549 -100.69953  -7.24505     (-28.119,-13.575) (-7.903,-100.700) (-4.174,-7.245)      11.4738  11.4738  
7    -13.39352  -6.88221  -0.95661 -17.75502 -100.62460  -3.41261     (-13.394,-17.755) (-6.882,-100.625) (-0.957,-3.413)     -28.12824  -7.98987  -4.17393 -13.44438 -100.66290  -7.23924     (-28.128,-13.444) (-7.990,-100.663) (-4.174,-7.239)      11.4767  11.4767  
8    -13.56477  -6.98083  -0.99149 -17.57655 -100.58839  -3.44885     (-13.565,-17.577) (-6.981,-100.588) (-0.991,-3.449)     -28.13757  -8.07632  -4.17346 -13.31328 -100.62628  -7.23343     (-28.138,-13.313) (-8.076,-100.626) (-4.173,-7.233)      11.4819  11.4819  
9    -13.73602  -7.07945  -1.02636 -17.39807 -100.55219  -3.48509     (-13.736,-17.398) (-7.079,-100.552) (-1.026,-3.485)     -28.14690  -8.16277  -4.17298 -13.18217 -100.58965  -7.22761     (-28.147,-13.182) (-8.163,-100.590) (-4.173,-7.228)      11.4893  11.4893  
10    -13.90727  -7.17807  -1.06124 -17.21959 -100.51598  -3.52133     (-13.907,-17.220) (-7.178,-100.516) (-1.061,-3.521)     -28.15624  -8.24921  -4.17250 -13.05107 -100.55302  -7.22180     (-28.156,-13.051) (-8.249,-100.553) (-4.173,-7.222)      11.499  11.499  
11    -14.07852  -7.27669  -1.09612 -17.04112 -100.47978  -3.55757     (-14.079,-17.041) (-7.277,-100.480) (-1.096,-3.558)     -28.16557  -8.33566  -4.17203 -12.91996 -100.51640  -7.21599     (-28.166,-12.920) (-8.336,-100.516) (-4.172,-7.216)      11.511  11.511  
12    -14.24977  -7.37531  -1.13100 -16.86264 -100.44357  -3.59380     (-14.250,-16.863) (-7.375,-100.444) (-1.131,-3.594)     -28.17490  -8.42211  -4.17155 -12.78885 -100.47977  -7.21018     (-28.175,-12.789) (-8.422,-100.480) (-4.172,-7.210)      11.5252  11.5252  
