PointDistanceFollower   Jun 14 2018   mode =  Single Point 
Fol_2018-06-14.11_19_42.29_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist  distance between 
Compute times (msec)     S6Dist   13251   CS6Dist  34
PointDistanceFollower  Jun 14 2018  mode = Single Point
Fol_2018-06-14.11_19_42.29_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
0      6.99642 -21.09466 -49.97516  25.50159 -31.95951 -24.71855     (-14.098,-20.067) (-21.095,-2.051) (-4.407,-3.624)      0  6.7435e-07  
1      6.97530 -21.09466 -49.92955  25.45598 -31.92957 -24.69743     (-14.119,-20.112) (-21.095,-2.112) (-4.361,-3.603)      0.0938582  0.0938582  
2      6.95419 -21.09466 -49.88394  25.41036 -31.89964 -24.67632     (-14.140,-20.158) (-21.095,-2.174) (-4.316,-3.582)      0.187716  0.187716  
3      6.93307 -21.09466 -49.83832  25.36475 -31.86970 -24.65520     (-14.162,-20.203) (-21.095,-2.235) (-4.270,-3.561)      0.281575  0.281575  
4      6.91195 -21.09466 -49.79271  25.31914 -31.83976 -24.63408     (-14.183,-20.249) (-21.095,-2.296) (-4.224,-3.539)      0.375433  0.375433  
5      6.89084 -21.09466 -49.74709  25.27352 -31.80982 -24.61297     (-14.204,-20.295) (-21.095,-2.357) (-4.179,-3.518)      0.469291  0.469291  
6      6.86972 -21.09466 -49.70148  25.22791 -31.77988 -24.59185     (-14.225,-20.340) (-21.095,-2.419) (-4.133,-3.497)      0.563149  0.563149  
7      6.84861 -21.09466 -49.65587  25.18230 -31.74994 -24.57074     (-14.246,-20.386) (-21.095,-2.480) (-4.088,-3.476)      0.657008  0.657008  
8      6.82749 -21.09466 -49.61025  25.13668 -31.72000 -24.54962     (-14.267,-20.432) (-21.095,-2.541) (-4.042,-3.455)      0.750866  0.750866  
9      6.80638 -21.09466 -49.56464  25.09107 -31.69007 -24.52850     (-14.288,-20.477) (-21.095,-2.603) (-3.996,-3.434)      0.844724  0.844724  
10      6.78526 -21.09466 -49.51902  25.04545 -31.66013 -24.50739     (-14.309,-20.523) (-21.095,-2.664) (-3.951,-3.413)      0.938582  0.938582  
11      6.76414 -21.09466 -49.47341  24.99984 -31.63019 -24.48627     (-14.331,-20.568) (-21.095,-2.725) (-3.905,-3.392)      1.03244  1.03244  
12      6.74303 -21.09466 -49.42780  24.95423 -31.60025 -24.46516     (-14.352,-20.614) (-21.095,-2.786) (-3.860,-3.370)      1.1263  1.1263  
13      6.72191 -21.09466 -49.38218  24.90861 -31.57031 -24.44404     (-14.373,-20.660) (-21.095,-2.848) (-3.814,-3.349)      1.22016  1.22016  
14      6.70080 -21.09466 -49.33657  24.86300 -31.54037 -24.42293     (-14.394,-20.705) (-21.095,-2.909) (-3.768,-3.328)      1.31402  1.31402  
15      6.67968 -21.09466 -49.29096  24.81739 -31.51044 -24.40181     (-14.415,-20.751) (-21.095,-2.970) (-3.723,-3.307)      1.40787  1.40787  
16      6.65857 -21.09466 -49.24534  24.77177 -31.48050 -24.38069     (-14.436,-20.796) (-21.095,-3.032) (-3.677,-3.286)      1.50173  1.50173  
17      6.63745 -21.09466 -49.19973  24.72616 -31.45056 -24.35958     (-14.457,-20.842) (-21.095,-3.093) (-3.631,-3.265)      1.59559  1.59559  
18      6.61633 -21.09466 -49.15411  24.68054 -31.42062 -24.33846     (-14.478,-20.888) (-21.095,-3.154) (-3.586,-3.244)      1.68945  1.68945  
19      6.59522 -21.09466 -49.10850  24.63493 -31.39068 -24.31735     (-14.499,-20.933) (-21.095,-3.215) (-3.540,-3.223)      1.78331  1.78331  
20      6.57410 -21.09466 -49.06289  24.58932 -31.36074 -24.29623     (-14.521,-20.979) (-21.095,-3.277) (-3.495,-3.202)      1.87716  1.87716  
21      6.55299 -21.09466 -49.01727  24.54370 -31.33080 -24.27512     (-14.542,-21.025) (-21.095,-3.338) (-3.449,-3.180)      1.97102  1.97102  
22      6.53187 -21.09466 -48.97166  24.49809 -31.30087 -24.25400     (-14.563,-21.070) (-21.095,-3.399) (-3.403,-3.159)      2.06488  2.06488  
23      6.51076 -21.09466 -48.92604  24.45247 -31.27093 -24.23288     (-14.584,-21.116) (-21.095,-3.461) (-3.358,-3.138)      2.15874  2.15874  
24      6.48964 -21.09466 -48.88043  24.40686 -31.24099 -24.21177     (-14.605,-21.161) (-21.095,-3.522) (-3.312,-3.117)      2.2526  2.2526  
25      6.46852 -21.09466 -48.83482  24.36125 -31.21105 -24.19065     (-14.626,-21.207) (-21.095,-3.583) (-3.267,-3.096)      2.34646  2.34646  
26      6.44741 -21.09466 -48.78920  24.31563 -31.18111 -24.16954     (-14.647,-21.253) (-21.095,-3.645) (-3.221,-3.075)      2.44031  2.44031  
27      6.42629 -21.09466 -48.74359  24.27002 -31.15117 -24.14842     (-14.668,-21.298) (-21.095,-3.706) (-3.175,-3.054)      2.53417  2.53417  
28      6.40518 -21.09466 -48.69798  24.22441 -31.12124 -24.12731     (-14.689,-21.344) (-21.095,-3.767) (-3.130,-3.033)      2.62803  2.62803  
