PointDistanceFollower   Jun 14 2018   mode =  Single Point 
Fol_2018-06-14.11_32_12.65_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist  distance between 
Compute times (msec)     S6Dist   14855   CS6Dist  42
PointDistanceFollower  Jun 14 2018  mode = Single Point
Fol_2018-06-14.11_32_12.65_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
0    -37.24763 -17.41819  21.14282 -46.86017 -18.48233 -18.62948     (-18.268,-2.660) (-10.784,-3.725) (-21.143,-27.002)      0  6.7435e-07  
1    -37.22863 -17.41155  21.10049 -46.81593 -18.46756 -18.63786     (-18.338,-2.633) (-10.862,-3.689) (-21.100,-27.095)      0.152856  0.152856  
2    -37.20963 -17.40491  21.05816 -46.77169 -18.45279 -18.64624     (-18.407,-2.605) (-10.941,-3.653) (-21.058,-27.187)      0.305713  0.305713  
3    -37.19064 -17.39827  21.01583 -46.72744 -18.43802 -18.65462     (-18.476,-2.578) (-11.019,-3.618) (-21.016,-27.280)      0.458569  0.458569  
4    -37.17164 -17.39162  20.97350 -46.68320 -18.42324 -18.66300     (-18.546,-2.550) (-11.098,-3.582) (-20.974,-27.372)      0.611426  0.611426  
5    -37.15264 -17.38498  20.93118 -46.63895 -18.40847 -18.67138     (-18.615,-2.523) (-11.176,-3.546) (-20.931,-27.465)      0.764282  0.764282  
6    -37.13364 -17.37834  20.88885 -46.59471 -18.39370 -18.67976     (-18.685,-2.495) (-11.254,-3.511) (-20.889,-27.557)      0.917139  0.917139  
7    -37.11464 -17.37170  20.84652 -46.55047 -18.37893 -18.68814     (-18.754,-2.468) (-11.333,-3.475) (-20.847,-27.650)      1.07  1.07  
8    -37.09564 -17.36506  20.80419 -46.50622 -18.36415 -18.69653     (-18.824,-2.440) (-11.411,-3.439) (-20.804,-27.742)      1.22285  1.22285  
9    -37.07664 -17.35842  20.76186 -46.46198 -18.34938 -18.70491     (-18.893,-2.412) (-11.490,-3.403) (-20.762,-27.835)      1.37571  1.37571  
10    -37.05765 -17.35178  20.71954 -46.41773 -18.33461 -18.71329     (-18.963,-2.385) (-11.568,-3.368) (-20.720,-27.927)      1.52856  1.52856  
11    -37.03865 -17.34514  20.67721 -46.37349 -18.31984 -18.72167     (-19.032,-2.357) (-11.647,-3.332) (-20.677,-28.020)      1.68142  1.68142  
12    -37.01965 -17.33850  20.63488 -46.32925 -18.30506 -18.73005     (-19.102,-2.330) (-11.725,-3.296) (-20.635,-28.113)      1.83428  1.83428  
13    -37.00065 -17.33186  20.59255 -46.28500 -18.29029 -18.73843     (-19.171,-2.302) (-11.804,-3.261) (-20.593,-28.205)      1.98713  1.98713  
14    -36.98165 -17.32521  20.55022 -46.24076 -18.27552 -18.74681     (-19.241,-2.275) (-11.882,-3.225) (-20.550,-28.298)      2.13999  2.13999  
15    -36.96265 -17.31857  20.50790 -46.19652 -18.26075 -18.75519     (-19.310,-2.247) (-11.960,-3.189) (-20.508,-28.390)      2.29285  2.29285  
16    -36.94366 -17.31193  20.46557 -46.15227 -18.24597 -18.76357     (-19.379,-2.220) (-12.039,-3.154) (-20.466,-28.483)      2.4457  2.4457  
17    -36.92466 -17.30529  20.42324 -46.10803 -18.23120 -18.77195     (-19.449,-2.192) (-12.117,-3.118) (-20.423,-28.575)      2.59856  2.59856  
18    -36.90566 -17.29865  20.38091 -46.06378 -18.21643 -18.78033     (-19.518,-2.164) (-12.196,-3.082) (-20.381,-28.668)      2.75142  2.75142  
19    -36.88666 -17.29201  20.33859 -46.01954 -18.20166 -18.78872     (-19.588,-2.137) (-12.274,-3.047) (-20.339,-28.760)      2.90427  2.90427  
20    -36.86766 -17.28537  20.29626 -45.97530 -18.18688 -18.79710     (-19.657,-2.109) (-12.353,-3.011) (-20.296,-28.853)      3.05713  3.05713  
21    -36.84866 -17.27873  20.25393 -45.93105 -18.17211 -18.80548     (-19.727,-2.082) (-12.431,-2.975) (-20.254,-28.945)      3.20999  3.20999  
22    -36.82966 -17.27209  20.21160 -45.88681 -18.15734 -18.81386     (-19.796,-2.054) (-12.510,-2.940) (-20.212,-29.038)      3.36284  3.36284  
23    -36.81067 -17.26545  20.16927 -45.84256 -18.14257 -18.82224     (-19.866,-2.027) (-12.588,-2.904) (-20.169,-29.130)      3.5157  3.5157  
24    -36.79167 -17.25880  20.12695 -45.79832 -18.12779 -18.83062     (-19.935,-1.999) (-12.666,-2.868) (-20.127,-29.223)      3.66856  3.66856  
25    -36.77267 -17.25216  20.08462 -45.75408 -18.11302 -18.83900     (-20.005,-1.972) (-12.745,-2.832) (-20.085,-29.316)      3.82141  3.82141  
26    -36.75367 -17.24552  20.04229 -45.70983 -18.09825 -18.84738     (-20.074,-1.944) (-12.823,-2.797) (-20.042,-29.408)      3.97427  3.97427  
27    -36.73467 -17.23888  19.99996 -45.66559 -18.08348 -18.85576     (-20.143,-1.916) (-12.902,-2.761) (-20.000,-29.501)      4.12712  4.12712  
28    -36.71567 -17.23224  19.95763 -45.62134 -18.06870 -18.86414     (-20.213,-1.889) (-12.980,-2.725) (-19.958,-29.593)      4.27998  4.27998  
29    -36.69667 -17.22560  19.91531 -45.57710 -18.05393 -18.87253     (-20.282,-1.861) (-13.059,-2.690) (-19.915,-29.686)      4.43284  4.43284  
30    -36.67768 -17.21896  19.87298 -45.53286 -18.03916 -18.88091     (-20.352,-1.834) (-13.137,-2.654) (-19.873,-29.778)      4.58569  4.58569  
31    -36.65868 -17.21232  19.83065 -45.48861 -18.02439 -18.88929     (-20.421,-1.806) (-13.216,-2.618) (-19.831,-29.871)      4.73855  4.73855  
32    -36.63968 -17.20568  19.78832 -45.44437 -18.00961 -18.89767     (-20.491,-1.779) (-13.294,-2.583) (-19.788,-29.963)      4.89141  4.89141  
33    -36.62068 -17.19904  19.74599 -45.40012 -17.99484 -18.90605     (-20.560,-1.751) (-13.372,-2.547) (-19.746,-30.056)      5.04426  5.04426  
34    -36.60168 -17.19240  19.70367 -45.35588 -17.98007 -18.91443     (-20.630,-1.724) (-13.451,-2.511) (-19.704,-30.148)      5.19712  5.19712  
35    -36.58268 -17.18575  19.66134 -45.31164 -17.96530 -18.92281     (-20.699,-1.696) (-13.529,-2.476) (-19.661,-30.241)      5.34998  5.34998  
36    -36.56368 -17.17911  19.61901 -45.26739 -17.95052 -18.93119     (-20.769,-1.668) (-13.608,-2.440) (-19.619,-30.333)      5.50283  5.50283  
37    -36.54469 -17.17247  19.57668 -45.22315 -17.93575 -18.93957     (-20.838,-1.641) (-13.686,-2.404) (-19.577,-30.426)      5.65569  5.65569  
38    -36.52569 -17.16583  19.53435 -45.17890 -17.92098 -18.94795     (-20.908,-1.613) (-13.765,-2.369) (-19.534,-30.519)      5.80855  5.80855  
39    -36.50669 -17.15919  19.49203 -45.13466 -17.90621 -18.95634     (-20.977,-1.586) (-13.843,-2.333) (-19.492,-30.611)      5.9614  5.9614  
40    -36.48769 -17.15255  19.44970 -45.09042 -17.89143 -18.96472     (-21.046,-1.558) (-13.921,-2.297) (-19.450,-30.704)      6.11426  6.11426  
41    -36.46869 -17.14591  19.40737 -45.04617 -17.87666 -18.97310     (-21.116,-1.531) (-14.000,-2.261) (-19.407,-30.796)      6.26712  6.26712  
42    -36.44969 -17.13927  19.36504 -45.00193 -17.86189 -18.98148     (-21.185,-1.503) (-14.078,-2.226) (-19.365,-30.889)      6.41997  6.41997  
43    -36.43069 -17.13263  19.32271 -44.95769 -17.84712 -18.98986     (-21.255,-1.476) (-14.157,-2.190) (-19.323,-30.981)      6.57283  6.57283  
44    -36.41170 -17.12599  19.28039 -44.91344 -17.83234 -18.99824     (-21.324,-1.448) (-14.235,-2.154) (-19.280,-31.074)      6.72568  6.72568  
45    -36.39270 -17.11934  19.23806 -44.86920 -17.81757 -19.00662     (-21.394,-1.420) (-14.314,-2.119) (-19.238,-31.166)      6.87854  6.87854  
46    -36.37370 -17.11270  19.19573 -44.82495 -17.80280 -19.01500     (-21.463,-1.393) (-14.392,-2.083) (-19.196,-31.259)      7.0314  7.0314  
47    -36.35470 -17.10606  19.15340 -44.78071 -17.78803 -19.02338     (-21.533,-1.365) (-14.471,-2.047) (-19.153,-31.351)      7.18425  7.18425  
48    -36.33570 -17.09942  19.11107 -44.73647 -17.77325 -19.03176     (-21.602,-1.338) (-14.549,-2.012) (-19.111,-31.444)      7.33711  7.33711  
49    -36.31670 -17.09278  19.06875 -44.69222 -17.75848 -19.04015     (-21.672,-1.310) (-14.627,-1.976) (-19.069,-31.536)      7.48997  7.48997  
50    -36.29771 -17.08614  19.02642 -44.64798 -17.74371 -19.04853     (-21.741,-1.283) (-14.706,-1.940) (-19.026,-31.629)      7.64282  7.64282  
51    -36.27871 -17.07950  18.98409 -44.60373 -17.72894 -19.05691     (-21.810,-1.255) (-14.784,-1.905) (-18.984,-31.722)      7.79568  7.79568  
52    -36.25971 -17.07286  18.94176 -44.55949 -17.71417 -19.06529     (-21.880,-1.228) (-14.863,-1.869) (-18.942,-31.814)      7.94854  7.94854  
53    -36.24071 -17.06622  18.89943 -44.51525 -17.69939 -19.07367     (-21.949,-1.200) (-14.941,-1.833) (-18.899,-31.907)      8.10139  8.10139  
54    -36.22171 -17.05958  18.85711 -44.47100 -17.68462 -19.08205     (-22.019,-1.172) (-15.020,-1.798) (-18.857,-31.999)      8.25425  8.25425  
55    -36.20271 -17.05293  18.81478 -44.42676 -17.66985 -19.09043     (-22.088,-1.145) (-15.098,-1.762) (-18.815,-32.092)      8.40711  8.40711  
56    -36.18371 -17.04629  18.77245 -44.38251 -17.65508 -19.09881     (-22.158,-1.117) (-15.177,-1.726) (-18.772,-32.184)      8.55996  8.55996  
57    -36.16472 -17.03965  18.73012 -44.33827 -17.64030 -19.10719     (-22.227,-1.090) (-15.255,-1.690) (-18.730,-32.277)      8.71282  8.71282  
58    -36.14572 -17.03301  18.68779 -44.29403 -17.62553 -19.11557     (-22.297,-1.062) (-15.333,-1.655) (-18.688,-32.369)      8.86568  8.86568  
59    -36.12672 -17.02637  18.64547 -44.24978 -17.61076 -19.12396     (-22.366,-1.035) (-15.412,-1.619) (-18.645,-32.462)      9.01853  9.01853  
60    -36.10772 -17.01973  18.60314 -44.20554 -17.59599 -19.13234     (-22.436,-1.007) (-15.490,-1.583) (-18.603,-32.554)      9.17139  9.17139  
61    -36.08872 -17.01309  18.56081 -44.16129 -17.58121 -19.14072     (-22.505,-0.980) (-15.569,-1.548) (-18.561,-32.647)      9.32424  9.32424  
62    -36.06972 -17.00645  18.51848 -44.11705 -17.56644 -19.14910     (-22.574,-0.952) (-15.647,-1.512) (-18.518,-32.739)      9.43519  9.4771  
63    -36.05072 -16.99981  18.47615 -44.07281 -17.55167 -19.15748     (-22.644,-0.924) (-15.726,-1.476) (-18.476,-32.832)      9.52728  9.62996  
64    -36.03173 -16.99317  18.43383 -44.02856 -17.53690 -19.16586     (-22.713,-0.897) (-15.804,-1.441) (-18.434,-32.925)      9.62091  9.78281  
65    -36.01273 -16.98652  18.39150 -43.98432 -17.52212 -19.17424     (-22.783,-0.869) (-15.882,-1.405) (-18.391,-33.017)      9.71605  9.93567  
66    -35.99373 -16.97988  18.34917 -43.94007 -17.50735 -19.18262     (-22.852,-0.842) (-15.961,-1.369) (-18.349,-33.110)      9.81265  10.0885  
67    -35.97473 -16.97324  18.30684 -43.89583 -17.49258 -19.19100     (-22.922,-0.814) (-16.039,-1.334) (-18.307,-33.202)      9.91067  10.1879  
68    -35.95573 -16.96660  18.26451 -43.85159 -17.47781 -19.19938     (-22.991,-0.787) (-16.118,-1.298) (-18.265,-33.295)      10.0101  10.2764  
69    -35.93673 -16.95996  18.22219 -43.80734 -17.46303 -19.20776     (-23.061,-0.759) (-16.196,-1.262) (-18.222,-33.387)      10.1108  10.3665  
70    -35.91773 -16.95332  18.17986 -43.76310 -17.44826 -19.21615     (-23.130,-0.732) (-16.275,-1.227) (-18.180,-33.480)      10.2128  10.4581  
71    -35.89874 -16.94668  18.13753 -43.71885 -17.43349 -19.22453     (-23.200,-0.704) (-16.353,-1.191) (-18.138,-33.572)      10.3161  10.5511  
72    -35.87974 -16.94004  18.09520 -43.67461 -17.41872 -19.23291     (-23.269,-0.676) (-16.432,-1.155) (-18.095,-33.665)      10.4206  10.6456  
73    -35.86074 -16.93340  18.05288 -43.63037 -17.40394 -19.24129     (-23.339,-0.649) (-16.510,-1.119) (-18.053,-33.757)      10.5262  10.7414  
74    -35.84174 -16.92676  18.01055 -43.58612 -17.38917 -19.24967     (-23.408,-0.621) (-16.588,-1.084) (-18.011,-33.850)      10.6331  10.8386  
75    -35.82274 -16.92011  17.96822 -43.54188 -17.37440 -19.25805     (-23.477,-0.594) (-16.667,-1.048) (-17.968,-33.942)      10.741  10.9372  
76    -35.80374 -16.91347  17.92589 -43.49764 -17.35963 -19.26643     (-23.547,-0.566) (-16.745,-1.012) (-17.926,-34.035)      10.85  11.037  
77    -35.78474 -16.90683  17.88356 -43.45339 -17.34485 -19.27481     (-23.616,-0.539) (-16.824,-0.977) (-17.884,-34.127)      10.9601  11.1381  
78    -35.76575 -16.90019  17.84124 -43.40915 -17.33008 -19.28319     (-23.686,-0.511) (-16.902,-0.941) (-17.841,-34.220)      11.0712  11.2404  
79    -35.74675 -16.89355  17.79891 -43.36490 -17.31531 -19.29157     (-23.755,-0.484) (-16.981,-0.905) (-17.799,-34.313)      11.1832  11.3439  
80    -35.72775 -16.88691  17.75658 -43.32066 -17.30054 -19.29996     (-23.825,-0.456) (-17.059,-0.870) (-17.757,-34.405)      11.2962  11.4486  
81    -35.70875 -16.88027  17.71425 -43.27642 -17.28576 -19.30834     (-23.894,-0.428) (-17.138,-0.834) (-17.714,-34.498)      11.4102  11.5544  
82    -35.68975 -16.87363  17.67192 -43.23217 -17.27099 -19.31672     (-23.964,-0.401) (-17.216,-0.798) (-17.672,-34.590)      11.525  11.6613  
83    -35.67075 -16.86699  17.62960 -43.18793 -17.25622 -19.32510     (-24.033,-0.373) (-17.294,-0.763) (-17.630,-34.683)      11.6408  11.7692  
84    -35.65176 -16.86035  17.58727 -43.14368 -17.24145 -19.33348     (-24.103,-0.346) (-17.373,-0.727) (-17.587,-34.775)      11.7573  11.8782  
85    -35.63276 -16.85371  17.54494 -43.09944 -17.22667 -19.34186     (-24.172,-0.318) (-17.451,-0.691) (-17.545,-34.868)      11.8433  11.9881  
86    -35.61376 -16.84706  17.50261 -43.05520 -17.21190 -19.35024     (-24.241,-0.291) (-17.530,-0.656) (-17.503,-34.960)      11.8916  12.0991  
87    -35.59476 -16.84042  17.46028 -43.01095 -17.19713 -19.35862     (-24.311,-0.263) (-17.608,-0.620) (-17.460,-35.053)      11.9417  12.211  
88    -35.57576 -16.83378  17.41796 -42.96671 -17.18236 -19.36700     (-24.380,-0.236) (-17.687,-0.584) (-17.418,-35.145)      11.9936  12.3238  
89    -35.55676 -16.82714  17.37563 -42.92246 -17.16758 -19.37538     (-24.450,-0.208) (-17.765,-0.548) (-17.376,-35.238)      12.0472  12.4375  
90    -35.53776 -16.82050  17.33330 -42.87822 -17.15281 -19.38377     (-24.519,-0.180) (-17.843,-0.513) (-17.333,-35.330)      12.1025  12.491  
91    -35.51877 -16.81386  17.29097 -42.83398 -17.13804 -19.39215     (-24.589,-0.153) (-17.922,-0.477) (-17.291,-35.423)      12.1594  12.5222  
92    -35.49977 -16.80722  17.24864 -42.78973 -17.12327 -19.40053     (-24.658,-0.125) (-18.000,-0.441) (-17.249,-35.516)      12.218  12.5549  
93    -35.48077 -16.80058  17.20632 -42.74549 -17.10849 -19.40891     (-24.728,-0.098) (-18.079,-0.406) (-17.206,-35.608)      12.2782  12.589  
94    -35.46177 -16.79394  17.16399 -42.70124 -17.09372 -19.41729     (-24.797,-0.070) (-18.157,-0.370) (-17.164,-35.701)      12.34  12.6244  
95    -35.44277 -16.78730  17.12166 -42.65700 -17.07895 -19.42567     (-24.867,-0.043) (-18.236,-0.334) (-17.122,-35.793)      12.4034  12.6613  
96    -35.42377 -16.78065  17.07933 -42.61276 -17.06418 -19.43405     (-24.936,-0.015) (-18.314,-0.299) (-17.079,-35.886)      12.4684  12.6995  
97    -35.40477 -16.77401  17.03700 -42.56851 -17.04940 -19.44243     (-25.018,-0.012) (-17.025,-0.251) (-18.380,-35.966)      12.5356  12.5746  
98    -35.38578 -16.76737  16.99468 -42.52427 -17.03463 -19.45081     (-25.115,-0.040) (-16.955,-0.187) (-18.431,-36.031)      12.5528  12.5819  
99    -35.36678 -16.76073  16.95235 -42.48002 -17.01986 -19.45919     (-25.212,-0.068) (-16.885,-0.124) (-18.482,-36.096)      12.5721  12.5913  
100    -35.34778 -16.75409  16.91002 -42.43578 -17.00509 -19.46758     (-25.309,-0.095) (-16.815,-0.061) (-18.533,-36.161)      12.5934  12.6028  
101    -35.32878 -16.74745  16.86769 -42.39154 -16.99031 -19.47596     (-18.581,-0.120) (-16.747,-0.002) (-25.404,-36.223)      12.6158  12.6158  
102    -35.30978 -16.74081  16.82536 -42.34729 -16.97554 -19.48434     (-18.569,-0.085) (-16.741,-0.066) (-25.437,-36.225)      12.6138  12.6138  
103    -35.29078 -16.73417  16.78304 -42.30305 -16.96077 -19.49272     (-18.557,-0.049) (-16.734,-0.129) (-25.471,-36.227)      12.6123  12.6123  
104    -35.27178 -16.72753  16.74071 -42.25880 -16.94600 -19.50110     (-18.544,-0.013) (-16.728,-0.192) (-25.505,-36.229)      12.6114  12.6114  
105    -35.25279 -16.72089  16.69838 -42.21456 -16.93122 -19.50948     (-18.554,-0.023) (-25.516,-0.233) (-16.698,-36.208)      12.5828  12.6005  
106    -35.23379 -16.71424  16.65605 -42.17032 -16.91645 -19.51786     (-18.578,-0.058) (-25.514,-0.260) (-16.656,-36.174)      12.5381  12.5838  
107    -35.21479 -16.70760  16.61372 -42.12607 -16.90168 -19.52624     (-18.601,-0.094) (-25.512,-0.288) (-16.614,-36.140)      12.4936  12.5671  
108    -35.19579 -16.70096  16.57140 -42.08183 -16.88691 -19.53462     (-18.624,-0.130) (-25.510,-0.316) (-16.571,-36.106)      12.4494  12.5505  
109    -35.17679 -16.69432  16.52907 -42.03759 -16.87213 -19.54300     (-18.648,-0.165) (-25.509,-0.343) (-16.529,-36.072)      12.4055  12.5341  
110    -35.15779 -16.68768  16.48674 -41.99334 -16.85736 -19.55138     (-18.671,-0.201) (-25.507,-0.371) (-16.487,-36.038)      12.3618  12.5178  
111    -35.13879 -16.68104  16.44441 -41.94910 -16.84259 -19.55977     (-18.694,-0.237) (-25.505,-0.398) (-16.444,-36.004)      12.3185  12.5017  
112    -35.11980 -16.67440  16.40208 -41.90485 -16.82782 -19.56815     (-18.718,-0.272) (-25.503,-0.426) (-16.402,-35.970)      12.2755  12.4856  
113    -35.10080 -16.66776  16.35976 -41.86061 -16.81304 -19.57653     (-18.741,-0.308) (-25.501,-0.453) (-16.360,-35.936)      12.2328  12.4697  
114    -35.08180 -16.66112  16.31743 -41.81637 -16.79827 -19.58491     (-18.764,-0.344) (-25.499,-0.481) (-16.317,-35.902)      12.1903  12.4539  
115    -35.06280 -16.65448  16.27510 -41.77212 -16.78350 -19.59329     (-18.788,-0.379) (-25.497,-0.508) (-16.275,-35.868)      12.1482  12.4383  
116    -35.04380 -16.64783  16.23277 -41.72788 -16.76873 -19.60167     (-18.811,-0.415) (-25.495,-0.536) (-16.233,-35.834)      12.1064  12.4227  
117    -35.02480 -16.64119  16.19044 -41.68363 -16.75395 -19.61005     (-18.834,-0.451) (-25.493,-0.564) (-16.190,-35.800)      12.0649  12.4074  
118    -35.00581 -16.63455  16.14812 -41.63939 -16.73918 -19.61843     (-18.858,-0.486) (-25.491,-0.591) (-16.148,-35.767)      12.0237  12.3921  
119    -34.98681 -16.62791  16.10579 -41.59515 -16.72441 -19.62681     (-18.881,-0.522) (-25.489,-0.619) (-16.106,-35.733)      11.9829  12.377  
120    -34.96781 -16.62127  16.06346 -41.55090 -16.70964 -19.63519     (-18.904,-0.558) (-25.487,-0.646) (-16.063,-35.699)      11.9423  12.3621  
121    -34.94881 -16.61463  16.02113 -41.50666 -16.69486 -19.64358     (-18.928,-0.593) (-25.486,-0.674) (-16.021,-35.665)      11.9021  12.3472  
122    -34.92981 -16.60799  15.97881 -41.46241 -16.68009 -19.65196     (-18.951,-0.629) (-25.484,-0.701) (-15.979,-35.631)      11.8623  12.3326  
123    -34.91081 -16.60135  15.93648 -41.41817 -16.66532 -19.66034     (-18.974,-0.665) (-25.482,-0.729) (-15.936,-35.597)      11.8227  12.3181  
124    -34.89181 -16.59471  15.89415 -41.37393 -16.65055 -19.66872     (-18.998,-0.701) (-25.480,-0.756) (-15.894,-35.563)      11.7835  12.3037  
125    -34.87282 -16.58807  15.85182 -41.32968 -16.63577 -19.67710     (-19.021,-0.736) (-25.478,-0.784) (-15.852,-35.529)      11.7446  12.2895  
