PointDistanceFollower   Jul 16 2018   mode =  Single Point 
Fol_2018-07-17.10_22_03.0_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist NCDist D7Dist CS6Dist  distance between 
Compute times (msec)     S6Dist   310   NCDist   1488   D7Dist   699   CS6Dist  9
PointDistanceFollower  Jul 16 2018  mode = Single Point
Fol_2018-07-17.10_22_03.0_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0      2.16690 -48.48302 -41.18252  -1.70611  -8.53307  -0.42177     (-44.571,-2.128) (-0.422,-37.270) (-8.111,-1.745)      0  0  2.6974e-06  0  
1      1.69480 -47.99755 -40.84847  -1.71037  -8.82335  -0.43514     (-45.043,-2.146) (-0.435,-37.894) (-8.388,-1.260)      0.961507  1.03136  1.88006  0.961507  
2      1.22270 -47.51209 -40.51441  -1.71463  -9.11362  -0.44850     (-45.515,-2.163) (-0.449,-38.518) (-8.665,-0.774)      1.92301  2.06273  3.76012  1.92301  
3      0.75060 -47.02662 -40.18036  -1.71889  -9.40390  -0.46187     (-45.987,-2.181) (-0.462,-39.141) (-8.942,-0.289)      2.88452  3.09409  5.64018  2.88452  
4      0.27850 -46.54115 -39.84631  -1.72315  -9.69418  -0.47524     (-0.279,-2.002) (-46.263,-39.568) (-9.416,-0.197)      3.69433  3.83837  7.37428  3.79156  
5     -0.19360 -46.05568 -39.51226  -1.72741  -9.98445  -0.48861     (-0.194,-1.727) (-46.056,-9.984) (-39.512,-0.489)      3.75965  3.29263  8.07072  4.10211  
6     -0.66570 -45.57022 -39.17820  -1.73167 -10.27473  -0.50197     (-0.666,-1.732) (-45.570,-10.275) (-39.178,-0.502)      3.39024  3.42655  7.66178  3.72213  
7     -1.13780 -45.08475 -38.84415  -1.73593 -10.56501  -0.51534     (-1.138,-1.736) (-45.085,-10.565) (-38.844,-0.515)      3.18774  3.4874  7.42456  3.51193  
8     -1.60990 -44.59928 -38.51010  -1.74019 -10.85529  -0.52871     (-1.610,-1.740) (-44.599,-10.855) (-38.510,-0.529)      3.18416  3.45413  7.37732  3.50641  
9     -2.08200 -44.11382 -38.17605  -1.74445 -11.14556  -0.54208     (-2.082,-1.744) (-44.114,-11.146) (-38.176,-0.542)      3.38013  4.06805  7.52398  3.7066     glitch
10     -2.55410 -43.62835 -37.84199  -1.74871 -11.43584  -0.55544     (-2.554,-1.749) (-43.628,-11.436) (-37.842,-0.555)      3.74445  4.82644  7.85268  4.07888  
11     -3.02620 -43.14288 -37.50794  -1.75297 -11.72612  -0.56881     (-3.026,-1.753) (-43.143,-11.726) (-37.508,-0.569)      4.23388  5.67163  8.34004  4.57725  
12     -3.49830 -42.65741 -37.17389  -1.75723 -12.01639  -0.58218     (-3.498,-1.757) (-42.657,-12.016) (-37.174,-0.582)      4.81038  6.57021  8.95812  5.1621  
13     -3.97040 -42.17195 -36.83983  -1.76149 -12.30667  -0.59554     (-3.970,-1.761) (-42.172,-12.307) (-36.840,-0.596)      5.44637  7.50303  9.68006  5.80533  
14     -4.44250 -41.68648 -36.50578  -1.76575 -12.59695  -0.60891     (-4.442,-1.766) (-41.686,-12.597) (-36.506,-0.609)      6.12335  8.45876  10.483  6.48839  
15     -4.91460 -41.20101 -36.17173  -1.77001 -12.88722  -0.62228     (-4.915,-1.770) (-41.201,-12.887) (-36.172,-0.622)      6.82914  9.43044  11.3486  7.19926  
16     -5.38670 -40.71555 -35.83768  -1.77427 -13.17750  -0.63565     (-5.387,-1.774) (-40.716,-13.178) (-35.838,-0.636)      7.55566  10.4136  12.2629  7.93003  
17     -5.85880 -40.23008 -35.50362  -1.77854 -13.46778  -0.64901     (-5.859,-1.779) (-40.230,-13.468) (-35.504,-0.649)      8.29747  11.4053  13.2152  8.67542  
18     -6.33090 -39.74461 -35.16957  -1.78280 -13.75806  -0.66238     (-6.331,-1.783) (-39.745,-13.758) (-35.170,-0.662)      9.05082  12.4034  14.1905  9.43181  
19     -6.80300 -39.25914 -34.83552  -1.78706 -14.04833  -0.67575     (-6.803,-1.787) (-39.259,-14.048) (-34.836,-0.676)      9.81305  13.4066  15.1747  10.1966  
20     -7.27510 -38.77368 -34.50147  -1.79132 -14.33861  -0.68912     (-7.275,-1.791) (-38.774,-14.339) (-34.501,-0.689)      10.5822  14.4138  16.1795  10.9681  
21     -7.74720 -38.28821 -34.16741  -1.79558 -14.62889  -0.70248     (-7.747,-1.796) (-38.288,-14.629) (-34.167,-0.702)      11.357  15.4242  17.2014  11.7448  
22     -8.21930 -37.80274 -33.83336  -1.79984 -14.91916  -0.71585     (-8.219,-1.800) (-37.803,-14.919) (-33.833,-0.716)      12.1362  16.4371  18.2375  12.5257  
23     -8.69140 -37.31728 -33.49931  -1.80410 -15.20944  -0.72922     (-8.691,-1.804) (-37.317,-15.209) (-33.499,-0.729)      12.9191  17.4522  19.2857  13.3101  
24     -9.16350 -36.83181 -33.16525  -1.80836 -15.49972  -0.74258     (-9.163,-1.808) (-36.832,-15.500) (-33.165,-0.743)      13.705  18.4692  20.344  14.0974  
25     -9.63560 -36.34634 -32.83120  -1.81262 -15.78999  -0.75595     (-9.636,-1.813) (-36.346,-15.790) (-32.831,-0.756)      14.4935  19.4876  21.411  14.8871  
26    -10.10770 -35.86087 -32.49715  -1.81688 -16.08027  -0.76932     (-10.108,-1.817) (-35.861,-16.080) (-32.497,-0.769)      15.2841  20.5073  22.4855  15.6788  
27    -10.57980 -35.37541 -32.16310  -1.82114 -16.37055  -0.78269     (-10.580,-1.821) (-35.375,-16.371) (-32.163,-0.783)      16.0766  21.5282  23.5666  16.4722  
28    -11.05190 -34.88994 -31.82904  -1.82540 -16.66083  -0.79605     (-11.052,-1.825) (-34.890,-16.661) (-31.829,-0.796)      16.8706  22.55  24.6533  17.2672  
29    -11.52400 -34.40447 -31.49499  -1.82966 -16.95110  -0.80942     (-11.524,-1.830) (-34.404,-16.951) (-31.495,-0.809)      17.666  23.5726  25.7449  18.0634  
30    -11.99610 -33.91900 -31.16094  -1.83392 -17.24138  -0.82279     (-11.996,-1.834) (-33.919,-17.241) (-31.161,-0.823)      18.4626  24.596  26.841  18.8607  
31    -12.46820 -33.43354 -30.82689  -1.83818 -17.53166  -0.83616     (-12.468,-1.838) (-33.434,-17.532) (-30.827,-0.836)      19.2602  25.62  27.941  19.6591  
32    -12.94030 -32.94807 -30.49283  -1.84244 -17.82193  -0.84952     (-12.940,-1.842) (-32.948,-17.822) (-30.493,-0.850)      20.0588  26.6446  29.0444  20.4582  
33    -13.41240 -32.46260 -30.15878  -1.84670 -18.11221  -0.86289     (-13.412,-1.847) (-32.463,-18.112) (-30.159,-0.863)      20.8581  27.6696  30.1509  21.2582  
34    -13.88450 -31.97714 -29.82473  -1.85096 -18.40249  -0.87626     (-13.884,-1.851) (-31.977,-18.402) (-29.825,-0.876)      21.6582  28.6952  31.2602  22.0588  
35    -14.35660 -31.49167 -29.49067  -1.85522 -18.69276  -0.88962     (-14.357,-1.855) (-31.492,-18.693) (-29.491,-0.890)      22.459  29.7211  32.372  22.86  
36    -14.82870 -31.00620 -29.15662  -1.85948 -18.98304  -0.90299     (-14.829,-1.859) (-31.006,-18.983) (-29.157,-0.903)      23.2603  30.6828  33.7279  23.6618  
