PointDistanceFollower   Dec 16 2019   mode =  Single Point 
Fol_2019-12-16.15_26_13.0_6.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist LMDist  distance between 
Compute times (msec)     S6Dist   46   CS6Dist  1   LMDist   191
PointDistanceFollower  Dec 16 2019  mode = Single Point
Fol_2019-12-16.15_26_13.0_6.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist LMDist distance between
0    -93.48752 -136.14265 -176.64723 -145.73926   0.16080  -1.76777     (-176.486,-145.578) (-136.303,-0.161) (-93.327,-1.607)      0  0  0  
1    -94.32589 -136.14428 -175.80561 -145.73763   0.15755  -1.76614     (-175.648,-145.580) (-136.302,-0.158) (-94.168,-1.609)      1.18795  1.18795  1.18795  
2    -95.16427 -136.14590 -174.96399 -145.73601   0.15430  -1.76452     (-174.810,-145.582) (-136.300,-0.154) (-95.010,-1.610)      2.37589  2.37589  2.37589  
3    -96.00264 -136.14753 -174.12236 -145.73438   0.15105  -1.76289     (-173.971,-145.583) (-136.299,-0.151) (-95.852,-1.612)      3.56384  3.56384  3.56384  
4    -96.84101 -136.14915 -173.28074 -145.73276   0.14780  -1.76127     (-173.133,-145.585) (-136.297,-0.148) (-96.693,-1.613)      4.75178  4.75178  4.75178  
5    -97.67939 -136.15078 -172.43912 -145.73114   0.14455  -1.75964     (-172.295,-145.587) (-136.295,-0.145) (-97.535,-1.615)      5.93973  5.93973  5.93973  
6    -98.51776 -136.15240 -171.59750 -145.72951   0.14130  -1.75802     (-171.456,-145.588) (-136.294,-0.141) (-98.376,-1.617)      7.12767  7.12767  7.12767  
7    -99.35613 -136.15402 -170.75588 -145.72789   0.13806  -1.75640     (-170.618,-145.590) (-136.292,-0.138) (-99.218,-1.618)      8.31562  8.31562  8.31562  
8    -100.19450 -136.15565 -169.91426 -145.72626   0.13481  -1.75477     (-169.779,-145.591) (-136.290,-0.135) (-100.060,-1.620)      9.50356  9.50356  9.50356  
9    -101.03288 -136.15727 -169.07264 -145.72464   0.13156  -1.75315     (-168.941,-145.593) (-136.289,-0.132) (-100.901,-1.622)      10.6915  10.6915  10.6915  
10    -101.87125 -136.15890 -168.23102 -145.72302   0.12831  -1.75152     (-168.103,-145.595) (-136.287,-0.128) (-101.743,-1.623)      11.8795  11.8795  11.8795  
11    -102.70962 -136.16052 -167.38939 -145.72139   0.12506  -1.74990     (-167.264,-145.596) (-136.286,-0.125) (-102.585,-1.625)      13.0674  13.0674  13.0674  
12    -103.54800 -136.16214 -166.54777 -145.71977   0.12181  -1.74828     (-166.426,-145.598) (-136.284,-0.122) (-103.426,-1.626)      14.2553  14.2553  14.2553  
13    -104.38637 -136.16377 -165.70615 -145.71814   0.11857  -1.74665     (-165.588,-145.600) (-136.282,-0.119) (-104.268,-1.628)      15.4433  15.4433  15.4433  
14    -105.22474 -136.16539 -164.86453 -145.71652   0.11532  -1.74503     (-164.749,-145.601) (-136.281,-0.115) (-105.109,-1.630)      16.6312  16.6312  16.6312  
15    -106.06311 -136.16702 -164.02291 -145.71489   0.11207  -1.74340     (-163.911,-145.603) (-136.279,-0.112) (-105.951,-1.631)      17.8192  17.8192  17.8192  
16    -106.90149 -136.16864 -163.18129 -145.71327   0.10882  -1.74178     (-163.072,-145.604) (-136.277,-0.109) (-106.793,-1.633)      19.0071  19.0071  19.0071  
17    -107.73986 -136.17027 -162.33967 -145.71165   0.10557  -1.74015     (-162.234,-145.606) (-136.276,-0.106) (-107.634,-1.635)      20.1951  20.1951  20.1951  
18    -108.57823 -136.17189 -161.49805 -145.71002   0.10232  -1.73853     (-161.396,-145.608) (-136.274,-0.102) (-108.476,-1.636)      21.383  21.383  21.383  
19    -109.41661 -136.17351 -160.65642 -145.70840   0.09908  -1.73691     (-160.557,-145.609) (-136.273,-0.099) (-109.318,-1.638)      22.571  22.571  22.571  
20    -110.25498 -136.17514 -159.81480 -145.70677   0.09583  -1.73528     (-159.719,-145.611) (-136.271,-0.096) (-110.159,-1.639)      23.7589  23.7589  23.7589  
21    -111.09335 -136.17676 -158.97318 -145.70515   0.09258  -1.73366     (-158.881,-145.613) (-136.269,-0.093) (-111.001,-1.641)      24.9468  24.9468  24.9468  
22    -111.93172 -136.17839 -158.13156 -145.70352   0.08933  -1.73203     (-158.042,-145.614) (-136.268,-0.089) (-111.842,-1.643)      26.1348  26.1348  26.1348  
23    -112.77010 -136.18001 -157.28994 -145.70190   0.08608  -1.73041     (-157.204,-145.616) (-136.266,-0.086) (-112.684,-1.644)      27.3227  27.3227  27.3227  
24    -113.60847 -136.18163 -156.44832 -145.70028   0.08283  -1.72878     (-156.365,-145.617) (-136.264,-0.083) (-113.526,-1.646)      28.5107  28.5107  28.5107  
25    -114.44684 -136.18326 -155.60670 -145.69865   0.07959  -1.72716     (-155.527,-145.619) (-136.263,-0.080) (-114.367,-1.648)      29.6986  29.6986  29.6986  
26    -115.28522 -136.18488 -154.76508 -145.69703   0.07634  -1.72554     (-154.689,-145.621) (-136.261,-0.076) (-115.209,-1.649)      30.8866  30.8866  30.8866  
27    -116.12359 -136.18651 -153.92345 -145.69540   0.07309  -1.72391     (-153.850,-145.622) (-136.260,-0.073) (-116.050,-1.651)      32.0745  32.0745  32.0745  
28    -116.96196 -136.18813 -153.08183 -145.69378   0.06984  -1.72229     (-153.012,-145.624) (-136.258,-0.070) (-116.892,-1.652)      33.2625  33.2625  33.2625  
29    -117.80033 -136.18976 -152.24021 -145.69216   0.06659  -1.72066     (-152.174,-145.626) (-136.256,-0.067) (-117.734,-1.654)      34.4504  34.4504  34.4504  
30    -118.63871 -136.19138 -151.39859 -145.69053   0.06334  -1.71904     (-151.335,-145.627) (-136.255,-0.063) (-118.575,-1.656)      35.6384  35.6384  35.6384  
31    -119.47708 -136.19300 -150.55697 -145.68891   0.06010  -1.71742     (-150.497,-145.629) (-136.253,-0.060) (-119.417,-1.657)      36.8263  36.8263  36.8263  
32    -120.31545 -136.19463 -149.71535 -145.68728   0.05685  -1.71579     (-149.659,-145.630) (-136.251,-0.057) (-120.259,-1.659)      38.0142  38.0142  38.0142  
33    -121.15383 -136.19625 -148.87373 -145.68566   0.05360  -1.71417     (-148.820,-145.632) (-136.250,-0.054) (-121.100,-1.661)      39.2022  39.2022  39.2022  
34    -121.99220 -136.19788 -148.03211 -145.68403   0.05035  -1.71254     (-147.982,-145.634) (-136.248,-0.050) (-121.942,-1.662)      40.3901  40.3901  40.3901  
35    -122.83057 -136.19950 -147.19049 -145.68241   0.04710  -1.71092     (-147.143,-145.635) (-136.247,-0.047) (-122.783,-1.664)      41.5781  41.5781  41.5781  
