PointDistanceFollower   Mar 23 2020   mode =  LINE3 
Fol_2020-03-23.17_12_38.31_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist LMDist  distance between 
Compute times (msec)     S6Dist  58   CS6Dist 2   LMDist  1875
PointDistanceFollower  Mar 23 2020  mode = LINE3
Fol_2020-03-23.17_12_38.31_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist LMDist distance between
0    -42.73285 -45.84698 -23.67854  -3.59466  26.65097 -51.95693     (-4.725,-20.807) (-2.250,-37.742) (-5.844,-8.385)      0  0  0  
1    -42.40203 -46.12638 -23.63866  -3.63438  25.89863 -51.55370     (-2.370,-18.873) (-3.391,-41.630) (-7.025,-11.873)      6.2659  6.2659  6.2659  
2    -42.07120 -46.40578 -23.59878  -3.67409  25.14629 -51.15046     (-0.015,-16.940) (-4.532,-45.517) (-8.206,-15.362)      12.5318  12.5318  12.5318  
3    -41.74037 -46.68518 -23.55890  -3.71380  24.39395 -50.74722     (-2.339,-17.346) (-3.334,-7.048) (-47.065,-16.511)      14.7464  16.119  16.8558  
4    -41.40955 -46.96458 -23.51902  -3.75352  23.64161 -50.34398     (-4.694,-17.768) (-2.120,-5.874) (-48.598,-17.645)      17.3657  20.0296  20.0835     glitch
5    -41.07872 -47.24398 -23.47914  -3.79323  22.88928 -49.94074     (-7.049,-18.189) (-0.907,-4.700) (-50.131,-18.779)      19.6405  21.1462  21.9944  
6    -40.74790 -47.52338 -23.43926  -3.83294  22.13694 -49.53750     (-19.606,-18.304) (-0.307,-3.833) (-51.356,-9.097)      21.1037  21.6664  21.6664  
7    -40.41707 -47.80278 -23.39937  -3.87266  21.38460 -49.13426     (-19.527,-17.512) (-1.521,-3.873) (-51.675,-10.238)      21.3174  21.4975  21.4975  
8    -40.08625 -48.08218 -23.35949  -3.91237  20.63226 -48.73103     (-19.447,-16.720) (-2.734,-3.912) (-51.995,-11.379)      21.4912  21.4912  21.4912  
9    -39.75542 -48.36158 -23.31961  -3.95208  19.87992 -48.32779     (-19.368,-15.928) (-3.948,-3.952) (-52.314,-12.520)      21.6478  21.6478  21.6478  
10    -39.42459 -48.64098 -23.27973  -3.99180  19.12758 -47.92455     (-19.288,-15.136) (-5.161,-3.992) (-52.633,-13.661)      21.9637  21.9637  21.9637  
11    -39.09377 -48.92038 -23.23985  -4.03151  18.37524 -47.52131     (-19.208,-14.344) (-6.375,-4.032) (-52.952,-14.802)      22.4323  22.4323  22.4323  
12    -38.76294 -49.19978 -23.19997  -4.07122  17.62290 -47.11807     (-19.129,-13.552) (-7.588,-4.071) (-53.271,-15.943)      23.0442  23.0442  23.0442  
13    -38.43212 -49.47918 -23.16009  -4.11094  16.87056 -46.71483     (-19.049,-12.760) (-8.802,-4.111) (-53.590,-17.085)      23.7884  23.7884  23.7884  
14    -38.10129 -49.75858 -23.12021  -4.15065  16.11822 -46.31160     (-18.970,-11.968) (-10.015,-4.151) (-53.909,-18.226)      24.6528  24.6528  24.6528  
15    -37.77047 -50.03798 -23.08033  -4.19036  15.36588 -45.90836     (-18.890,-11.176) (-11.229,-4.190) (-54.228,-19.367)      25.6254  25.6254  25.6254  
16    -37.43964 -50.31738 -23.04045  -4.23008  14.61354 -45.50512     (-18.810,-10.383) (-12.443,-4.230) (-54.547,-20.508)      25.788  26.6943  26.6943  
17    -37.10882 -50.59678 -23.00056  -4.26979  13.86120 -45.10188     (-18.731,-9.591) (-13.656,-4.270) (-54.867,-21.649)      25.9634  27.8484  27.8484  
18    -36.77799 -50.87618 -22.96068  -4.30950  13.10887 -44.69864     (-18.651,-8.799) (-14.870,-4.310) (-55.186,-22.790)      26.2717  29.0775  29.0775  
19    -36.44716 -51.15558 -22.92080  -4.34922  12.35653 -44.29540     (-18.572,-8.007) (-16.083,-4.349) (-55.505,-23.932)      26.7082  29.718  30.3727  
20    -36.11634 -51.43498 -22.88092  -4.38893  11.60419 -43.89216     (-18.492,-7.215) (-17.297,-4.389) (-55.824,-25.073)      27.2668  30.3296  31.7257  
21    -35.78551 -51.71438 -22.84104  -4.42864  10.85185 -43.48893     (-18.412,-6.423) (-18.510,-4.429) (-56.143,-26.214)      27.9402  31.0609  32.8638  
22    -35.45469 -51.99378 -22.80116  -4.46836  10.09951 -43.08569     (-18.333,-5.631) (-19.724,-4.468) (-56.462,-27.355)      28.7203  31.903  33.8451  
23    -35.12386 -52.27318 -22.76128  -4.50807   9.34717 -42.68245     (-18.253,-4.839) (-20.938,-4.508) (-56.781,-28.496)      29.5986  32.8464  34.8995  
24    -34.79304 -52.55258 -22.72140  -4.54778   8.59483 -42.27921     (-18.174,-4.047) (-22.151,-4.548) (-57.100,-29.637)      30.5667  33.8818  36.0205  
25    -34.46221 -52.83198 -22.68152  -4.58750   7.84249 -41.87597     (-18.094,-3.255) (-23.365,-4.587) (-57.419,-30.778)      31.6164  34.3671  36.5507  
26    -34.13139 -53.11138 -22.64164  -4.62721   7.09015 -41.47273     (-18.014,-2.463) (-24.578,-4.627) (-57.739,-31.920)      32.7397  34.8674  36.4766  
27    -33.80056 -53.39078 -22.60176  -4.66692   6.33781 -41.06949     (-17.935,-1.671) (-25.792,-4.667) (-58.058,-33.061)      33.8335  35.4037  36.4635  
28    -33.46973 -53.67018 -22.56187  -4.70664   5.58547 -40.66626     (-17.855,-0.879) (-27.005,-4.707) (-58.377,-34.202)      34.899  35.9719  36.5113  
29    -33.13891 -53.94958 -22.52199  -4.74635   4.83313 -40.26302     (-17.776,-0.087) (-28.219,-4.746) (-58.696,-35.343)      36.0306  36.5685  36.6199  
