PointDistanceFollower   May  5 2020   mode =  LINE3 
Fol_2020-05-05.13_43_53.10_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist LMDist  distance between 
Compute times (msec)     S6Dist  57   CS6Dist 10   LMDist  20685
PointDistanceFollower  May  5 2020  mode = LINE3
Fol_2020-05-05.13_43_53.10_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist LMDist distance between
0    -33.46743  -4.80952 -38.18964  -3.52836 -15.09143   2.84386     (-1.966,-0.684) (-30.624,-12.248) (-41.033,-2.844)      0  0  0  
1    -33.36030  -5.18437 -38.09968  -3.39077 -14.89833   2.54264     (-2.642,-0.848) (-30.818,-12.356) (-40.642,-2.543)      0.88146  0.88146  0.88146  
2    -33.25317  -5.55922 -38.00973  -3.25318 -14.70524   2.24141     (-3.318,-1.012) (-31.012,-12.464) (-40.251,-2.241)      1.76292  1.76292  1.76292  
3    -33.14604  -5.93406 -37.91977  -3.11559 -14.51215   1.94019     (-3.994,-1.175) (-31.206,-12.572) (-39.860,-1.940)      2.64438  2.64438  2.64438  
4    -33.03892  -6.30891 -37.82982  -2.97799 -14.31905   1.63896     (-4.670,-1.339) (-31.400,-12.680) (-39.469,-1.639)      3.52584  3.52584  3.52584  
5    -32.93179  -6.68376 -37.73986  -2.84040 -14.12596   1.33774     (-5.346,-1.503) (-31.594,-12.788) (-39.078,-1.338)      4.4073  4.4073  4.4073  
6    -32.82466  -7.05861 -37.64991  -2.70281 -13.93286   1.03651     (-6.022,-1.666) (-31.788,-12.896) (-38.686,-1.037)      5.28876  5.28876  5.28876  
7    -32.71754  -7.43345 -37.55995  -2.56522 -13.73977   0.73529     (-6.698,-1.830) (-31.982,-13.004) (-38.295,-0.735)      6.17022  5.33001  6.17022  
8    -32.61041  -7.80830 -37.47000  -2.42763 -13.54667   0.43407     (-7.374,-1.994) (-32.176,-13.113) (-37.904,-0.434)      7.05168  5.19695  7.05168  
9    -32.50328  -8.18315 -37.38005  -2.29004 -13.35358   0.13284     (-8.050,-2.157) (-32.370,-13.221) (-37.513,-0.133)      7.93314  5.19556  7.93314  
10    -32.39616  -8.55799 -37.29009  -2.15245 -13.16048  -0.16838     (-32.396,-2.152) (-8.558,-13.160) (-37.290,-0.168)      8.52502  5.61972  5.54104     glitch
11    -32.28903  -8.93284 -37.20014  -2.01486 -12.96739  -0.46961     (-32.289,-2.015) (-8.933,-12.967) (-37.200,-0.470)      8.90377  6.32275  6.09515  
12    -32.18190  -9.30769 -37.11018  -1.87727 -12.77429  -0.77083     (-32.182,-1.877) (-9.308,-12.774) (-37.110,-0.771)      9.30013  7.03454  6.64925  
13    -32.07478  -9.68254 -37.02023  -1.73968 -12.58120  -1.07206     (-32.075,-1.740) (-9.683,-12.581) (-37.020,-1.072)      9.71194  7.75348  7.20335  
14    -31.96765 -10.05738 -36.93027  -1.60209 -12.38810  -1.37328     (-31.968,-1.602) (-10.057,-12.388) (-36.930,-1.373)      10.1373  8.47831  7.75746  
15    -31.86052 -10.43223 -36.84032  -1.46450 -12.19501  -1.67451     (-31.861,-1.464) (-10.432,-12.195) (-36.840,-1.675)      10.5746  9.20803  8.31156  
16    -31.75339 -10.80708 -36.75036  -1.32691 -12.00192  -1.97573     (-31.753,-1.327) (-10.807,-12.002) (-36.750,-1.976)      11.0224  9.94185  8.86567  
17    -31.64627 -11.18193 -36.66041  -1.18932 -11.80882  -2.27695     (-31.646,-1.189) (-11.182,-11.809) (-36.660,-2.277)      11.4166  10.6594  9.41977  
18    -31.53914 -11.55677 -36.57045  -1.05173 -11.61573  -2.57818     (-31.539,-1.052) (-11.557,-11.616) (-36.570,-2.578)      11.7884  10.9443  9.97387  
19    -31.43201 -11.93162 -36.48050  -0.91414 -11.42263  -2.87940     (-31.432,-0.914) (-11.932,-11.423) (-36.480,-2.879)      12.1741  11.2839  10.528  
20    -31.32489 -12.30647 -36.39054  -0.77655 -11.22954  -3.18063     (-31.325,-0.777) (-12.306,-11.230) (-36.391,-3.181)      12.5724  11.664  11.0821  
21    -31.21776 -12.68132 -36.30059  -0.63896 -11.03644  -3.48185     (-31.218,-0.639) (-12.681,-11.036) (-36.301,-3.482)      12.9821  12.0744  11.6362  
22    -31.11063 -13.05616 -36.21063  -0.50136 -10.84335  -3.78308     (-31.111,-0.501) (-13.056,-10.843) (-36.211,-3.783)      13.4022  12.5075  12.1903  
23    -31.00351 -13.43101 -36.12068  -0.36377 -10.65025  -4.08430     (-31.004,-0.364) (-13.431,-10.650) (-36.121,-4.084)      13.8317  12.9582  12.7444  
24    -30.89638 -13.80586 -36.03072  -0.22618 -10.45716  -4.38553     (-30.896,-0.226) (-13.806,-10.457) (-36.031,-4.386)      14.2698  13.3027  13.1275  
