PointDistanceFollower   Jun 17 2018   mode =  LINE3 
LINE3_RAND_20%_.30_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist  distance between 
Compute times (msec)     S6Dist   86   CS6Dist  4
PointDistanceFollower  Jun 17 2018  mode = LINE3
LINE3_RAND_20%_.30_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
0    657.69752 -1144.22608 -1261.80936 -831.33141 -1332.55016 -1064.86951     (-657.698,-1489.029) (-486.529,-604.112) (-674.853,-407.172)     945.90110 -1603.74274 -1534.46991 -685.83034 -1682.49892 -3014.16172     (-945.901,-1631.731) (-657.842,-588.569) (-736.598,-2068.261)      1249.35  1249.35  
1    637.00284 -1137.95125 -1255.92626 -848.19735 -1310.88822 -1070.95168     (-637.003,-1485.200) (-500.948,-618.923) (-673.885,-433.949)     925.20642 -1597.46791 -1528.58681 -702.69629 -1660.83698 -3020.24389     (-925.206,-1627.903) (-672.261,-603.380) (-735.631,-2095.037)      1252.31  1252.31  
2    616.30816 -1131.67641 -1250.04316 -865.06330 -1289.22629 -1077.03385     (-616.308,-1481.371) (-515.368,-633.735) (-672.918,-460.726)     904.51174 -1591.19307 -1522.70371 -719.56223 -1639.17505 -3026.32605     (-904.512,-1624.074) (-686.681,-618.192) (-734.663,-2121.814)      1256.53  1256.53  
3    595.61348 -1125.40158 -1244.16006 -881.92924 -1267.56436 -1083.11601     (-595.613,-1477.543) (-529.788,-648.547) (-671.951,-487.503)     883.81706 -1584.91824 -1516.82062 -736.42817 -1617.51312 -3032.40822     (-883.817,-1620.245) (-701.101,-633.004) (-733.696,-2148.591)      1261.99  1261.99  
4    574.91880 -1119.12674 -1238.27696 -898.79519 -1245.90243 -1089.19818     (-574.919,-1473.714) (-544.208,-663.358) (-670.984,-514.279)     863.12239 -1578.64340 -1510.93752 -753.29412 -1595.85119 -3038.49038     (-863.122,-1616.417) (-715.521,-647.815) (-732.729,-2175.368)      1268.68  1268.68  
5    554.22413 -1112.85191 -1232.39387 -915.66113 -1224.24049 -1095.28034     (-554.224,-1469.885) (-558.628,-678.170) (-670.016,-541.056)     842.42771 -1572.36857 -1505.05442 -770.16006 -1574.18925 -3044.57255     (-842.428,-1612.588) (-729.941,-662.627) (-731.762,-2202.145)      1276.58  1276.58  
6    533.52945 -1106.57707 -1226.51077 -932.52707 -1202.57856 -1101.36251     (-533.529,-1466.057) (-573.048,-692.981) (-669.049,-567.833)     821.73303 -1566.09374 -1499.17132 -787.02601 -1552.52732 -3050.65472     (-821.733,-1608.759) (-744.361,-677.438) (-730.794,-2228.922)      1285.67  1285.67  
7    512.83477 -1100.30224 -1220.62767 -949.39302 -1180.91663 -1107.44467     (-512.835,-1462.228) (-587.467,-707.793) (-668.082,-594.610)     801.03835 -1559.81890 -1493.28822 -803.89195 -1530.86539 -3056.73688     (-801.038,-1604.930) (-758.781,-692.250) (-729.827,-2255.699)      1295.92  1295.92  
8    492.14009 -1094.02741 -1214.74457 -966.25896 -1159.25470 -1113.52684     (-492.140,-1458.399) (-601.887,-722.604) (-667.115,-621.387)     780.34367 -1553.54407 -1487.40512 -820.75789 -1509.20346 -3062.81905     (-780.344,-1601.102) (-773.200,-707.061) (-728.860,-2282.475)      1307.3  1307.3  
9    471.44541 -1087.75257 -1208.86147 -983.12491 -1137.59276 -1119.60900     (-471.445,-1454.570) (-616.307,-737.416) (-666.147,-648.164)     759.64900 -1547.26923 -1481.52202 -837.62384 -1487.54152 -3068.90121     (-759.649,-1597.273) (-787.620,-721.873) (-727.893,-2309.252)      1319.79  1319.79  
