PointDistanceFollower   Jun 13 2018   mode =  LINE3 
LINE3_RAND_20%_.6_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist  distance between 
Compute times (msec)     S6Dist   27340   CS6Dist  30
PointDistanceFollower  Jun 13 2018  mode = LINE3
LINE3_RAND_20%_.6_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
0    614.27903 -807.80184 -1457.81485 -80.18083 -2195.83327 -2678.94506     (-614.279,-694.460) (-193.523,-843.536) (-1581.554,-2064.666)     137.18583 -2022.73276 -1210.05143 -355.58904 -205.36542 -1923.92241     (-137.186,-492.775) (-1885.547,-1072.866) (-68.180,-1786.737)      1218.82  1233.49  
1    591.49586 -798.75416 -1449.43369 -87.35057 -2195.64911 -2652.93182     (-591.496,-678.846) (-207.258,-857.938) (-1604.153,-2061.436)     114.40266 -2013.68508 -1201.67028 -362.75878 -205.18126 -1897.90917     (-114.403,-477.161) (-1899.282,-1087.268) (-90.779,-1783.507)      1215.71  1233.3  
2    568.71269 -789.70648 -1441.05254 -94.52031 -2195.46495 -2626.91858     (-568.713,-663.233) (-220.994,-872.340) (-1626.752,-2058.206)      91.61949 -2004.63739 -1193.28912 -369.92852 -204.99710 -1871.89594     (-91.619,-461.548) (-1913.018,-1101.670) (-113.378,-1780.276)      1213.96  1234.48  
3    545.92952 -780.65879 -1432.67139 -101.69005 -2195.28079 -2600.90534     (-545.930,-647.620) (-234.729,-886.742) (-1649.351,-2054.976)      68.83632 -1995.58971 -1184.90797 -377.09826 -204.81294 -1845.88270     (-68.836,-445.935) (-1926.753,-1116.072) (-135.977,-1777.046)      1213.6  1237.01  
4    523.14635 -771.61111 -1424.29023 -108.85979 -2195.09663 -2574.89210     (-523.146,-632.006) (-248.465,-901.144) (-1671.950,-2051.746)      46.05315 -1986.54203 -1176.52682 -384.26799 -204.62878 -1819.86946     (-46.053,-430.321) (-1940.489,-1130.474) (-158.576,-1773.816)      1214.63  1240.89  
5    500.36318 -762.56343 -1415.90908 -116.02953 -2194.91247 -2548.87886     (-500.363,-616.393) (-262.200,-915.546) (-1694.549,-2048.516)      23.26998 -1977.49434 -1168.14566 -391.43773 -204.44462 -1793.85622     (-23.270,-414.708) (-1954.224,-1144.876) (-181.175,-1770.586)      1217.03  1246.11  
6    477.58001 -753.51574 -1407.52793 -123.19926 -2194.72831 -2522.86562     (-477.580,-600.779) (-275.936,-929.948) (-1717.148,-2045.286)       0.48681 -1968.44666 -1159.76451 -398.60747 -204.26046 -1767.84298     (-0.487,-399.094) (-1967.960,-1159.278) (-203.774,-1767.356)      1220.81  1252.65  
7    454.79684 -744.46806 -1399.14677 -130.36900 -2194.54415 -2496.85238     (-454.797,-585.166) (-289.671,-944.350) (-1739.747,-2042.056)     -22.29636 -1959.39898 -1151.38336 -405.77721 -204.07630 -1741.82974     (-22.296,-405.777) (-1959.399,-204.076) (-1151.383,-1741.830)      1249.15  1258.79  
8    432.01367 -735.42038 -1390.76562 -137.53874 -2194.35999 -2470.83914     (-432.014,-569.552) (-303.407,-958.752) (-1762.346,-2038.825)     -45.07953 -1950.35130 -1143.00220 -412.94695 -203.89214 -1715.81650     (-45.080,-412.947) (-1950.351,-203.892) (-1143.002,-1715.817)      1246.53  1265.4  
9    409.23050 -726.37269 -1382.38447 -144.70848 -2194.17583 -2444.82590     (-409.231,-553.939) (-317.142,-973.154) (-1784.945,-2035.595)     -67.86270 -1941.30361 -1134.62105 -420.11669 -203.70798 -1689.80326     (-67.863,-420.117) (-1941.304,-203.708) (-1134.621,-1689.803)      1231.56  1272.53  
