PointDistanceFollower   Jun 17 2018   mode =  LINE3 
LINE3_RAND_20%_.49_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist  distance between 
Compute times (msec)     S6Dist   56   CS6Dist  2
PointDistanceFollower  Jun 17 2018  mode = LINE3
LINE3_RAND_20%_.49_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
0     91.49700 -185.06724 -2719.42665 784.24765 -3306.25228 -878.57471     (-93.570,-1335.999) (-185.067,-1922.824) (-599.180,-693.507)     -3210.50341 1619.04628 -3540.46622 -1699.10804 359.10699 -2019.22374     (-400.177,-80.062) (-1619.046,-1259.939) (-1921.420,-1591.457)      1958.16  1682.44  
1     62.89704 -184.41003 -2705.04423 761.87042 -3265.98221 -915.90843     (-121.513,-1365.713) (-184.410,-1926.651) (-577.460,-731.498)     -3239.10338 1619.70349 -3526.08380 -1721.48527 399.37706 -2056.55747     (-436.854,-101.782) (-1619.703,-1220.326) (-1906.380,-1619.400)      1945.29  1662.17  
2     34.29707 -183.75283 -2690.66182 739.49318 -3225.71213 -953.24216     (-149.456,-1395.428) (-183.753,-1930.479) (-555.740,-769.489)     -3267.70335 1620.36070 -3511.70138 -1743.86251 439.64713 -2093.89119     (-473.530,-123.502) (-1620.361,-1180.714) (-1891.341,-1647.343)      1932.84  1644.48  
3      5.69710 -183.09562 -2676.27940 717.11595 -3185.44206 -990.57588     (-177.399,-1425.143) (-183.096,-1934.306) (-534.020,-807.480)     -3296.30332 1621.01791 -3497.31897 -1766.23974 479.91721 -2131.22492     (-510.207,-145.222) (-1621.018,-1141.101) (-1876.301,-1675.285)      1913.94  1629.44  
4    -22.90287 -182.43841 -2661.89698 694.73872 -3145.17199 -1027.90961     (-205.341,-1454.858) (-182.438,-1938.133) (-512.300,-845.471)     -3324.90329 1621.67512 -3482.93655 -1788.61697 520.18728 -2168.55864     (-546.884,-166.942) (-1621.675,-1101.488) (-1861.261,-1703.228)      1897.16  1617.14  
5    -51.50284 -181.78120 -2647.51457 672.36149 -3104.90192 -1065.24333     (-233.284,-1484.573) (-181.781,-1941.960) (-490.580,-883.462)     -3353.50326 1622.33232 -3468.55413 -1810.99420 560.45735 -2205.89237     (-583.560,-188.662) (-1622.332,-1061.875) (-1846.222,-1731.171)      1581.11  1607.65     glitch
6    -80.10281 -181.12399 -2633.13215 649.98426 -3064.63184 -1102.57706     (-261.227,-1514.288) (-181.124,-1945.787) (-468.860,-921.453)     -3382.10323 1622.98953 -3454.17172 -1833.37143 600.72742 -2243.22609     (-620.237,-210.382) (-1622.990,-1022.262) (-1831.182,-1759.114)      1572.4  1601.01  
7    -108.70278 -180.46678 -2618.74973 627.60703 -3024.36177 -1139.91078     (-289.170,-1544.002) (-180.467,-1949.615) (-447.140,-959.444)     -3410.70319 1623.64674 -3439.78930 -1855.74866 640.99750 -2280.55982     (-656.913,-232.102) (-1623.647,-982.649) (-1816.143,-1787.056)      1566.45  1597.27  
8    -137.30275 -179.80957 -2604.36732 605.22979 -2984.09170 -1177.24451     (-317.112,-1573.717) (-179.810,-1953.442) (-425.420,-997.435)     -3439.30316 1624.30395 -3425.40688 -1878.12589 681.26757 -2317.89354     (-693.590,-253.822) (-1624.304,-943.036) (-1801.103,-1814.999)      1563.29  1596.45  
9    -165.90271 -179.15236 -2589.98490 582.85256 -2943.82163 -1214.57823     (-345.055,-1603.432) (-179.152,-1957.269) (-403.700,-1035.426)     -3467.90313 1624.96116 -3411.02447 -1900.50313 721.53764 -2355.22727     (-730.266,-275.542) (-1624.961,-903.424) (-1786.063,-1842.942)      1562.94  1598.54  
10    -194.50268 -178.49516 -2575.60248 560.47533 -2903.55155 -1251.91196     (-372.998,-1633.147) (-178.495,-1961.096) (-381.980,-1073.417)     -3496.50310 1625.61837 -3396.64205 -1922.88036 761.80771 -2392.56099     (-766.943,-297.262) (-1625.618,-863.811) (-1771.024,-1870.885)      1565.39  1603.55  
11    -223.10265 -177.83795 -2561.22007 538.09810 -2863.28148 -1289.24568     (-400.941,-1662.862) (-177.838,-1964.923) (-360.260,-1111.408)     -3525.10307 1626.27558 -3382.25963 -1945.25759 802.07779 -2429.89472     (-803.619,-318.982) (-1626.276,-824.198) (-1755.984,-1898.827)      1570.64  1611.44  
12    -251.70262 -177.18074 -2546.83765 515.72087 -2823.01141 -1326.57941     (-428.883,-1692.577) (-177.181,-1968.750) (-338.540,-1149.399)     -3553.70304 1626.93279 -3367.87722 -1967.63482 842.34786 -2467.22844     (-840.296,-340.702) (-1626.933,-784.585) (-1740.944,-1926.770)      1564.95  1608  
13    -280.30259 -176.52353 -2532.45523 493.34364 -2782.74134 -1363.91313     (-456.826,-1722.291) (-176.524,-1972.578) (-316.820,-1187.390)     -3582.30301 1627.58999 -3353.49480 -1990.01205 882.61793 -2504.56217     (-876.972,-362.422) (-1627.590,-744.972) (-1725.905,-1954.713)      1545.91  1590.79  
