PointDistanceFollower   Jun 17 2018   mode =  LINE3 
LINE3_RAND_20%_.92_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist  distance between 
Compute times (msec)     S6Dist   62   CS6Dist  3
PointDistanceFollower  Jun 17 2018  mode = LINE3
LINE3_RAND_20%_.92_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
0    -1161.67698 -2030.27200 -236.71600 -1205.43340 -1184.22078 518.97959     (-1511.292,-686.454) (-642.697,-665.241) (-755.696,-518.980)     -3135.23753 763.46609 -3061.12158 -3277.90062 1457.95646 -2410.15693     (-1603.165,-1819.944) (-694.490,-1457.956) (-1677.281,-952.200)      1616.26  1616.26  
1    -1171.21081 -2013.65151 -253.62701 -1206.56272 -1171.14571 512.32223     (-1501.329,-694.240) (-658.889,-658.823) (-765.949,-512.322)     -3144.77136 780.08658 -3078.03259 -3279.02994 1471.03153 -2416.81429     (-1607.001,-1807.998) (-690.945,-1471.032) (-1673.740,-945.783)      1618.17  1618.17  
2    -1180.74464 -1997.03101 -270.53802 -1207.69204 -1158.07064 505.66487     (-1491.366,-702.027) (-675.080,-652.406) (-776.203,-505.665)     -3154.30519 796.70708 -3094.94360 -3280.15926 1484.10660 -2423.47165     (-1610.837,-1796.053) (-687.400,-1484.107) (-1670.199,-939.365)      1620.32  1620.32  
3    -1190.27846 -1980.41052 -287.44903 -1208.82136 -1144.99557 499.00751     (-1481.403,-709.814) (-691.271,-645.988) (-786.457,-499.008)     -3163.83901 813.32757 -3111.85461 -3281.28857 1497.18167 -2430.12901     (-1614.673,-1784.107) (-683.854,-1497.182) (-1666.657,-932.947)      1622.7  1622.7  
4    -1199.81229 -1963.79003 -304.36004 -1209.95067 -1131.92050 492.35015     (-1471.440,-717.601) (-707.462,-639.570) (-796.710,-492.350)     -3173.37284 829.94806 -3128.76561 -3282.41789 1510.25674 -2436.78638     (-1618.509,-1772.161) (-680.309,-1510.257) (-1663.116,-926.530)      1625.33  1625.33  
5    -1209.34612 -1947.16953 -321.27105 -1211.07999 -1118.84543 485.69279     (-1461.477,-725.387) (-723.653,-633.153) (-806.964,-485.693)     -3182.90667 846.56856 -3145.67662 -3283.54721 1523.33181 -2443.44374     (-1622.345,-1760.215) (-676.763,-1523.332) (-1659.575,-920.112)      1628.19  1628.19  
6    -1218.87994 -1930.54904 -338.18206 -1212.20931 -1105.77036 479.03543     (-1451.514,-733.174) (-739.845,-626.735) (-817.217,-479.035)     -3192.44049 863.18905 -3162.58763 -3284.67652 1536.40688 -2450.10110     (-1626.181,-1748.270) (-673.218,-1536.407) (-1656.034,-913.694)      1631.3  1631.3  
7    -1228.41377 -1913.92854 -355.09307 -1213.33862 -1092.69529 472.37807     (-1441.550,-740.961) (-756.036,-620.317) (-827.471,-472.378)     -3201.97432 879.80955 -3179.49864 -3285.80584 1549.48195 -2456.75846     (-1630.017,-1736.324) (-669.672,-1549.482) (-1652.492,-907.277)      1634.63  1634.63  
8    -1237.94760 -1897.30805 -372.00407 -1214.46794 -1079.62022 465.72071     (-1431.587,-748.747) (-772.227,-613.900) (-837.725,-465.721)     -3211.50815 896.43004 -3196.40965 -3286.93516 1562.55702 -2463.41582     (-1633.853,-1724.378) (-666.127,-1562.557) (-1648.951,-900.859)      1638.2  1638.2  
9    -1247.48142 -1880.68755 -388.91508 -1215.59726 -1066.54516 459.06335     (-1421.624,-756.534) (-788.418,-607.482) (-847.978,-459.063)     -3221.04197 913.05054 -3213.32066 -3288.06447 1575.63209 -2470.07318     (-1637.689,-1712.432) (-662.582,-1575.632) (-1645.410,-894.441)      1642.01  1642.01  
10    -1257.01525 -1864.06706 -405.82609 -1216.72657 -1053.47009 452.40598     (-1411.661,-764.321) (-804.609,-601.064) (-858.232,-452.406)     -3230.57580 929.67103 -3230.23167 -3289.19379 1588.70716 -2476.73054     (-1641.525,-1700.487) (-659.036,-1588.707) (-1641.869,-888.023)      1646.04  1646.04  
11    -1266.54908 -1847.44657 -422.73710 -1217.85589 -1040.39502 445.74862     (-1401.698,-772.107) (-820.800,-594.646) (-868.486,-445.749)     -3240.10962 946.29152 -3247.14268 -3290.32311 1601.78223 -2483.38790     (-1645.360,-1688.541) (-655.491,-1601.782) (-1638.327,-881.606)      1650.31  1650.31  
12    -1276.08290 -1830.82607 -439.64811 -1218.98521 -1027.31995 439.09126     (-1391.735,-779.894) (-836.992,-588.229) (-878.739,-439.091)     -3249.64345 962.91202 -3264.05368 -3291.45243 1614.85729 -2490.04526     (-1649.196,-1676.595) (-651.945,-1614.857) (-1634.786,-875.188)      1654.8  1654.8  
13    -1285.61673 -1814.20558 -456.55912 -1220.11453 -1014.24488 432.43390     (-1381.772,-787.681) (-853.183,-581.811) (-888.993,-432.434)     -3259.17728 979.53251 -3280.96469 -3292.58174 1627.93236 -2496.70262     (-1653.032,-1664.649) (-648.400,-1627.932) (-1631.245,-868.770)      1654.92  1654.92  
14    -1295.15055 -1797.58508 -473.47013 -1221.24384 -1001.16981 425.77654     (-1371.809,-795.467) (-869.374,-575.393) (-899.247,-425.777)     -3268.71110 996.15301 -3297.87570 -3293.71106 1641.00743 -2503.35998     (-1656.868,-1652.704) (-644.854,-1641.007) (-1627.704,-862.353)      1651.98  1651.98  
15    -1304.68438 -1780.96459 -490.38114 -1222.37316 -988.09474 419.11918     (-1361.845,-803.254) (-885.565,-568.976) (-909.500,-419.119)     -3278.24493 1012.77350 -3314.78671 -3294.84038 1654.08250 -2510.01734     (-1660.704,-1640.758) (-641.309,-1654.083) (-1624.162,-855.935)      1649.27  1649.27  
16    -1314.21821 -1764.34409 -507.29214 -1223.50248 -975.01967 412.46182     (-1351.882,-811.041) (-901.756,-562.558) (-919.754,-412.462)     -3287.77876 1029.39400 -3331.69772 -3295.96969 1667.15757 -2516.67470     (-1664.540,-1628.812) (-637.764,-1667.158) (-1620.621,-849.517)      1646.79  1646.79  
17    -1323.75203 -1747.72360 -524.20315 -1224.63179 -961.94460 405.80446     (-1341.919,-818.827) (-917.948,-556.140) (-930.008,-405.804)     -3297.31258 1046.01449 -3348.60873 -3297.09901 1680.23264 -2523.33206     (-1668.376,-1616.866) (-634.218,-1680.233) (-1617.080,-843.099)      1644.55  1644.55  
18    -1333.28586 -1731.10310 -541.11416 -1225.76111 -948.86953 399.14710     (-1331.956,-826.614) (-934.139,-549.722) (-940.261,-399.147)     -3306.84641 1062.63499 -3365.51974 -3298.22833 1693.30771 -2529.98943     (-1672.212,-1604.921) (-630.673,-1693.308) (-1613.539,-836.682)      1642.55  1642.55  
19    -1342.81969 -1714.48261 -558.02517 -1226.89043 -935.79446 392.48974     (-1321.993,-834.401) (-950.330,-543.305) (-950.515,-392.490)     -3316.38024 1079.25548 -3382.43075 -3299.35764 1706.38278 -2536.64679     (-1676.048,-1592.975) (-627.127,-1706.383) (-1609.997,-830.264)      1640.78  1640.78  
20    -1352.35351 -1697.86212 -574.93618 -1228.01975 -922.71939 385.83238     (-1312.030,-842.187) (-966.521,-536.887) (-960.769,-385.832)     -3325.91406 1095.87597 -3399.34175 -3300.48696 1719.45785 -2543.30415     (-1679.884,-1581.029) (-623.582,-1719.458) (-1606.456,-823.846)      1639.26  1639.26  
21    -1361.88734 -1681.24162 -591.84719 -1229.14906 -909.64432 379.17502     (-1302.067,-849.974) (-982.712,-530.469) (-971.022,-379.175)     -3335.44789 1112.49647 -3416.25276 -3301.61628 1732.53292 -2549.96151     (-1683.720,-1569.083) (-620.036,-1732.533) (-1602.915,-817.429)      1637.97  1637.97  
22    -1371.42117 -1664.62113 -608.75820 -1230.27838 -896.56926 372.51766     (-1292.103,-857.761) (-998.904,-524.052) (-981.276,-372.518)     -3344.98172 1129.11696 -3433.16377 -3302.74560 1745.60799 -2556.61887     (-1687.556,-1557.138) (-616.491,-1745.608) (-1599.374,-811.011)      1636.93  1636.93  
23    -1380.95499 -1648.00063 -625.66921 -1231.40770 -883.49419 365.86030     (-1282.140,-865.547) (-1015.095,-517.634) (-991.530,-365.860)     -3354.51554 1145.73746 -3450.07478 -3303.87491 1758.68306 -2563.27623     (-1691.392,-1545.192) (-612.946,-1758.683) (-1595.832,-804.593)      1636.12  1636.12  
24    -1390.48882 -1631.38014 -642.58021 -1232.53701 -870.41912 359.20293     (-1272.177,-873.334) (-1031.286,-511.216) (-1001.783,-359.203)     -3364.04937 1162.35795 -3466.98579 -3305.00423 1771.75813 -2569.93359     (-1695.228,-1533.246) (-609.400,-1771.758) (-1592.291,-798.175)      1635.56  1635.56  
25    -1400.02265 -1614.75964 -659.49122 -1233.66633 -857.34405 352.54557     (-1262.214,-881.121) (-1047.477,-504.798) (-1012.037,-352.546)     -3373.58320 1178.97845 -3483.89680 -3306.13355 1784.83319 -2576.59095     (-1699.064,-1521.300) (-605.855,-1784.833) (-1588.750,-791.758)      1635.23  1635.23  
26    -1409.55647 -1598.13915 -676.40223 -1234.79565 -844.26898 345.88821     (-1252.251,-888.907) (-1063.668,-498.381) (-1022.290,-345.888)     -3383.11702 1195.59894 -3500.80781 -3307.26286 1797.90826 -2583.24831     (-1702.900,-1509.355) (-602.309,-1797.908) (-1585.209,-785.340)      1635.15  1635.15  
27    -1419.09030 -1581.51866 -693.31324 -1235.92496 -831.19391 339.23085     (-1242.288,-896.694) (-1079.859,-491.963) (-1032.544,-339.231)     -3392.65085 1212.21943 -3517.71882 -3308.39218 1810.98333 -2589.90567     (-1706.735,-1497.409) (-598.764,-1810.983) (-1581.668,-778.922)      1631.73  1631.73  
28    -1428.62413 -1564.89816 -710.22425 -1237.05428 -818.11884 332.57349     (-1232.325,-904.481) (-1096.051,-485.545) (-1042.798,-332.573)     -3402.18468 1228.83993 -3534.62983 -3309.52150 1824.05840 -2596.56303     (-1710.571,-1485.463) (-595.218,-1824.058) (-1578.126,-772.505)      1627.82  1627.82  
29    -1438.15795 -1548.27767 -727.13526 -1238.18360 -805.04377 325.91613     (-1222.362,-912.267) (-1112.242,-479.128) (-1053.051,-325.916)     -3411.71850 1245.46042 -3551.54083 -3310.65082 1837.13347 -2603.22039     (-1714.407,-1473.517) (-591.673,-1837.133) (-1574.585,-766.087)      1624.13  1624.13  
