10PERCENT_2018-03-07.11_27_23.681_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -12.40379   4.36465 -17.26632   5.92537 -57.41499   0.19970       (-3.114,-3.314) (-2.612,-42.251) (-1.051,-0.361)      8.88178e-16
1    -12.39174   4.35766 -17.25235   5.91838 -57.39981   0.19639       (-3.103,-3.300) (-2.619,-42.263) (-1.058,-0.377)      0.0286492
2    -12.37968   4.35068 -17.23839   5.91140 -57.38463   0.19307       (-3.093,-3.286) (-2.626,-42.276) (-1.065,-0.393)      0.0572985
3    -12.36763   4.34370 -17.22442   5.90442 -57.36945   0.18975       (-3.082,-3.272) (-2.633,-42.289) (-1.072,-0.408)      0.0859477
4    -12.35557   4.33671 -17.21045   5.89743 -57.35427   0.18644       (-3.071,-3.258) (-2.640,-42.302) (-1.079,-0.424)      0.114597
5    -12.34352   4.32973 -17.19649   5.89045 -57.33909   0.18312       (-3.061,-3.244) (-2.647,-42.314) (-1.086,-0.440)      0.143246
6    -12.33146   4.32275 -17.18252   5.88347 -57.32391   0.17980       (-3.050,-3.230) (-2.654,-42.327) (-1.093,-0.456)      0.171895
7    -12.31941   4.31576 -17.16855   5.87648 -57.30873   0.17649       (-3.039,-3.216) (-2.661,-42.340) (-1.100,-0.472)      0.200545
8    -12.30735   4.30878 -17.15459   5.86950 -57.29355   0.17317       (-3.029,-3.202) (-2.668,-42.353) (-1.107,-0.488)      0.229194
9    -12.29530   4.30180 -17.14062   5.86252 -57.27837   0.16985       (-3.018,-3.188) (-2.675,-42.365) (-1.114,-0.504)      0.257843
10    -12.28324   4.29482 -17.12665   5.85553 -57.26319   0.16653       (-3.008,-3.174) (-2.681,-42.378) (-1.121,-0.520)      0.286492
11    -12.27119   4.28783 -17.11269   5.84855 -57.24801   0.16322       (-2.997,-3.160) (-2.688,-42.391) (-1.128,-0.535)      0.315142
12    -12.25913   4.28085 -17.09872   5.84157 -57.23284   0.15990       (-2.986,-3.146) (-2.695,-42.404) (-1.135,-0.551)      0.343791
13    -12.24708   4.27387 -17.08476   5.83458 -57.21766   0.15658       (-2.976,-3.132) (-2.702,-42.416) (-1.142,-0.567)      0.37244
14    -12.23502   4.26688 -17.07079   5.82760 -57.20248   0.15327       (-2.965,-3.118) (-2.709,-42.429) (-1.149,-0.583)      0.401089
15    -12.22297   4.25990 -17.05682   5.82062 -57.18730   0.14995       (-2.954,-3.104) (-2.716,-42.442) (-1.156,-0.599)      0.429738
16    -12.21091   4.25292 -17.04286   5.81363 -57.17212   0.14663       (-2.944,-3.090) (-2.723,-42.455) (-1.163,-0.615)      0.458388
17    -12.19886   4.24593 -17.02889   5.80665 -57.15694   0.14332       (-2.933,-3.076) (-2.730,-42.467) (-1.170,-0.631)      0.487037
18    -12.18680   4.23895 -17.01492   5.79967 -57.14176   0.14000       (-2.922,-3.062) (-2.737,-42.480) (-1.177,-0.647)      0.515686
19    -12.17475   4.23197 -17.00096   5.79268 -57.12658   0.13668       (-2.912,-3.048) (-2.744,-42.493) (-1.184,-0.662)      0.544335
20    -12.16269   4.22498 -16.98699   5.78570 -57.11140   0.13336       (-2.901,-3.034) (-2.751,-42.506) (-1.191,-0.678)      0.572985
21    -12.15064   4.21800 -16.97302   5.77872 -57.09622   0.13005       (-2.890,-3.020) (-2.758,-42.518) (-1.198,-0.694)      0.601634
22    -12.13858   4.21102 -16.95906   5.77173 -57.08104   0.12673       (-2.880,-3.006) (-2.765,-42.531) (-1.205,-0.710)      0.630283
23    -12.12653   4.20403 -16.94509   5.76475 -57.06586   0.12341       (-2.869,-2.992) (-2.772,-42.544) (-1.212,-0.726)      0.658932
24    -12.11447   4.19705 -16.93112   5.75777 -57.05068   0.12010       (-2.858,-2.979) (-2.779,-42.557) (-1.219,-0.742)      0.687581
25    -12.10242   4.19007 -16.91716   5.75078 -57.03550   0.11678       (-2.848,-2.965) (-2.786,-42.569) (-1.226,-0.758)      0.716231
26    -12.09036   4.18308 -16.90319   5.74380 -57.02032   0.11346       (-2.837,-2.951) (-2.793,-42.582) (-1.233,-0.774)      0.74488
27    -12.07831   4.17610 -16.88922   5.73682 -57.00514   0.11015       (-2.826,-2.937) (-2.800,-42.595) (-1.239,-0.789)      0.773529
