2BOUNDS_2018-03-07.14_40_56.526_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -46.16680 -19.56127   7.21373 -40.08309   2.22923 -50.49370       (-2.229,-5.134) (-40.083,-27.281) (-7.214,-46.035)      2.75335e-14
1    -46.12282 -19.58182   7.19929 -40.04810   2.19969 -50.48923       (-2.200,-5.183) (-40.048,-27.325) (-7.199,-46.090)      0.0983124
2    -46.07883 -19.60236   7.18484 -40.01312   2.17015 -50.48477       (-2.170,-5.233) (-40.013,-27.369) (-7.185,-46.144)      0.196625
3    -46.03485 -19.62290   7.17040 -39.97813   2.14061 -50.48031       (-2.141,-5.282) (-39.978,-27.413) (-7.170,-46.199)      0.294937
4    -45.99087 -19.64344   7.15596 -39.94315   2.11107 -50.47584       (-2.111,-5.332) (-39.943,-27.457) (-7.156,-46.254)      0.39325
5    -45.94689 -19.66399   7.14152 -39.90816   2.08153 -50.47138       (-2.082,-5.381) (-39.908,-27.501) (-7.142,-46.308)      0.491562
6    -45.90291 -19.68453   7.12708 -39.87318   2.05199 -50.46692       (-2.052,-5.430) (-39.873,-27.545) (-7.127,-46.363)      0.589874
7    -45.85893 -19.70507   7.11263 -39.83820   2.02245 -50.46245       (-2.022,-5.480) (-39.838,-27.589) (-7.113,-46.418)      0.688187
8    -45.81495 -19.72561   7.09819 -39.80321   1.99291 -50.45799       (-1.993,-5.529) (-39.803,-27.633) (-7.098,-46.472)      0.786499
9    -45.77096 -19.74616   7.08375 -39.76823   1.96337 -50.45353       (-1.963,-5.579) (-39.768,-27.677) (-7.084,-46.527)      0.884812
10    -45.72698 -19.76670   7.06931 -39.73324   1.93383 -50.44907       (-1.934,-5.628) (-39.733,-27.721) (-7.069,-46.581)      0.983124
11    -45.68300 -19.78724   7.05487 -39.69826   1.90429 -50.44460       (-1.904,-5.678) (-39.698,-27.765) (-7.055,-46.636)      1.08144
12    -45.63902 -19.80778   7.04042 -39.66327   1.87475 -50.44014       (-1.875,-5.727) (-39.663,-27.809) (-7.040,-46.691)      1.17975
13    -45.59504 -19.82833   7.02598 -39.62829   1.84521 -50.43568       (-1.845,-5.776) (-39.628,-27.853) (-7.026,-46.745)      1.27806
14    -45.55106 -19.84887   7.01154 -39.59331   1.81567 -50.43121       (-1.816,-5.826) (-39.593,-27.897) (-7.012,-46.800)      1.37637
15    -45.50707 -19.86941   6.99710 -39.55832   1.78613 -50.42675       (-1.786,-5.875) (-39.558,-27.941) (-6.997,-46.854)      1.47469
16    -45.46309 -19.88995   6.98266 -39.52334   1.75659 -50.42229       (-1.757,-5.925) (-39.523,-27.985) (-6.983,-46.909)      1.573
17    -45.41911 -19.91049   6.96822 -39.48835   1.72705 -50.41783       (-1.727,-5.974) (-39.488,-28.029) (-6.968,-46.964)      1.67131
18    -45.37513 -19.93104   6.95377 -39.45337   1.69751 -50.41336       (-1.698,-6.023) (-39.453,-28.073) (-6.954,-47.018)      1.76962
19    -45.33115 -19.95158   6.93933 -39.41838   1.66797 -50.40890       (-1.668,-6.073) (-39.418,-28.117) (-6.939,-47.073)      1.86794
20    -45.28717 -19.97212   6.92489 -39.38340   1.63843 -50.40444       (-1.638,-6.122) (-39.383,-28.161) (-6.925,-47.128)      1.96625
21    -45.24319 -19.99266   6.91045 -39.34842   1.60890 -50.39997       (-1.609,-6.172) (-39.348,-28.204) (-6.910,-47.182)      2.06456
22    -45.19920 -20.01321   6.89601 -39.31343   1.57936 -50.39551       (-1.579,-6.221) (-39.313,-28.248) (-6.896,-47.237)      2.16287
23    -45.15522 -20.03375   6.88156 -39.27845   1.54982 -50.39105       (-1.550,-6.271) (-39.278,-28.292) (-6.882,-47.291)      2.26119
24    -45.11124 -20.05429   6.86712 -39.24346   1.52028 -50.38659       (-1.520,-6.320) (-39.243,-28.336) (-6.867,-47.346)      2.3595
25    -45.06726 -20.07483   6.85268 -39.20848   1.49074 -50.38212       (-1.491,-6.369) (-39.208,-28.380) (-6.853,-47.401)      2.45781
26    -45.02328 -20.09538   6.83824 -39.17350   1.46120 -50.37766       (-1.461,-6.419) (-39.173,-28.424) (-6.838,-47.455)      2.55612
27    -44.97930 -20.11592   6.82380 -39.13851   1.43166 -50.37320       (-1.432,-6.468) (-39.139,-28.468) (-6.824,-47.510)      2.65443
28    -44.93531 -20.13646   6.80935 -39.10353   1.40212 -50.36873       (-1.402,-6.518) (-39.104,-28.512) (-6.809,-47.564)      2.75275
29    -44.89133 -20.15700   6.79491 -39.06854   1.37258 -50.36427       (-1.373,-6.567) (-39.069,-28.556) (-6.795,-47.619)      2.85106
30    -44.84735 -20.17755   6.78047 -39.03356   1.34304 -50.35981       (-1.343,-6.617) (-39.034,-28.600) (-6.780,-47.674)      2.94937
31    -44.80337 -20.19809   6.76603 -38.99857   1.31350 -50.35534       (-1.313,-6.666) (-38.999,-28.644) (-6.766,-47.728)      3.04768
32    -44.75939 -20.21863   6.75159 -38.96359   1.28396 -50.35088       (-1.284,-6.715) (-38.964,-28.688) (-6.752,-47.783)      3.146
33    -44.71541 -20.23917   6.73714 -38.92861   1.25442 -50.34642       (-1.254,-6.765) (-38.929,-28.732) (-6.737,-47.838)      3.24431
34    -44.67142 -20.25971   6.72270 -38.89362   1.22488 -50.34196       (-1.225,-6.814) (-38.894,-28.776) (-6.723,-47.892)      3.34262
35    -44.62744 -20.28026   6.70826 -38.85864   1.19534 -50.33749       (-1.195,-6.864) (-38.859,-28.820) (-6.708,-47.947)      3.44093
36    -44.58346 -20.30080   6.69382 -38.82365   1.16580 -50.33303       (-1.166,-6.913) (-38.824,-28.864) (-6.694,-48.001)      3.53925
37    -44.53948 -20.32134   6.67938 -38.78867   1.13626 -50.32857       (-1.136,-6.963) (-38.789,-28.908) (-6.679,-48.056)      3.63756
38    -44.49550 -20.34188   6.66494 -38.75368   1.10672 -50.32410       (-1.107,-7.012) (-38.754,-28.952) (-6.665,-48.111)      3.73587
39    -44.45152 -20.36243   6.65049 -38.71870   1.07718 -50.31964       (-1.077,-7.061) (-38.719,-28.996) (-6.650,-48.165)      3.83418
40    -44.40754 -20.38297   6.63605 -38.68372   1.04764 -50.31518       (-1.048,-7.111) (-38.684,-29.040) (-6.636,-48.220)      3.9325
41    -44.36355 -20.40351   6.62161 -38.64873   1.01810 -50.31072       (-1.018,-7.160) (-38.649,-29.084) (-6.622,-48.275)      4.03081
42    -44.31957 -20.42405   6.60717 -38.61375   0.98856 -50.30625       (-0.989,-7.210) (-38.614,-29.128) (-6.607,-48.329)      4.12912
43    -44.27559 -20.44460   6.59273 -38.57876   0.95902 -50.30179       (-0.959,-7.259) (-38.579,-29.172) (-6.593,-48.384)      4.22743
44    -44.23161 -20.46514   6.57828 -38.54378   0.92948 -50.29733       (-0.929,-7.309) (-38.544,-29.216) (-6.578,-48.438)      4.32575
45    -44.18763 -20.48568   6.56384 -38.50879   0.89994 -50.29286       (-0.900,-7.358) (-38.509,-29.260) (-6.564,-48.493)      4.42406
46    -44.14365 -20.50622   6.54940 -38.47381   0.87040 -50.28840       (-0.870,-7.407) (-38.474,-29.304) (-6.549,-48.548)      4.52237
47    -44.09966 -20.52677   6.53496 -38.43883   0.84086 -50.28394       (-0.841,-7.457) (-38.439,-29.348) (-6.535,-48.602)      4.62068
48    -44.05568 -20.54731   6.52052 -38.40384   0.81132 -50.27948       (-0.811,-7.506) (-38.404,-29.392) (-6.521,-48.657)      4.719
49    -44.01170 -20.56785   6.50607 -38.36886   0.78178 -50.27501       (-0.782,-7.556) (-38.369,-29.436) (-6.506,-48.711)      4.81731
50    -43.96772 -20.58839   6.49163 -38.33387   0.75225 -50.27055       (-0.752,-7.605) (-38.334,-29.480) (-6.492,-48.766)      4.91562
51    -43.92374 -20.60893   6.47719 -38.29889   0.72271 -50.26609       (-0.723,-7.655) (-38.299,-29.524) (-6.477,-48.821)      5.01393
52    -43.87976 -20.62948   6.46275 -38.26390   0.69317 -50.26162       (-0.693,-7.704) (-38.264,-29.568) (-6.463,-48.875)      5.11224
53    -43.83578 -20.65002   6.44831 -38.22892   0.66363 -50.25716       (-0.664,-7.753) (-38.229,-29.612) (-6.448,-48.930)      5.21056
54    -43.79179 -20.67056   6.43387 -38.19394   0.63409 -50.25270       (-0.634,-7.803) (-38.194,-29.656) (-6.434,-48.985)      5.30505
55    -43.74781 -20.69110   6.41942 -38.15895   0.60455 -50.24823       (-0.605,-7.852) (-38.159,-29.700) (-6.419,-49.039)      5.35425
56    -43.70383 -20.71165   6.40498 -38.12397   0.57501 -50.24377       (-0.575,-7.902) (-38.124,-29.744) (-6.405,-49.094)      5.40479
57    -43.65985 -20.73219   6.39054 -38.08898   0.54547 -50.23931       (-0.545,-7.951) (-38.089,-29.788) (-6.391,-49.148)      5.45663
58    -43.61587 -20.75273   6.37610 -38.05400   0.51593 -50.23485       (-0.516,-8.001) (-38.054,-29.832) (-6.376,-49.203)      5.50974
59    -43.57189 -20.77327   6.36166 -38.01901   0.48639 -50.23038       (-0.486,-8.050) (-38.019,-29.876) (-6.362,-49.258)      5.56409
60    -43.52790 -20.79382   6.34721 -37.98403   0.45685 -50.22592       (-0.457,-8.099) (-37.984,-29.920) (-6.347,-49.312)      5.61962
61    -43.48392 -20.81436   6.33277 -37.94905   0.42731 -50.22146       (-0.427,-8.149) (-37.949,-29.964) (-6.333,-49.367)      5.67632
62    -43.43994 -20.83490   6.31833 -37.91406   0.39777 -50.21699       (-0.398,-8.198) (-37.914,-30.008) (-6.318,-49.421)      5.73414
63    -43.39596 -20.85544   6.30389 -37.87908   0.36823 -50.21253       (-0.368,-8.248) (-37.879,-30.052) (-6.304,-49.476)      5.79305
64    -43.35198 -20.87599   6.28945 -37.84409   0.33869 -50.20807       (-0.339,-8.297) (-37.844,-30.096) (-6.289,-49.531)      5.85302
65    -43.30800 -20.89653   6.27500 -37.80911   0.30915 -50.20361       (-0.309,-8.347) (-37.809,-30.140) (-6.275,-49.585)      5.91401
66    -43.26402 -20.91707   6.26056 -37.77413   0.27961 -50.19914       (-0.280,-8.396) (-37.774,-30.184) (-6.261,-49.640)      5.976
67    -43.22003 -20.93761   6.24612 -37.73914   0.25007 -50.19468       (-0.250,-8.445) (-37.739,-30.228) (-6.246,-49.695)      6.03896
68    -43.17605 -20.95815   6.23168 -37.70416   0.22053 -50.19022       (-0.221,-8.495) (-37.704,-30.272) (-6.232,-49.749)      6.10285
69    -43.13207 -20.97870   6.21724 -37.66917   0.19099 -50.18575       (-0.191,-8.544) (-37.669,-30.316) (-6.217,-49.804)      6.16765
70    -43.08809 -20.99924   6.20279 -37.63419   0.16145 -50.18129       (-0.161,-8.594) (-37.634,-30.360) (-6.203,-49.858)      6.23332
71    -43.04411 -21.01978   6.18835 -37.59920   0.13191 -50.17683       (-0.132,-8.643) (-37.599,-30.404) (-6.188,-49.913)      6.29984
72    -43.00013 -21.04032   6.17391 -37.56422   0.10237 -50.17237       (-0.102,-8.693) (-37.564,-30.448) (-6.174,-49.968)      6.36718
73    -42.95614 -21.06087   6.15947 -37.52924   0.07283 -50.16790       (-0.073,-8.742) (-37.529,-30.492) (-6.159,-50.022)      6.43533
74    -42.91216 -21.08141   6.14503 -37.49425   0.04329 -50.16344       (-0.043,-8.791) (-37.494,-30.536) (-6.145,-50.077)      6.50424
75    -42.86818 -21.10195   6.13059 -37.45927   0.01375 -50.15898       (-0.014,-8.841) (-37.459,-30.580) (-6.131,-50.131)      6.5739
76    -42.82420 -21.12249   6.11614 -37.42428  -0.01579 -50.15451       (-0.016,-8.906) (-37.408,-6.100) (-30.608,-50.170)      7.47187    *****
77    -42.78022 -21.14304   6.10170 -37.38930  -0.04533 -50.15005       (-0.045,-8.985) (-37.344,-6.056) (-30.622,-50.195)      7.57085
78    -42.73624 -21.16358   6.08726 -37.35431  -0.07487 -50.14559       (-0.075,-9.064) (-37.279,-6.012) (-30.637,-50.220)      7.67039
79    -42.69226 -21.18412   6.07282 -37.31933  -0.10440 -50.14112       (-0.104,-9.143) (-37.215,-5.968) (-30.651,-50.246)      7.77046
80    -42.64827 -21.20466   6.05838 -37.28435  -0.13394 -50.13666       (-0.134,-9.222) (-37.150,-5.924) (-30.665,-50.271)      7.87104
81    -42.60429 -21.22521   6.04393 -37.24936  -0.16348 -50.13220       (-0.163,-9.301) (-37.086,-5.880) (-30.680,-50.296)      7.97211
82    -42.56031 -21.24575   6.02949 -37.21438  -0.19302 -50.12774       (-0.193,-9.380) (-37.021,-5.836) (-30.694,-50.321)      8.07366
83    -42.51633 -21.26629   6.01505 -37.17939  -0.22256 -50.12327       (-0.223,-9.459) (-36.957,-5.792) (-30.709,-50.346)      8.17567
84    -42.47235 -21.28683   6.00061 -37.14441  -0.25210 -50.11881       (-0.252,-9.538) (-36.892,-5.749) (-30.723,-50.371)      8.27811
85    -42.42837 -21.30737   5.98617 -37.10942  -0.28164 -50.11435       (-0.282,-9.617) (-36.828,-5.705) (-30.738,-50.396)      8.38098
86    -42.38438 -21.32792   5.97172 -37.07444  -0.31118 -50.10988       (-0.311,-9.696) (-36.763,-5.661) (-30.752,-50.421)      8.48425
87    -42.34040 -21.34846   5.95728 -37.03946  -0.34072 -50.10542       (-0.341,-9.775) (-36.699,-5.617) (-30.767,-50.446)      8.58792
88    -42.29642 -21.36900   5.94284 -37.00447  -0.37026 -50.10096       (-0.370,-9.854) (-36.634,-5.573) (-30.781,-50.471)      8.69197
89    -42.25244 -21.38954   5.92840 -36.96949  -0.39980 -50.09650       (-0.400,-9.933) (-36.570,-5.529) (-30.795,-50.496)      8.79638
90    -42.20846 -21.41009   5.91396 -36.93450  -0.42934 -50.09203       (-0.429,-10.012) (-36.505,-5.485) (-30.810,-50.521)      8.90115
91    -42.16448 -21.43063   5.89951 -36.89952  -0.45888 -50.08757       (-0.459,-10.090) (-36.441,-5.441) (-30.824,-50.546)      9.00626
92    -42.12049 -21.45117   5.88507 -36.86453  -0.48842 -50.08311       (-0.488,-10.169) (-36.376,-5.397) (-30.839,-50.572)      9.11169
93    -42.07651 -21.47171   5.87063 -36.82955  -0.51796 -50.07864       (-0.518,-10.248) (-36.312,-5.353) (-30.853,-50.597)      9.21745
94    -42.03253 -21.49226   5.85619 -36.79457  -0.54750 -50.07418       (-0.547,-10.327) (-36.247,-5.309) (-30.868,-50.622)      9.32351
95    -41.98855 -21.51280   5.84175 -36.75958  -0.57704 -50.06972       (-0.577,-10.406) (-36.183,-5.265) (-30.882,-50.647)      9.42986
96    -41.94457 -21.53334   5.82731 -36.72460  -0.60658 -50.06526       (-0.607,-10.485) (-36.118,-5.221) (-30.897,-50.672)      9.53651
97    -41.90059 -21.55388   5.81286 -36.68961  -0.63612 -50.06079       (-0.636,-10.564) (-36.053,-5.177) (-30.911,-50.697)      9.64343
98    -41.85661 -21.57443   5.79842 -36.65463  -0.66566 -50.05633       (-0.666,-10.643) (-35.989,-5.133) (-30.925,-50.722)      9.75062
99    -41.81262 -21.59497   5.78398 -36.61964  -0.69520 -50.05187       (-0.695,-10.722) (-35.924,-5.089) (-30.940,-50.747)      9.85806
100    -41.76864 -21.61551   5.76954 -36.58466  -0.72474 -50.04740       (-0.725,-10.801) (-35.860,-5.045) (-30.954,-50.772)      9.96576
