Fol_.22_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -39.88307 326.47278 850.58478 -7522.33937 -1678.29212 -414.71021       (-18.006,-743.069) (-4364.008,-88.237) (-21.877,-84.638)      3.41061e-13
1    -39.86117 321.77761 849.71144 -7515.55332 -1676.70047 -414.37981       (-35.751,-760.296) (-4431.385,-92.602) (-4.110,-66.693)      76.2098
2    -39.83927 317.08243 848.83811 -7508.76726 -1675.10883 -414.04941       (-39.839,-4485.103) (-763.864,-83.309) (-13.658,-62.407)      131.735
3    -39.81737 312.38725 847.96477 -7501.98121 -1673.51718 -413.71900       (-39.817,-4534.711) (-763.323,-69.906) (-31.425,-62.230)      183.589
4    -39.79547 307.69208 847.09143 -7495.19515 -1671.92553 -413.38860       (-39.795,-4584.320) (-762.781,-56.504) (-49.193,-62.053)      232.402
5    -39.77358 302.99690 846.21810 -7488.40909 -1670.33389 -413.05820       (-39.774,-4633.928) (-762.240,-43.101) (-66.961,-61.876)      279.731
6    -39.75168 298.30172 845.34476 -7481.62304 -1668.74224 -412.72779       (-39.752,-4683.537) (-761.699,-29.698) (-84.728,-61.699)      324.929
7    -39.72978 293.60655 844.47143 -7474.83698 -1667.15059 -412.39739       (-39.730,-4733.145) (-761.157,-16.295) (-102.496,-61.522)      372.588
8    -39.70788 288.91137 843.59809 -7468.05093 -1665.55895 -412.06699       (-39.708,-4782.754) (-760.616,-2.892) (-120.263,-61.345)      421.875
9    -39.68598 284.21620 842.72476 -7461.26487 -1663.96730 -411.73659       (-127.520,-4821.852) (-770.585,-10.511) (-29.175,-50.658)      461.719
10    -39.66408 279.52102 841.85142 -7454.47881 -1662.37566 -411.40618       (-131.885,-4858.057) (-783.446,-23.913) (-15.751,-37.078)      499.954
11    -39.64218 274.82584 840.97809 -7447.69276 -1660.78401 -411.07578       (-136.250,-4894.263) (-796.308,-37.316) (-2.326,-23.498)      539.261
12    -39.62028 270.13067 840.10475 -7440.90670 -1659.19236 -410.74538       (-129.516,-798.070) (-4919.370,-39.620) (-11.099,-21.017)      564.586
13    -39.59838 265.43549 839.23141 -7434.12065 -1657.60072 -410.41498       (-120.456,-797.507) (-4942.151,-39.598) (-24.523,-20.862)      587.313
14    -39.57648 260.74031 838.35808 -7427.33459 -1656.00907 -410.08457       (-111.396,-796.944) (-4964.932,-39.576) (-37.948,-20.707)      610.474
15    -39.55458 256.04514 837.48474 -7420.54853 -1654.41742 -409.75417       (-102.336,-796.381) (-4987.712,-39.555) (-51.373,-20.552)      634.022
16    -39.53268 251.34996 836.61141 -7413.76248 -1652.82578 -409.42377       (-93.276,-795.817) (-5010.493,-39.533) (-64.798,-20.397)      657.916
17    -39.51078 246.65478 835.73807 -7406.97642 -1651.23413 -409.09337       (-84.216,-795.254) (-5033.274,-39.511) (-78.222,-20.242)      681.704
18    -39.48888 241.95961 834.86474 -7400.19037 -1649.64249 -408.76296       (-75.156,-794.691) (-5056.055,-39.489) (-91.647,-20.087)      703.393
19    -39.46698 237.26443 833.99140 -7393.40431 -1648.05084 -408.43256       (-66.096,-794.127) (-5078.836,-39.467) (-105.072,-19.932)      724.871
20    -39.44509 232.56925 833.11807 -7386.61825 -1646.45919 -408.10216       (-57.036,-793.564) (-5101.617,-39.445) (-118.497,-19.777)      746.779
21    -39.42319 227.87408 832.24473 -7379.83220 -1644.86755 -407.77175       (-47.976,-793.001) (-5124.398,-39.423) (-131.921,-19.622)      769.079
22    -39.40129 223.17890 831.37139 -7373.04614 -1643.27590 -407.44135       (-38.916,-792.438) (-5147.179,-39.401) (-145.346,-19.467)      791.738
23    -39.37939 218.48373 830.49806 -7366.26008 -1641.68425 -407.11095       (-29.857,-791.874) (-5169.960,-39.379) (-158.771,-19.312)      814.726
24    -39.35749 213.78855 829.62472 -7359.47403 -1640.09261 -406.78055       (-20.797,-791.311) (-5192.741,-39.357) (-172.195,-19.157)      838.017
25    -39.33559 209.09337 828.75139 -7352.68797 -1638.50096 -406.45014       (-11.737,-790.748) (-5215.522,-39.336) (-185.620,-19.002)      861.585
26    -39.31369 204.39820 827.87805 -7345.90192 -1636.90931 -406.11974       (-2.677,-790.184) (-5238.303,-39.314) (-199.045,-18.847)      885.409
27    -39.29179 199.70302 827.00472 -7339.11586 -1635.31767 -405.78934       (-6.383,-796.004) (-5254.700,-206.086) (-32.908,-12.308)      903.056
28    -39.26989 195.00784 826.13138 -7332.32980 -1633.72602 -405.45894       (-15.443,-804.501) (-5268.421,-210.451) (-23.827,-3.093)      918.331
29    -39.24799 190.31267 825.25805 -7325.54375 -1632.13438 -405.12853       (-5276.021,-806.876) (-18.382,-208.694) (-20.866,-6.121)      926.599
30    -39.22609 185.61749 824.38471 -7318.75769 -1630.54273 -404.79813       (-5280.527,-806.158) (-18.227,-203.844) (-20.999,-15.336)      931.314
31    -39.20419 180.92231 823.51137 -7311.97164 -1628.95108 -404.46773       (-5285.033,-805.440) (-18.072,-198.994) (-21.133,-24.551)      936.144
32    -39.18229 176.22714 822.63804 -7305.18558 -1627.35944 -404.13733       (-5289.539,-804.721) (-17.917,-194.144) (-21.266,-33.766)      941.086
33    -39.16039 171.53196 821.76470 -7298.39952 -1625.76779 -403.80692       (-5294.045,-804.003) (-17.762,-189.294) (-21.399,-42.981)      946.139
