Fol_2018-03-05.09_12_29.28_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -10.34754   2.28307   8.44124 -37.10085  -8.99513 -37.94828       (-7.765,-0.554) (-7.887,-10.170) (-2.460,-25.495)      0
1    -10.34495   2.27289   8.43033 -37.06427  -8.99630 -37.93582       (-7.793,-0.566) (-7.864,-10.137) (-2.481,-25.526)      0.0629744
2    -10.34237   2.26271   8.41942 -37.02769  -8.99748 -37.92335       (-7.822,-0.578) (-7.841,-10.104) (-2.501,-25.557)      0.125949
3    -10.33978   2.25253   8.40851 -36.99110  -8.99865 -37.91088       (-7.851,-0.590) (-7.818,-10.071) (-2.521,-25.587)      0.166651
4    -10.33720   2.24235   8.39759 -36.95452  -8.99983 -37.89842       (-7.879,-0.602) (-7.795,-10.038) (-2.542,-25.618)      0.207102
5    -10.33461   2.23216   8.38668 -36.91794  -9.00101 -37.88595       (-7.908,-0.614) (-7.772,-10.005) (-2.562,-25.649)      0.256791
6    -10.33203   2.22198   8.37577 -36.88135  -9.00218 -37.87349       (-7.936,-0.626) (-7.749,-9.971) (-2.583,-25.680)      0.311325
7    -10.32944   2.21180   8.36486 -36.84477  -9.00336 -37.86102       (-7.965,-0.639) (-7.726,-9.938) (-2.603,-25.711)      0.36856
8    -10.32686   2.20162   8.35394 -36.80819  -9.00454 -37.84855       (-7.994,-0.651) (-7.703,-9.905) (-2.624,-25.742)      0.427413
9    -10.32427   2.19144   8.34303 -36.77160  -9.00571 -37.83609       (-8.022,-0.663) (-7.680,-9.872) (-2.644,-25.773)      0.487297
10    -10.32169   2.18126   8.33212 -36.73502  -9.00689 -37.82362       (-8.051,-0.675) (-7.657,-9.839) (-2.664,-25.804)      0.547874
11    -10.31910   2.17108   8.32121 -36.69844  -9.00807 -37.81116       (-8.080,-0.687) (-7.634,-9.805) (-2.685,-25.835)      0.608938
12    -10.31652   2.16090   8.31029 -36.66185  -9.00924 -37.79869       (-8.108,-0.699) (-7.611,-9.772) (-2.705,-25.866)      0.670356
13    -10.31393   2.15072   8.29938 -36.62527  -9.01042 -37.78622       (-8.137,-0.711) (-7.588,-9.739) (-2.726,-25.896)      0.732038
14    -10.31134   2.14054   8.28847 -36.58869  -9.01160 -37.77376       (-8.165,-0.723) (-7.565,-9.706) (-2.746,-25.927)      0.793923
15    -10.30876   2.13036   8.27756 -36.55210  -9.01277 -37.76129       (-8.194,-0.735) (-7.542,-9.673) (-2.766,-25.958)      0.855967
16    -10.30617   2.12018   8.26665 -36.51552  -9.01395 -37.74883       (-8.223,-0.747) (-7.519,-9.640) (-2.787,-25.989)      0.918138
17    -10.30359   2.11000   8.25573 -36.47893  -9.01513 -37.73636       (-8.251,-0.759) (-7.496,-9.606) (-2.807,-26.020)      0.980411
18    -10.30100   2.09982   8.24482 -36.44235  -9.01630 -37.72389       (-8.280,-0.771) (-7.473,-9.573) (-2.828,-26.051)      1.04277
19    -10.29842   2.08964   8.23391 -36.40577  -9.01748 -37.71143       (-8.308,-0.784) (-7.450,-9.540) (-2.848,-26.082)      1.1052
20    -10.29583   2.07946   8.22300 -36.36918  -9.01865 -37.69896       (-8.337,-0.796) (-7.427,-9.507) (-2.868,-26.113)      1.16768
21    -10.29325   2.06928   8.21208 -36.33260  -9.01983 -37.68650       (-8.366,-0.808) (-7.404,-9.474) (-2.889,-26.144)      1.23022
22    -10.29066   2.05909   8.20117 -36.29602  -9.02101 -37.67403       (-8.394,-0.820) (-7.381,-9.440) (-2.909,-26.175)      1.2928
23    -10.28808   2.04891   8.19026 -36.25943  -9.02218 -37.66156       (-8.423,-0.832) (-7.358,-9.407) (-2.930,-26.205)      1.35541
24    -10.28549   2.03873   8.17935 -36.22285  -9.02336 -37.64910       (-8.451,-0.844) (-7.335,-9.374) (-2.950,-26.236)      1.41806
25    -10.28291   2.02855   8.16843 -36.18627  -9.02454 -37.63663       (-8.480,-0.856) (-7.312,-9.341) (-2.971,-26.267)      1.48073
26    -10.28032   2.01837   8.15752 -36.14968  -9.02571 -37.62417       (-8.509,-0.868) (-7.289,-9.308) (-2.991,-26.298)      1.54343
27    -10.27774   2.00819   8.14661 -36.11310  -9.02689 -37.61170       (-8.537,-0.880) (-7.266,-9.275) (-3.011,-26.329)      1.60615
28    -10.27515   1.99801   8.13570 -36.07652  -9.02807 -37.59923       (-8.566,-0.892) (-7.243,-9.241) (-3.032,-26.360)      1.66889
29    -10.27257   1.98783   8.12478 -36.03993  -9.02924 -37.58677       (-8.594,-0.904) (-7.220,-9.208) (-3.052,-26.391)      1.73165
30    -10.26998   1.97765   8.11387 -36.00335  -9.03042 -37.57430       (-8.623,-0.917) (-7.197,-9.175) (-3.073,-26.422)      1.79442
31    -10.26740   1.96747   8.10296 -35.96676  -9.03160 -37.56184       (-8.652,-0.929) (-7.174,-9.142) (-3.093,-26.453)      1.85721
32    -10.26481   1.95729   8.09205 -35.93018  -9.03277 -37.54937       (-8.680,-0.941) (-7.151,-9.109) (-3.113,-26.483)      1.92001
33    -10.26223   1.94711   8.08114 -35.89360  -9.03395 -37.53690       (-8.709,-0.953) (-7.128,-9.075) (-3.134,-26.514)      1.98282
34    -10.25964   1.93693   8.07022 -35.85701  -9.03513 -37.52444       (-8.737,-0.965) (-7.105,-9.042) (-3.154,-26.545)      2.04564
35    -10.25705   1.92675   8.05931 -35.82043  -9.03630 -37.51197       (-8.766,-0.977) (-7.082,-9.009) (-3.175,-26.576)      2.10846
36    -10.25447   1.91657   8.04840 -35.78385  -9.03748 -37.49951       (-8.795,-0.989) (-7.059,-8.976) (-3.195,-26.607)      2.1713
37    -10.25188   1.90639   8.03749 -35.74726  -9.03865 -37.48704       (-8.823,-1.001) (-7.036,-8.943) (-3.216,-26.638)      2.23415
38    -10.24930   1.89620   8.02657 -35.71068  -9.03983 -37.47457       (-8.852,-1.013) (-7.013,-8.910) (-3.236,-26.669)      2.297
39    -10.24671   1.88602   8.01566 -35.67410  -9.04101 -37.46211       (-8.880,-1.025) (-6.990,-8.876) (-3.256,-26.700)      2.35986
