Fol_2018-03-05.14_01_57.16_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -14.89481 -17.68996  -7.20567 -49.34603  13.06036 -16.64481       (-3.185,-28.725) (-3.105,-0.835) (-5.020,-19.520)      1.55114e-14
1    -14.89944 -17.67536  -7.22721 -49.30166  13.04645 -16.63134       (-3.261,-28.968) (-2.940,-0.705) (-5.114,-19.729)      0.401583
2    -14.90407 -17.66076  -7.24875 -49.25729  13.03254 -16.61787       (-3.336,-29.211) (-2.774,-0.576) (-5.208,-19.937)      0.803167
3    -14.90870 -17.64616  -7.27029 -49.21292  13.01863 -16.60439       (-3.412,-29.455) (-2.609,-0.446) (-5.302,-20.145)      1.20475
4    -14.91333 -17.63156  -7.29183 -49.16855  13.00472 -16.59092       (-3.488,-29.698) (-2.443,-0.317) (-5.396,-20.353)      1.60633
5    -14.91796 -17.61696  -7.31337 -49.12418  12.99081 -16.57745       (-3.563,-29.941) (-2.278,-0.187) (-5.490,-20.562)      2.00792
6    -14.92259 -17.60236  -7.33491 -49.07980  12.97690 -16.56398       (-3.639,-30.185) (-2.113,-0.058) (-5.584,-20.770)      2.4095
7    -14.92722 -17.58777  -7.35645 -49.03543  12.96299 -16.55050       (-5.607,-30.356) (-0.072,-2.019) (-20.906,-3.642)      2.67151
8    -14.93185 -17.57317  -7.37799 -48.99106  12.94909 -16.53703       (-5.571,-30.470) (-0.201,-1.983) (-20.985,-3.588)      2.82664
9    -14.93648 -17.55857  -7.39953 -48.94669  12.93518 -16.52356       (-5.536,-30.584) (-0.331,-1.947) (-21.064,-3.534)      2.98757
10    -14.94111 -17.54397  -7.42107 -48.90232  12.92127 -16.51008       (-5.500,-30.698) (-0.460,-1.911) (-21.142,-3.480)      3.15342
11    -14.94574 -17.52937  -7.44262 -48.85795  12.90736 -16.49661       (-5.465,-30.812) (-0.590,-1.875) (-21.221,-3.426)      3.32344
12    -14.95038 -17.51477  -7.46416 -48.81358  12.89345 -16.48314       (-5.429,-30.925) (-0.719,-1.840) (-21.300,-3.372)      3.49704
13    -14.95501 -17.50017  -7.48570 -48.76921  12.87954 -16.46967       (-5.394,-31.039) (-0.849,-1.804) (-21.378,-3.318)      3.6737
14    -14.95964 -17.48557  -7.50724 -48.72484  12.86563 -16.45619       (-5.358,-31.153) (-0.978,-1.768) (-21.457,-3.264)      3.85301
15    -14.96427 -17.47097  -7.52878 -48.68047  12.85172 -16.44272       (-5.323,-31.267) (-1.108,-1.732) (-21.536,-3.210)      4.0346
16    -14.96890 -17.45637  -7.55032 -48.63610  12.83781 -16.42925       (-5.287,-31.381) (-1.237,-1.696) (-21.615,-3.156)      4.21819
17    -14.97353 -17.44177  -7.57186 -48.59173  12.82390 -16.41577       (-5.252,-31.495) (-1.367,-1.660) (-21.693,-3.102)      4.40353
18    -14.97816 -17.42717  -7.59340 -48.54736  12.80999 -16.40230       (-5.217,-31.609) (-1.497,-1.624) (-21.772,-3.048)      4.5904
19    -14.98279 -17.41257  -7.61494 -48.50299  12.79609 -16.38883       (-5.181,-31.722) (-1.626,-1.588) (-21.851,-2.994)      4.77862
20    -14.98742 -17.39797  -7.63648 -48.45862  12.78218 -16.37536       (-5.146,-31.836) (-1.756,-1.553) (-21.929,-2.940)      4.96804
21    -14.99205 -17.38337  -7.65802 -48.41425  12.76827 -16.36188       (-5.110,-31.950) (-1.885,-1.517) (-22.008,-2.886)      5.15853
22    -14.99668 -17.36877  -7.67956 -48.36988  12.75436 -16.34841       (-5.075,-32.064) (-2.015,-1.481) (-22.087,-2.832)      5.34998
23    -15.00131 -17.35417  -7.70110 -48.32551  12.74045 -16.33494       (-5.039,-32.178) (-2.144,-1.445) (-22.166,-2.778)      5.54228
24    -15.00594 -17.33957  -7.72264 -48.28114  12.72654 -16.32147       (-5.004,-32.292) (-2.274,-1.409) (-22.244,-2.725)      5.73534
25    -15.01057 -17.32497  -7.74418 -48.23677  12.71263 -16.30799       (-4.968,-32.405) (-2.403,-1.373) (-22.323,-2.671)      5.92911
26    -15.01520 -17.31037  -7.76572 -48.19239  12.69872 -16.29452       (-4.933,-32.519) (-2.533,-1.337) (-22.402,-2.617)      6.1235
27    -15.01983 -17.29577  -7.78726 -48.14802  12.68481 -16.28105       (-4.898,-32.633) (-2.662,-1.301) (-22.480,-2.563)      6.29288
28    -15.02446 -17.28118  -7.80880 -48.10365  12.67090 -16.26757       (-4.862,-32.747) (-2.792,-1.265) (-22.559,-2.509)      6.46098
29    -15.02909 -17.26658  -7.83034 -48.05928  12.65700 -16.25410       (-4.827,-32.861) (-2.921,-1.230) (-22.638,-2.455)      6.63107
30    -15.03372 -17.25198  -7.85188 -48.01491  12.64309 -16.24063       (-4.791,-32.975) (-3.051,-1.194) (-22.717,-2.401)      6.80299
31    -15.03835 -17.23738  -7.87343 -47.97054  12.62918 -16.22716       (-4.756,-33.088) (-3.180,-1.158) (-22.795,-2.347)      6.9766
32    -15.04298 -17.22278  -7.89497 -47.92617  12.61527 -16.21368       (-4.720,-33.202) (-3.310,-1.122) (-22.874,-2.293)      7.15179
33    -15.04761 -17.20818  -7.91651 -47.88180  12.60136 -16.20021       (-4.685,-33.316) (-3.439,-1.086) (-22.953,-2.239)      7.32844
34    -15.05224 -17.19358  -7.93805 -47.83743  12.58745 -16.18674       (-4.649,-33.430) (-3.569,-1.050) (-23.031,-2.185)      7.50644
35    -15.05687 -17.17898  -7.95959 -47.79306  12.57354 -16.17326       (-4.614,-33.544) (-3.698,-1.014) (-23.110,-2.131)      7.68571
36    -15.06150 -17.16438  -7.98113 -47.74869  12.55963 -16.15979       (-4.579,-33.658) (-3.828,-0.978) (-23.189,-2.077)      7.86615
