Fol_.5_.txt     Output is probe cell, reduced cell, NCDist distance between
0    517.72015 1210.89163 1147.84766 -5860.95242 -2204.67273 -2794.34539       (-442.200,-69.638) (-105.814,-448.082) (-891.791,-21.385)      0
1    517.18051 1209.57360 1146.62896 -5855.97828 -2202.91438 -2791.99089       (-441.263,-68.419) (-106.793,-448.761) (-894.467,-21.924)      3.3523
2    516.64086 1208.25558 1145.41025 -5851.00415 -2201.15604 -2789.63639       (-440.326,-67.200) (-107.773,-449.440) (-897.143,-22.464)      6.7046
3    516.10122 1206.93756 1144.19155 -5846.03001 -2199.39769 -2787.28189       (-439.388,-65.982) (-108.753,-450.120) (-899.819,-23.004)      10.0569
4    515.56157 1205.61953 1142.97284 -5841.05587 -2197.63934 -2784.92739       (-438.451,-64.763) (-109.733,-450.799) (-902.495,-23.543)      13.4092
5    515.02193 1204.30151 1141.75414 -5836.08174 -2195.88099 -2782.57289       (-437.514,-63.544) (-110.713,-451.478) (-905.172,-24.083)      16.7615
6    514.48228 1202.98349 1140.53543 -5831.10760 -2194.12264 -2780.21839       (-436.577,-62.326) (-111.693,-452.157) (-907.848,-24.623)      20.1138
7    513.94264 1201.66547 1139.31673 -5826.13347 -2192.36429 -2777.86389       (-435.640,-61.107) (-112.673,-452.836) (-910.524,-25.162)      23.4661
8    513.40300 1200.34744 1138.09803 -5821.15933 -2190.60594 -2775.50939       (-434.703,-59.888) (-113.653,-453.515) (-913.200,-25.702)      26.8184
9    512.86335 1199.02942 1136.87932 -5816.18520 -2188.84759 -2773.15489       (-433.766,-58.669) (-114.633,-454.194) (-915.876,-26.242)      30.1707
10    512.32371 1197.71140 1135.66062 -5811.21106 -2187.08925 -2770.80039       (-432.828,-57.451) (-115.613,-454.873) (-918.552,-26.781)      33.523
11    511.78406 1196.39337 1134.44191 -5806.23692 -2185.33090 -2768.44589       (-431.891,-56.232) (-116.593,-455.552) (-921.228,-27.321)      36.8753
12    511.24442 1195.07535 1133.22321 -5801.26279 -2183.57255 -2766.09139       (-430.954,-55.013) (-117.573,-456.231) (-923.905,-27.861)      40.2276
