Fol_.82_.txt     Output is probe cell, reduced cell, NCDist distance between
0    317.17650 2013.47145 1222.16748 -12580.12824 -2442.82989 -8844.65352       (-4817.711,-584.804) (-6105.840,-317.176) (-1379.118,-1.505)      9.37486e-13
1    316.85749 2005.34401 1220.35870 -12568.91602 -2440.70211 -8840.62255       (-4829.935,-586.613) (-6117.480,-316.857) (-1371.629,-0.015)      18.617
2    316.53849 1997.21657 1218.54992 -12557.70380 -2438.57433 -8836.59157       (-6127.645,-586.947) (-4840.684,-315.064) (-1365.614,-1.474)      34.692
3    316.21949 1989.08914 1216.74114 -12546.49158 -2436.44655 -8832.56060       (-6137.795,-587.266) (-4851.418,-313.255) (-1359.614,-2.964)      50.7852
4    315.90049 1980.96170 1214.93236 -12535.27935 -2434.31876 -8828.52962       (-6147.945,-587.585) (-4862.152,-311.446) (-1353.615,-4.454)      66.891
5    315.58149 1972.83426 1213.12358 -12524.06713 -2432.19098 -8824.49865       (-6158.095,-587.904) (-4872.886,-309.638) (-1347.615,-5.944)      83.0021
6    315.26249 1964.70682 1211.31480 -12512.85491 -2430.06320 -8820.46768       (-6168.245,-588.223) (-4883.620,-307.829) (-1341.615,-7.434)      99.1158
7    314.94349 1956.57938 1209.50602 -12501.64269 -2427.93542 -8816.43670       (-6178.395,-588.542) (-4894.355,-306.020) (-1335.616,-8.923)      115.231
8    314.62449 1948.45194 1207.69724 -12490.43047 -2425.80764 -8812.40573       (-6188.545,-588.861) (-4905.089,-304.211) (-1329.616,-10.413)      131.347
9    314.30549 1940.32450 1205.88846 -12479.21824 -2423.67986 -8808.37475       (-6198.695,-589.180) (-4915.823,-302.403) (-1323.616,-11.903)      147.464
10    313.98649 1932.19706 1204.07968 -12468.00602 -2421.55208 -8804.34378       (-6208.845,-589.499) (-4926.557,-300.594) (-1317.617,-13.393)      163.582
11    313.66749 1924.06962 1202.27089 -12456.79380 -2419.42430 -8800.31281       (-6218.995,-589.818) (-4937.291,-298.785) (-1311.617,-14.883)      179.7
12    313.34849 1915.94218 1200.46211 -12445.58158 -2417.29651 -8796.28183       (-6229.145,-590.137) (-4948.025,-296.976) (-1305.617,-16.372)      195.818
13    313.02949 1907.81474 1198.65333 -12434.36936 -2415.16873 -8792.25086       (-6239.295,-590.456) (-4958.759,-295.167) (-1299.618,-17.862)      211.936
14    312.71049 1899.68731 1196.84455 -12423.15713 -2413.04095 -8788.21989       (-6249.445,-590.775) (-4969.493,-293.359) (-1293.618,-19.352)      228.054
15    312.39149 1891.55987 1195.03577 -12411.94491 -2410.91317 -8784.18891       (-6259.595,-591.094) (-4980.228,-291.550) (-1287.619,-20.842)      244.173
16    312.07249 1883.43243 1193.22699 -12400.73269 -2408.78539 -8780.15794       (-6269.745,-591.413) (-4990.962,-289.741) (-1281.619,-22.331)      260.291
17    311.75349 1875.30499 1191.41821 -12389.52047 -2406.65761 -8776.12696       (-6279.895,-591.732) (-5001.696,-287.932) (-1275.619,-23.821)      276.41
18    311.43448 1867.17755 1189.60943 -12378.30825 -2404.52983 -8772.09599       (-6290.045,-592.051) (-5012.430,-286.124) (-1269.620,-25.311)      292.529
19    311.11548 1859.05011 1187.80065 -12367.09602 -2402.40205 -8768.06502       (-6300.195,-592.370) (-5023.164,-284.315) (-1263.620,-26.801)      308.647
20    310.79648 1850.92267 1185.99187 -12355.88380 -2400.27427 -8764.03404       (-6310.345,-592.689) (-5033.898,-282.506) (-1257.620,-28.291)      324.766
21    310.47748 1842.79523 1184.18309 -12344.67158 -2398.14648 -8760.00307       (-6320.495,-593.008) (-5044.632,-280.697) (-1251.621,-29.780)      340.885
